Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,ET_01,ET_01_1,ET_02,ET_02_1,ET_03,ET_03_1,ET_04,ET_04_1,ET_05,ET_05_1,ET_06,ET_06_1,ET_07,ET_07_1,ET_08,ET_08_1,ET_09,ET_09_1,ET_10,ET_10_1,ET_11,ET_11_1,ET_12,ET_12_1,Id,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,ele,fc,stable
0.64253731,0.623056137,0.634623303,0.58763848,0.288266451,0.265355812,0.175341801,0.169347526,0.189116889,0.178247684,0.186160392,0.175409038,0.184185412,0.183497703,0.182424433,0.181745184,0.186004937,0.18048601,0.172989953,0.191591361,0.230308869,0.242443676,0.537947369,0.578231894,,,,5.186602871,2.148479152,3.678870472,2.297952837,2.497295512,0.911201299,3.242838501,2.586168343,9.522402597,5.691173958,15.73294031,3.889618934,15.03599909,2.999675325,6.880857826,3.150977444,3.058064642,3.706876282,4.875105947,,,24285,257.9107719,258.5633729,263.9196598,267.6861946,288.1792003,289.7596977,301.8353589,309.2999481,310.2408401,313.2505505,313.9057758,313.3174556,312.8332536,309.481064,310.8572761,307.6857878,303.8215989,302.1197847,291.6278255,292.3765345,281.4063231,278.3437184,258.3161466,260.1591846,247.2543011,246.8634282,252.5643636,254.0747624,270.9392914,270.0500504,278.1036938,278.897041,284.9587846,284.3920698,290.0835543,287.8981445,290.9689907,290.179419,288.4666416,288.0135498,280.0048941,280.5213927,271.767182,271.0602051,265.9124063,261.02818,249.8442836,251.6451087,463.4962406,5,5
0.242309028,0.216194192,0.238559552,0.212582565,0.236777922,0.21040886,0.235366298,0.205861824,0.22126914,0.200061249,0.210997496,0.186775288,0.211239793,0.187291702,0.206429204,0.182812106,0.193573809,0.183299141,0.209085449,0.202542039,0.223627542,0.213006139,0.244705613,0.215354664,6.814153538,6.621117779,5.27708177,5.439484871,2.543429161,3.636650754,2.077259315,3.501212803,2.689560337,3.271499693,3.854849427,6.361965491,6.565514146,14.5304758,7.507267442,14.51827332,5.220631497,7.842978927,4.71747937,4.324256898,5.094242846,5.747960026,6.40660165,5.965043046,4786,278.428449,278.8579886,284.6308522,289.0042204,294.4472906,297.9110804,300.9985146,305.8887322,306.6649526,311.0215781,309.5277479,313.0338984,311.229001,308.5151369,308.0491405,305.677026,300.4837518,302.2996862,296.3853903,294.2656402,285.1615145,286.5365843,278.7078368,278.8037066,262.9057858,260.1081814,265.6173368,265.2406233,272.4156377,270.8493436,276.5760255,278.462078,283.305861,282.8927839,289.3064051,288.7558956,290.9711247,291.676666,288.0344815,288.2983641,281.2291252,283.8616623,275.4405556,274.413138,268.5321783,268.3554678,263.1111087,261.66939,1218.772693,5,6
0.509422214,0.567378957,0.520025384,0.538129862,0.337531589,0.204811476,0.175582716,0.184083094,0.174491032,0.180034513,0.162840152,0.179300397,0.169920173,0.181752688,0.179497337,0.179517665,0.182219048,0.183946032,0.176103223,0.194168885,0.19084001,0.210164446,0.482974782,0.567136174,,,5.3,6.166666667,3.902142857,4.583809524,2.955238095,4.386706349,1.910714286,3.105194805,3.178571429,6.501082251,4.607142857,11.1297619,3.475,10.68095238,2.296428571,6.258766234,4.052380952,3.725708617,5.160714286,5.395833333,5.45,5.89,24737,259.0235714,258.8577279,267.1210714,269.1787755,290.6654329,293.2588196,303.9612698,308.128,314.1966234,313.3475844,314.1591429,314.6265476,313.689881,313.3494048,312.5989394,310.717619,303.8722619,303.8002381,290.6081241,292.6740754,282.7632937,278.7224206,261.5249074,262.3280119,250.2367347,249.91,255.7302857,256.2592468,270.3978571,270.2781991,278.2717143,280.6152857,285.6792208,285.9171818,290.8126984,289.2865152,292.6532035,291.999513,290.2891234,289.6465909,282.0695238,281.5435714,274.6814286,272.4955714,268.1274026,261.3027273,252.5088745,253.1998153,396.2857143,5,7
0.229359099,0.272960276,0.205395465,0.224215083,0.233994597,0.237268479,0.20069907,0.197814483,0.174786981,0.175068039,0.150341306,0.169587055,0.155139436,0.168007183,0.164284702,0.1722923,0.169350605,0.17986209,0.184097163,0.19298331,0.211434889,0.216434732,0.470363632,0.233542343,6.281558803,6.029906054,4.859771515,5.427412433,1.683223979,3.476935249,1.041706101,3.283499381,1.165499801,3.429232618,1.705149617,5.200192425,3.09282649,7.613668522,2.899709216,8.180862909,1.839871839,5.793914616,2.040310833,3.289665943,3.485100905,4.417705114,6.063480742,5.50823331,19100,275.0111446,274.9977071,283.7367299,283.4639296,295.9012861,292.9388144,299.7927143,304.3280734,311.3472644,308.4813657,312.4309224,312.7577061,314.7916017,311.3782792,312.7980239,309.2469107,305.2410303,303.938536,296.87549,295.4051852,286.281865,283.6614933,267.3489148,275.5799268,259.7250413,258.8102121,264.8212464,265.807779,273.6642109,272.9572978,279.1773485,280.9377008,285.7731207,285.8062592,290.8035068,289.8954087,292.5882308,292.0880866,291.7091054,289.8763738,284.2234638,284.3094813,275.9560784,274.8815552,268.6911987,265.9729825,255.8791222,260.429336,990.7756264,5,7
0.208270712,0.230152488,0.209112981,0.221104421,0.206776106,0.196778799,0.18130274,0.179652802,0.173282534,0.172627321,0.153547925,0.170431645,0.149472169,0.169653384,0.153015534,0.165995843,0.166410108,0.167103455,0.184099676,0.18872598,0.196090322,0.207116039,0.208125789,0.208213001,5.783333333,6.431468254,4.283208955,3.233531746,0.276944444,1.714897487,0.341825397,1.540484694,0.290863095,1.363571429,0.414829932,2.677380952,1.23015873,2.550369769,0.928869048,3.23640873,1.014285714,2.510813492,0.83202381,1.24265873,2.774489796,2.928772803,5.8796,5.428384354,13772,275.1267787,276.0936773,280.215014,282.2811485,291.582013,291.9114986,297.5548403,300.9694648,305.6951108,308.1864629,306.8322017,310.4192577,309.7261064,310.8484454,309.5556162,307.4621359,303.1422059,301.9163445,294.6249608,293.6919664,286.1941005,282.6206765,272.8527158,276.6759766,258.1664496,259.47243,264.2878655,265.5698669,272.7148205,273.0008421,280.1173445,281.006226,286.4761192,284.5858442,289.8434118,289.0894232,291.375135,291.1116781,290.347535,289.5786001,284.9064286,285.2622065,277.2524202,276.1720084,269.4146429,266.9235065,259.5634772,261.0974217,1032.302521,5,7
0.222626074,0.210408126,0.197610255,0.213425674,0.205606761,0.228118323,0.211281101,0.203756769,0.19307355,0.193320904,0.184691333,0.178506595,0.184873018,0.177412347,0.185996426,0.174444694,0.194756778,0.179549792,0.209131335,0.201255142,0.210797766,0.210932426,0.217566705,0.201091016,6.833333333,6.404806409,4.446666667,2.622865408,0.399570856,1.060992037,0.482215176,1.235944222,0.633803405,2.225063721,1.518033569,5.140120464,4.23433745,4.64644526,3.433753338,4.843383771,3.658753338,4.120660881,1.224799733,1.457680717,2.531241656,2.12775543,6.152251023,5.047839927,14803,276.0161762,277.4729868,282.8872476,286.9500522,294.3297222,296.0518536,302.00399,305.3410042,309.4028224,309.8607952,308.8760379,311.8630144,309.2518438,310.8090771,308.6533238,307.8171712,303.970647,304.9634252,296.5847482,297.0763888,286.8739357,287.4220826,276.1697976,277.8861439,258.9092303,256.9135302,264.1731184,263.7086245,272.9673621,271.9089377,279.1374314,279.9777357,285.4296834,283.800919,288.6483725,288.1305678,289.3472196,290.157793,288.800512,288.1677601,282.0427126,283.013273,274.1804726,273.1182,267.6309125,263.9794467,258.8035835,258.2215007,996.2034483,5,7
0.226324612,0.218344289,0.226171504,0.210084574,0.186334603,0.176502251,0.170837968,0.169981852,0.167396876,0.166242036,0.159466802,0.162842264,0.162291852,0.163267194,0.166950052,0.160228824,0.175848143,0.166485051,0.200383467,0.188247364,0.204566389,0.207088421,0.217505582,0.213114435,6.384891269,6.118286151,4.682346109,4.052564667,0.492877801,1.206610586,0.563397059,1.266069328,0.523562675,1.197918895,1.079292717,3.173630793,3.054313725,3.718923203,2.3665625,4.815065359,2.68661152,3.992753268,1.016306373,1.268806723,2.612313725,4.130506264,5.371256932,5.807523521,16117,274.8060948,276.5941441,281.8326367,284.0410135,293.1639907,294.1197029,300.2790667,306.2170143,309.0718734,309.8838078,309.4399843,312.2599805,309.9416462,310.8398699,308.0261536,307.5291454,303.6106172,303.7268403,296.5500036,296.2434466,287.0397936,284.7376459,272.6295664,276.7432417,257.5273775,257.3182633,263.5647069,263.9205868,272.9582737,272.0553417,278.7796098,279.9281743,285.3490793,284.0413768,288.531564,288.2633631,290.6751774,290.5993384,288.7819004,288.03723,282.702991,283.0673435,274.0933521,273.1680422,266.73388,263.3257117,258.1399784,257.6964353,960.8313725,5,8
0.260799417,0.236367462,0.25437107,0.269187893,0.246816856,0.238428738,0.241249569,0.225488628,0.227585528,0.2133797,0.213266023,0.210369533,0.218421464,0.207732006,0.222429727,0.210499376,0.227539802,0.218743016,0.236101482,0.220442265,0.248759662,0.245423193,0.244645936,0.241049242,4.669604087,4.654827586,2.50908046,2.14394636,0.480920452,0.592177522,0.513256705,1.49336739,1.32006705,6.275471187,1.404597701,4.586494253,1.575013684,3.3062783,1.840578818,5.689829328,3.152264641,5.740665273,1.831545338,2.067065773,1.399580628,1.921401515,5.042613636,4.904214559,21562,278.0841738,276.5297408,287.879793,289.7683965,304.1340327,305.4725433,311.7138212,317.5491563,324.4176876,322.6660721,326.0725258,328.8519671,331.8365047,330.9041391,326.7578397,326.6044999,315.4527183,315.9384196,303.5626403,302.8425543,290.5749326,288.0865303,275.3914454,276.4471479,259.1210636,256.0061441,266.0340369,264.0792471,275.8815273,275.4167393,282.5400036,284.3722974,292.2159166,288.932222,297.0811608,294.6261644,298.2404042,299.4207759,296.7107895,295.8385925,286.4662043,287.6384229,277.0957898,276.8105598,268.3543351,265.2925245,257.3412468,257.4100683,-82.22794447,5,8
0.260053874,0.231298835,0.248960702,0.218280433,0.209019981,0.196579348,0.197722851,0.184923605,0.180734221,0.175637147,0.176690766,0.17427229,0.16029161,0.167774786,0.153383816,0.163010371,0.159110433,0.170368791,0.175704318,0.19051819,0.18555962,0.21543573,0.211211632,0.222400445,4.260878471,5.762323352,2.7880132,2.111012203,0.266970111,1.416678719,0.324360492,2.019690361,0.822997269,1.89287665,0.984420313,2.903971325,2.913063268,3.428656501,2.383215749,4.576524807,2.008578256,3.820839023,0.739553937,1.406002756,1.969778486,3.383430959,5.2710908,4.774474662,8991,276.3374152,277.6015153,283.3454165,285.5626729,294.0479609,295.2581216,301.8761702,302.8392331,307.6985815,308.7568825,309.4031734,312.5203015,307.9546632,310.3650991,304.3329958,305.4975759,300.8547182,302.1054536,294.920113,295.4683869,286.2410594,285.122259,276.839391,277.7573814,259.9074777,260.8046787,265.4564943,266.4935336,273.83632,273.7691773,279.9536659,280.0904923,285.2093081,284.4322618,288.9514383,288.1979255,290.1367444,290.3326985,289.4937305,289.0897883,284.0376707,283.4668397,277.5918199,274.4550232,270.7678285,266.166544,262.3295401,261.3896565,1154.203004,5,9
0.655588092,0.620639179,0.639459245,0.670789361,0.434437469,0.410078223,0.233936485,0.194561654,0.196896658,0.192553664,0.192947994,0.188912628,0.189821132,0.180143533,0.189406988,0.178548801,0.201056066,0.183974448,0.217289566,0.200530825,0.456046121,0.463232971,0.700318302,0.629302909,,5.600224215,4.2,5.780877743,4.542924343,4.204396333,4.622425754,3.742006613,5.633342455,6.181228536,9.40869141,10.16556189,10.70981825,14.73654372,6.564148254,12.34177952,3.735497276,5.41660781,4.18233666,4.608920171,3.795661677,5.371520972,,,28470,258.3759646,260.7942834,264.1633805,265.095711,279.3485721,282.129332,294.1235339,301.4020833,303.4663701,307.0470194,307.6909971,310.2845299,308.5336793,308.8746644,307.7928135,305.9082526,298.9535864,297.696955,285.6638216,286.3282813,272.5120172,270.0053193,257.0427202,262.7490554,253.3125533,254.7638359,258.3771219,258.7949215,267.1640727,267.323046,275.1663122,275.377096,283.2164265,281.5872546,287.5747455,285.8858645,288.17878,289.2364154,286.6464995,286.4372211,278.7639505,278.16262,270.9379274,272.5428517,264.8404215,262.3909487,254.778219,257.1103325,526.5470421,5,11
