Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,ET_01,ET_01_1,ET_02,ET_02_1,ET_03,ET_03_1,ET_04,ET_04_1,ET_05,ET_05_1,ET_06,ET_06_1,ET_07,ET_07_1,ET_08,ET_08_1,ET_09,ET_09_1,ET_10,ET_10_1,ET_11,ET_11_1,ET_12,ET_12_1,Id,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,ele,gc,stable
0.613610146,0.599653763,0.617580374,0.564965465,0.393579393,0.311944247,0.172811364,0.181707141,0.173419355,0.172335484,0.172566265,0.164208889,0.173709677,0.169901075,0.16975914,0.166870968,0.171182222,0.167015556,0.172138465,0.195322581,0.21450125,0.272194543,0.591175404,0.533371429,,5,7.2,6.75,7.848333333,8.960039683,8.42,9.178,6.34,9.200909091,10.71714286,17.05166667,14.7625,25.60333333,10.665,18.98666667,4.535714286,8.851666667,6.068,6.068888889,6.555,6.147142857,,5.688333333,25497,260.203,262.5233636,268.1906667,269.2412773,284.1556,288.1394242,300.2732,302.8158,306.1676364,309.3045455,306.5188,307.378,304.9536667,305.0096667,305.2323333,304.087,300.088,297.678,288.685,288.7398,278.4845455,276.0095374,260.3871778,265.0167636,252.576,252.048,257.0008,257.9137121,270.3323636,268.6839697,276.5648,277.8862,283.8749091,283.4747273,287.6025111,286.3964455,288.7507929,289.0467697,288.0725455,287.5338333,280.9558333,279.87,273.8426667,271.0074,267.8853333,261.3456364,253.7213939,254.5071818,876.8,5,5
0.345735392,0.200607734,0.24653844,0.193863923,0.250314019,0.194142208,0.247371021,0.195843982,0.237897046,0.193923914,0.228618549,0.179121613,0.226973641,0.174120184,0.218954822,0.173832885,0.211894949,0.172636318,0.221258513,0.175087366,0.231948611,0.185106991,0.291242384,0.195999438,6.751041667,7.033234127,7.533055556,7.347222222,3.923809524,6.511805556,4.647222222,5.639484127,3.197123016,4.972727273,3.1125,8.291098485,3.8140625,11.24504419,4.123958333,7.444444444,5.819419643,7.509343434,5.828472222,7.724032738,5.330555556,7.328571429,5.548958333,6.863244048,2780,277.3799752,279.6633245,285.7194097,289.3520833,294.653125,296.7313984,301.06975,306.695625,307.4111288,308.6325379,310.6777778,310.7516319,313.5810069,309.8665972,311.9415751,310.8978914,303.4989236,305.5925694,297.9094907,295.8143102,287.6946212,287.1688636,279.4671622,280.8948264,259.5036111,258.6074621,262.9580093,262.9885764,269.2118056,268.8631092,273.93175,276.4116343,280.1358333,281.0293182,285.2423148,286.3139899,287.8320833,289.5883333,285.9744792,287.4230208,277.7660669,282.2807986,272.2505833,273.3980417,263.7488542,265.8120833,257.2337153,259.5732292,1692.833333,5,5
0.235600777,0.194885101,0.243431967,0.182735196,0.215269583,0.178625795,0.219297807,0.180342416,0.185470114,0.166805349,0.155821821,0.149986101,0.160672155,0.154548397,0.16041746,0.155278584,0.166477708,0.163742397,0.194587439,0.18038439,0.177475586,0.164969836,0.240649099,0.179703051,6.107869913,6.335960208,5.32661981,4.899907316,2.205902949,3.76565567,1.918447232,2.997257785,3.506012111,4.049394464,5.537951063,9.755573031,8.372678262,16.64821943,8.146916708,15.64351932,4.562201866,7.31477797,4.063033449,3.6286188,4.464901549,5.408722607,5.879130623,5.451802191,7928,277.0953244,278.1450338,284.1678599,287.032345,292.1991595,295.0915571,297.9924125,304.7232093,302.4173765,306.5838007,303.8364256,307.7862298,307.9839432,307.6330443,305.5266214,305.2258814,298.8676385,301.5593267,293.0750596,294.4593642,282.0277829,282.6850937,274.7177212,276.8362539,261.2893058,259.3941918,263.8554508,264.4263509,270.7233434,270.9828347,275.1527249,277.3519429,283.6495461,283.3432479,289.6063702,289.5786655,291.4138646,292.1619312,289.5345298,289.1476106,281.2786015,283.7570639,274.2394247,274.5986237,269.5509695,269.4716141,263.825696,261.2578258,1099.676471,5,5
0.688830451,0.661133734,0.664965455,0.661933915,0.35757981,0.286417391,0.213197608,0.204359118,0.2149815,0.205323925,0.204115552,0.196743056,0.209216398,0.199497312,0.212284299,0.199889785,0.218461111,0.203677778,0.224191011,0.213024194,0.337433313,0.342273764,0.617306496,0.564896948,,,,,2.913541667,2.603571429,2.485,2.4475,1.585491071,3.307954545,3.756428571,5.659027778,2.763392857,5.888068182,1.2578125,4.921875,1.190625,2.695454545,2.559583333,2.810625,2.96625,4.400267857,,4,24146,258.1728274,259.8220284,265.7702778,266.5157292,288.5640303,291.7797917,305.3015,308.90775,312.7754545,313.0832955,314.64875,316.3630208,316.3882292,317.1426042,316.460875,315.2755208,308.456875,306.9369792,293.7558333,294.5665,280.3857955,277.5609192,259.2347822,262.1142702,247.0715625,246.8688542,252.49375,253.8592708,269.4189773,269.397964,275.9665,276.6635,283.0502273,281.7630909,288.2521944,286.0582292,289.1883333,289.2864583,286.38875,287.0917708,278.451875,279.6033333,269.7516667,269.816125,263.782142,259.8765909,249.6177746,250.8369129,754,5,7
0.69943775,0.681628429,0.654454199,0.668607002,0.333493,0.341687047,0.207395375,0.209193768,0.216833656,0.212132686,0.220627588,0.194065408,0.219922757,0.195902932,0.221597568,0.192523185,0.223725391,0.198649045,0.215169985,0.212086316,0.291234792,0.294236671,0.556490361,0.6308192,,,,5.259765625,3.44046875,3.080371094,2.123925781,3.171875,0.795068359,3.891477273,1.054017857,10.58224728,1.513476563,12.9383524,0.911600167,16.54768288,0.88781157,7.632377486,3.088554688,3.142200521,3.475566406,4.933457031,,,24460,256.906875,257.5287563,262.5919618,265.0292969,286.9883594,288.8577632,301.799875,307.8335625,312.0484872,310.5934837,317.0216797,311.4548307,318.2490723,309.5955306,317.5678711,308.4714193,308.4392578,302.6738184,293.2415273,292.3900313,281.1642135,277.092849,258.9332921,257.7834063,247.9721191,246.5246582,250.5458125,252.0296777,270.0201302,269.4117122,277.6276094,278.4593242,283.6855753,283.8438956,289.3446528,287.508112,290.7301119,289.0923535,287.2454297,287.3957747,278.6150065,279.8473926,270.7570365,270.4887656,264.5671738,260.1693146,248.6683299,250.1338121,472.0234375,5,7
0.666340854,0.623467259,0.593315617,0.557710948,0.191359137,0.208394047,0.182704878,0.191591734,0.186247181,0.188113297,0.192889656,0.181772222,0.1950476,0.187408864,0.196729609,0.183901521,0.196615989,0.194950136,0.188947286,0.202973118,0.199611939,0.24169473,0.62494736,0.416706665,,,5.489634146,4.907317073,4.797164634,4.950221729,4.561382114,5.155365854,3.166506969,8.609977827,2.110627178,20.0449187,1.826219512,20.15182927,1.632012195,20.52916667,1.80945122,8.447865854,4.193658537,3.646981707,4.878373984,4.540679443,,4.970020325,23192,262.6079268,265.0129065,271.1365583,273.5762916,295.1156707,294.4105691,304.198,307.2118049,314.149867,309.9454656,318.8065854,307.3671951,322.5396545,309.7379472,318.8688821,308.353689,310.7521646,302.9743801,294.539435,292.3279512,283.6255183,280.7032995,264.4190366,269.9745732,255.7671037,255.5539579,264.0868537,264.2400711,273.5479268,272.0230636,279.7743659,280.8505732,286.4494013,285.3570288,289.6732195,287.4989228,290.477622,289.7218801,289.2452947,287.9117378,282.358435,280.7084146,274.9814146,273.036,270.6155827,264.6230122,252.679187,259.2456098,627.2560976,5,7
0.501618881,0.431502595,0.38556211,0.18443225,0.200364857,0.169724273,0.188710372,0.169697766,0.18297266,0.16863438,0.185606591,0.165472003,0.182202899,0.167985875,0.176514596,0.169427617,0.180415559,0.170495875,0.193328185,0.176394459,0.20103563,0.22795889,0.461136215,0.246301751,3.888290537,5.644889163,2.478565014,4.888777645,0.964640744,3.72438792,1.37541561,6.944845496,4.654585799,9.922400676,3.385581452,9.098267117,5.151141167,12.22235841,8.036728656,14.1073401,4.324683009,7.472907861,1.292840237,2.901449939,3.2104458,3.986787059,6.280125523,4.429122389,8968,272.9851817,274.5782254,284.0010646,285.1638083,295.5365746,295.9168541,303.3857278,300.5645232,307.3862445,304.8265381,310.7450347,308.5958411,311.3733746,310.4435757,306.521866,304.8933164,301.6796168,301.3702902,298.1406374,295.1229431,286.9544276,284.1796653,269.3967411,276.2502493,260.0121054,261.2776457,266.0668639,267.2686651,273.3613233,274.1673319,280.666461,281.0314811,285.1116938,284.2735403,288.2330617,287.7619378,289.5436856,290.3708257,288.4849619,288.5504672,283.0699732,283.0134747,276.6051843,274.6684734,270.0638594,267.7750711,258.1207074,262.7613381,1347.49366,5,7
0.614311827,0.637246732,0.633034079,0.581927425,0.300510126,0.262739989,0.210393782,0.191004975,0.217370642,0.192372149,0.216391648,0.195092763,0.223244804,0.195701083,0.219728899,0.199970105,0.222861971,0.204178326,0.2087412,0.209880202,0.273100846,0.293076899,0.554207234,0.63666162,,,,5.809576138,3.255056054,3.445681187,2.736995516,2.744468112,1.361308857,2.814196902,2.44314542,3.613415546,3.067124439,3.517516816,1.652744635,3.168011958,1.389069507,2.580665681,3.362509342,2.944016256,3.640786622,5.714536622,,,24288,257.3009257,260.7834405,263.2627379,268.8975214,286.1761985,289.8197243,299.5568251,308.4974327,309.5796046,313.4190828,313.6887197,317.3061239,314.6979325,318.3780007,314.8949434,315.265397,306.4092451,305.1101345,292.0658464,293.0455191,280.4551046,277.2115792,257.4534558,260.1340105,246.1969675,247.9189835,252.0483565,254.8351065,271.0026925,270.022505,277.7698655,278.8189058,284.8177171,283.4953231,289.9061973,287.6770521,290.7362597,290.5779835,287.5128531,288.5418227,279.4610968,280.9561911,271.3849458,270.9417904,265.9462989,260.401223,250.2095609,251.5950333,466.2141256,5,8
0.727993029,0.672360376,0.704151794,0.621462312,0.398558619,0.3702398,0.165821245,0.162448335,0.174610666,0.168101844,0.176071603,0.170046344,0.17467844,0.176372446,0.176720004,0.181182707,0.182301477,0.185517185,0.194291614,0.199147536,0.28130157,0.423083577,0.712562384,0.619129674,,3.2,,7.316666667,8.126869147,7.08592515,8.52360033,7.508904487,9.163026424,8.655097215,15.30205261,14.87389898,14.7401218,22.55586292,9.409031792,15.826218,4.254736345,6.803623977,4.986897881,5.262848885,5.235879438,5.471271676,,5.023991031,27537,261.5517576,264.9491034,267.0903973,270.2542025,282.0488976,286.406988,299.1314781,304.5288544,303.337805,309.3759884,305.7527663,308.5354349,305.5412662,305.5096841,307.6639499,304.0992775,303.8988109,298.7605898,289.6895984,291.529545,278.3878456,273.4089105,260.9754164,266.5013254,254.6762499,256.6746069,259.4032733,262.210973,269.7023342,269.7726521,276.7705945,277.2682263,283.0184684,282.8715629,286.270294,286.1856847,287.6924635,289.3937208,286.2236038,286.8438792,279.8663852,278.719817,272.2493108,271.6641883,265.0052376,262.7287366,253.6735274,258.9124876,750.0132122,5,8
0.317310835,0.221653029,0.264955258,0.205457568,0.228346354,0.185335529,0.216496869,0.175588629,0.199986808,0.169162139,0.191192599,0.159414104,0.177315808,0.158696944,0.181958807,0.155996186,0.193250944,0.159858147,0.210640351,0.172990568,0.224198684,0.189568473,0.229712837,0.202866632,2.647131148,4.07295082,1.718032787,2.374551132,0.393764637,1.419854281,1.368306011,5.738069217,2.831352459,8.84828614,1.706479313,8.78647541,3.960860656,7.754210134,3.231411007,6.443306011,2.508606557,5.938797814,0.869945355,2.3,1.218559719,3.357084309,2.911413043,3.153797637,2840,275.8005921,277.6985154,282.5295724,285.4509649,294.9609649,294.0109061,301.8116842,298.1045468,303.4940431,301.5508852,302.1333772,303.4587281,305.3951645,303.1416338,302.2749013,301.0818969,301.0242105,298.8894408,296.5097061,293.1028289,287.7317404,284.4805383,276.8328947,277.5320465,261.9419925,263.0038636,265.7217456,268.2864904,273.205307,273.9925887,280.0895526,280.3164795,284.1778947,283.5401236,286.4734474,287.6050625,288.0396184,289.6242195,287.9726824,287.6226499,282.4649452,283.5377881,275.8701316,275.53575,270.0311453,268.1015287,265.6999254,264.4025189,1422.75,5,8
0.260717528,0.229831466,0.197111833,0.188040037,0.19913771,0.179554383,0.191365881,0.178736174,0.168542146,0.178446755,0.174622948,0.173031547,0.171493377,0.171930289,0.170931023,0.172006873,0.16377468,0.170883887,0.162037327,0.163295779,0.164167018,0.196118736,0.258523914,0.226978438,4.937562092,6.244036881,4.917411765,5.514603081,2.329914099,6.039054189,3.305976471,5.85572549,7.171086835,7.127108734,11.40769374,13.11074034,6.984745098,11.57677124,6.817235294,9.490861557,5.851319328,8.59603981,4.08372549,6.611484967,4.60547451,5.45012605,5.201756503,4.84339446,5214,278.0650647,277.3950699,284.5818388,288.4134105,294.2287273,296.1123771,298.2491075,304.3702737,300.6796793,303.8685626,302.1120486,305.5087505,307.0915078,308.3582065,305.283922,307.0446686,296.9704542,301.9919412,293.0787312,292.3348431,285.0548702,284.8267219,275.1623438,277.3832228,262.4749197,259.5563971,263.8002667,265.1267248,270.2540118,270.7243675,275.2168125,277.523657,281.8084221,281.1290759,286.6393342,287.0023895,288.2734954,289.3566183,287.4580663,287.5589078,280.1874286,282.9083857,274.5459323,273.9098863,268.099992,266.9709903,261.2810944,261.2332086,1761.132549,5,8
