Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,ET_01,ET_01_1,ET_02,ET_02_1,ET_03,ET_03_1,ET_04,ET_04_1,ET_05,ET_05_1,ET_06,ET_06_1,ET_07,ET_07_1,ET_08,ET_08_1,ET_09,ET_09_1,ET_10,ET_10_1,ET_11,ET_11_1,ET_12,ET_12_1,Id,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,ele,gc,stable
0.604102097,0.619185344,0.620416688,0.581102743,0.401585279,0.303259848,0.174777273,0.18832093,0.177632258,0.180083871,0.176486747,0.169808889,0.174636559,0.173765591,0.171006452,0.171348387,0.173513333,0.169331111,0.176559091,0.201365591,0.209766917,0.289613469,0.591383879,0.539921832,,,7.375,6.4,7.676666667,9.119444444,8.593333333,9.162,6.0325,8.284545455,10.03142857,14.74333333,14.6625,25.68333333,10.1975,19.98166667,4.430714286,8.686666667,6.061333333,6.1,6.56,6.112857143,,5.815,25497,260.291,262.8231333,268.3991111,269.1097394,284.5594909,288.1978424,300.422,302.8216,306.6629091,310.0681818,306.4988,309.1191667,306.0408333,306.8125,306.2178333,304.9912121,300.3765,298.0056667,288.9046,288.7996,278.8328636,276.204604,260.5004222,265.5958152,252.9755,251.7928333,257.1256,257.7850152,270.044,268.2919242,275.9012,277.5552,283.8610909,283.294,287.4542667,286.3285303,288.4387444,288.9284697,287.9327727,287.4446667,280.6588333,279.6566667,273.6155556,270.6372,267.4608,261.1121818,253.4389091,254.4122273,903,5,5
0.319813241,0.200128393,0.242156661,0.197773476,0.245982055,0.19515986,0.243853933,0.190533103,0.231145652,0.186751648,0.222161905,0.173245512,0.221969892,0.170926882,0.214061155,0.170245161,0.200845493,0.167333333,0.21452043,0.170696774,0.224769561,0.18884249,0.255142667,0.193594578,6.892,7.071619048,7.67,7.59,4.148333333,6.442626263,4.530666667,5.4625,3.8375,5.238181818,3.294285714,7.508333333,4.095,9.19,4.3425,7.592727273,6.059642857,7.661666667,5.753333333,7.468055556,5.732666667,7.288928571,5.228333333,6.336666667,2780,277.1976429,279.5790879,285.5275,289.0583333,295.0683333,296.7751667,301.604,306.4468,307.9581818,308.7623636,310.6515556,311.453803,314.1616667,311.1861667,311.4471364,310.8531212,303.4646667,305.1035,297.5584444,295.6574889,287.3539091,287.0469091,280.6266364,280.579,258.9494667,257.8460576,262.8164444,262.1786364,269.083,268.4093636,274.1132,275.8421167,279.9105455,280.5243636,285.0984444,285.4265,287.7408333,288.9936667,285.555,286.8083333,276.7485455,281.6803333,272.0456,272.7882,262.9306818,265.0423636,256.6332424,258.4955,1689.6,5,5
0.258765493,0.189940802,0.252120597,0.181847313,0.224537122,0.167464584,0.227053617,0.171203227,0.196068639,0.161846974,0.177956268,0.150155776,0.178510582,0.148293191,0.17982904,0.14474841,0.181048087,0.148497686,0.207815524,0.161744137,0.194672168,0.156757344,0.231782642,0.177379505,6.155959343,5.978971238,5.139724311,4.91708058,2.181059792,3.251649958,1.895224172,2.775477583,2.236795859,3.048370083,2.967569718,5.51159612,4.166457811,8.113972431,4.286403509,8.321644389,3.819120718,5.697352599,3.581885269,3.628817646,4.582831782,5.259380395,5.944068505,5.195216215,7928,276.8643943,276.9781716,283.8172314,285.577083,292.298208,294.5050844,298.0119675,302.8950167,302.6707845,305.2460507,304.9623024,307.8506934,308.9834552,309.0321784,306.0370067,306.1734383,298.4056228,300.6954059,292.7257977,293.2238062,282.0681738,282.525634,275.3862982,276.5415351,261.0962636,259.3026757,264.5860609,265.0893262,271.220834,271.9430555,275.4610727,278.1617627,283.8518129,283.6299514,289.0830359,289.6538957,291.503955,292.8909663,289.5856884,289.9196991,281.1549506,284.9575835,274.5662843,275.5166876,269.6176684,269.7654296,263.4135363,260.904016,1099.243943,5,5
0.682028728,0.655596977,0.656875258,0.65244414,0.347244361,0.28621576,0.206659832,0.19984755,0.205317754,0.199624375,0.196575476,0.195556585,0.199121538,0.197093273,0.200577105,0.198865171,0.207188652,0.200783212,0.213537562,0.208519576,0.314116345,0.351502028,0.610356213,0.57600928,,,,,2.837695679,2.436044145,2.455510332,2.141032491,0.981934878,2.16593613,1.626938903,2.115289084,1.800039136,2.456708127,0.857374318,2.736208516,1.031545755,2.030004649,2.59971196,2.711160311,3.097370069,4.673137132,,5.375177305,24146,257.392489,259.8744924,265.8887814,266.4333645,289.4902824,292.6054763,306.1863143,309.9434164,314.5534764,314.8125798,317.170918,319.1474363,318.3063671,320.2325725,317.8526039,317.6241875,309.177345,307.9877369,294.3921457,295.2463663,280.6406062,277.5849406,259.1048572,262.1583035,247.0185833,246.9278392,252.7865473,254.0450584,269.3424231,269.2557802,276.2850056,276.695315,283.1634121,281.782996,288.6282455,286.0972928,289.031088,289.4595158,286.579606,287.205945,278.5630296,279.5365816,269.9210296,269.6700833,263.7541077,259.5221313,250.361621,250.4504558,755.503444,5,7
0.664254437,0.651067662,0.629177022,0.636207512,0.318172998,0.297885348,0.190537355,0.18735824,0.196053562,0.186222182,0.197835654,0.183002746,0.199397129,0.183526826,0.200645367,0.186314479,0.20204482,0.192411959,0.191660658,0.200417881,0.280038984,0.267308761,0.52527563,0.616515829,,,,5.455770663,3.416875261,2.94137903,2.347139132,2.399934814,0.897520338,2.26237911,1.249856964,2.727045644,1.605506884,2.219197766,0.920279814,2.393377138,1.13311133,2.207895286,3.272465582,2.631542528,3.574003963,5.461378762,,,24460,256.4856014,257.9948552,262.5252719,265.687331,287.2175253,290.7541897,302.6223467,310.9442441,313.6508147,316.0078524,318.1305269,319.9122466,319.1903749,320.3338663,318.0234418,316.5156096,308.8360571,307.48881,293.4931879,293.8578605,281.6690031,277.6314667,256.8009548,258.1723731,247.6073782,246.0719733,251.4083079,252.8230882,270.559467,269.756537,277.5184869,278.2586389,284.1859961,283.4090437,289.825896,287.2906117,291.1274808,290.1787943,287.7247502,287.9626914,279.0308938,280.0416312,271.1126331,269.9103141,264.9989308,259.3097019,249.0762784,250.0457399,476.8322904,5,7
0.571608962,0.594514314,0.567036309,0.527265956,0.175146824,0.216447599,0.181447052,0.195091781,0.181147412,0.192483336,0.18220511,0.199795252,0.182256029,0.202983796,0.183195277,0.203876783,0.183461151,0.210806417,0.17487171,0.216016443,0.182924092,0.254184842,0.560926656,0.419705604,4.5,,4.609757874,5.147877759,4.46685866,4.752231538,4.217262192,4.133046837,2.925627716,5.021758483,2.663930468,5.986125865,2.510013279,3.867301333,1.929629406,4.074179141,1.955170897,3.148647265,3.879124417,3.233490262,5.139486331,5.225514244,5.062,5.005198777,23192,262.9677088,265.0154738,271.4768778,273.7241767,293.7563673,294.1391023,303.5892883,307.9420536,312.7591221,311.8546289,316.7948025,312.9571721,320.0915323,316.1441606,317.0460989,313.9879668,309.2650571,305.762743,294.0012942,293.1111936,283.2567709,280.376019,264.1398046,269.7740352,254.5937603,254.5912502,263.7025978,263.6188291,273.5505529,272.3033243,279.936311,279.8848561,286.2094965,284.6083333,289.7983158,287.3670393,290.3488842,290.1073931,288.9189087,288.0001428,281.7147598,280.3003963,274.6139118,272.287451,270.218594,264.4503935,251.5153592,258.5858824,600.7938194,5,7
0.625268839,0.538308876,0.539836355,0.240249156,,0.223393326,,0.207985454,0.197211913,0.194748412,,0.185646406,,0.20230756,,0.20336209,,0.202966189,,0.217384303,0.240636364,0.234752518,0.575934517,0.2411264,,,1.1,3.95,0.1,4.128571429,0.783333333,4.588888889,1.75,5.088888889,1.442857143,6.516666667,1.385714286,5.875,2.3625,6.025,1.3,4.425,1.06,2.9375,4.1,4.825,5.8,3.65,8968,274.9672281,276.5038277,286.2658972,287.4879864,299.0907898,300.5383622,308.6575595,306.5886478,314.0002076,311.9740398,317.616154,315.6117542,318.7867097,318.1146374,315.5452648,313.16799,307.9087386,308.1308392,301.8995392,298.9802903,290.0156397,286.3861419,269.1335585,278.0754402,261.5582068,262.1507076,267.5169553,268.5812547,274.9887531,275.0220661,282.7600238,282.355419,286.851852,285.7276952,290.3384825,289.6965732,291.3211721,292.6995224,290.5928541,290.9888303,285.0825628,285.3173901,278.4688605,276.5112283,271.3184907,268.8446076,259.0658271,263.242105,1372.052773,5,7
0.589782469,0.661139339,0.622797227,0.602247076,0.302803921,0.274914269,0.215873057,0.195172089,0.2237034,0.195632313,0.218769182,0.198060607,0.218421029,0.200034036,0.218638773,0.204520875,0.221835884,0.210944235,0.211951238,0.213633106,0.331541126,0.273821912,0.551566168,0.620308159,,,4.6,5.369244524,3.407019128,3.137287415,2.184727796,2.392214085,0.830292651,2.236151321,1.100819766,2.028180177,1.52776886,1.551615169,0.736765507,1.786192179,0.855362875,1.940124763,3.400641568,2.651797132,3.516278759,5.798371805,5.5,,24288,257.3699646,259.1512519,263.6785037,267.8034762,287.927175,290.1969771,301.4968371,309.742488,312.0613308,314.7101273,316.2693884,319.3009116,318.7735831,320.4697208,317.3506213,316.649259,307.8363918,306.341879,293.2899514,293.972368,281.0914964,277.3925277,257.1710614,259.8453989,245.8484601,247.3150305,251.8510722,254.1427538,270.4261517,269.9739503,277.2819037,278.5840036,284.241441,282.9797275,289.4682929,287.2672822,290.1843466,290.6367234,287.0627274,288.3317543,278.5475495,280.4363604,270.4948987,270.3322179,265.0408186,260.0190212,249.2497588,251.3328506,460.5541734,5,8
0.730341623,0.683819897,0.72869212,0.663298411,0.471567463,0.394767196,0.158810689,0.155616936,0.166966735,0.161378701,0.174653804,0.164696051,0.169644173,0.17245177,0.170051322,0.17576276,0.187033931,0.185391941,0.229267687,0.192282716,0.279162178,0.424773142,0.731877203,0.641857118,,3.2,,7.409557775,8.270188714,7.176066579,8.3647571,8.615220167,20.09797506,13.67498216,25.65899103,24.80555315,26.94411435,31.9277063,11.00265555,16.15608184,4.561329877,5.855486054,4.79764574,5.061797459,5.035081678,5.188672459,,4.371300448,27537,261.530678,264.7507539,266.969371,270.0736952,282.2306493,286.7392096,300.1465594,304.4349067,302.6054372,310.0115719,304.0964305,307.9305615,304.2580096,306.0044638,307.7280844,306.5934758,304.5089289,301.6992442,290.4819137,293.4191357,278.8276967,273.4753883,260.4381967,266.0500234,254.5606123,256.2860132,258.8229614,261.998593,269.311378,269.8304905,277.0028688,277.3093472,283.2889146,282.7191327,286.1002791,286.0164256,287.3589467,288.9510015,286.0267012,286.6122585,279.8957203,278.0074804,272.1391377,270.8543554,264.1521747,262.7339171,252.7485225,257.7102555,706.9304933,5,8
0.329492207,0.338802802,0.320123561,0.245405419,0.263180217,0.204699991,0.250788957,0.208282772,0.241075384,0.21455478,0.234908818,0.196613202,0.231025912,0.204817345,0.234274061,0.207847938,0.242669376,0.208424985,0.255392846,0.220590545,0.262550746,0.209179962,0.24711279,0.220949764,3.21521146,3.771111869,1.747851296,2.465126194,0.475353245,1.30111931,2.181002729,6.043663787,4.2700229,8.990026045,2.51880725,10.01707491,6.321662444,7.921173881,4.626006139,7.078057175,3.918690314,6.478308322,1.5211005,2.680724193,1.014620282,2.574483531,4.668076398,3.356161892,2840,278.2393071,279.2205265,288.6880087,289.2811888,300.4206356,298.6902698,306.2319073,303.1796792,309.9662193,308.7558488,308.2635409,310.2183824,314.8388134,311.5006533,310.4973154,308.8069085,307.3315939,304.7312966,300.9287905,297.4727932,292.0655893,287.4779866,280.5579623,280.409902,262.0152443,263.5947398,265.5550922,269.2554685,273.4621859,274.9234893,280.5986645,282.6730947,286.4010693,285.9513753,288.1846809,289.9291253,289.3797429,292.2857638,289.3813383,290.3547362,283.7740298,285.7548671,276.8181835,277.2849984,270.1463683,269.7592355,264.3119824,264.1847486,1466.116203,5,8
0.213497605,0.218831646,0.168757623,0.167461874,0.179463164,0.157576174,0.182231313,0.155540955,0.16653696,0.158031353,0.16460356,0.154609612,0.162618671,0.150199297,0.160773774,0.149444604,0.147946012,0.14389082,0.144149207,0.137318571,0.1514603,0.158412986,0.199289664,0.198391891,4.516795271,6.293205322,5.021232123,5.784581609,2.490350464,6.43972939,3.535162266,5.968949395,3.705111583,6.040189019,4.519267641,8.070544554,4.781978823,6.86469772,4.710430418,6.726936444,5.306431715,7.93947103,4.213718372,7.053505684,4.528181413,5.544892084,4.37137931,4.925770077,5214,275.0730838,273.9268188,280.7668717,284.9077562,292.3162016,293.3292703,295.8721639,301.6022151,300.2709541,303.609519,302.6677921,307.1049683,308.8156064,310.2599065,306.3198841,307.6187023,296.905145,300.6929556,291.5629279,290.3381139,283.0874085,282.2770037,272.8945428,274.4888929,261.6644442,259.4412773,263.2072882,264.6786244,269.8156252,269.6355471,274.6975314,276.3077193,280.9023832,280.3652545,285.6823508,285.8444601,286.6074124,288.6572956,286.3193711,287.1689902,279.3373086,282.5424085,273.9550757,273.5426562,267.5435176,266.8256606,260.8155012,260.9277686,1874.767327,5,8
0.283325381,0.261616443,0.276367555,0.260922799,0.273251577,0.26085764,0.259859822,0.251161513,0.246058785,0.246366115,0.238822534,0.230317055,0.23344932,0.228025106,0.233318399,0.229731267,0.228943627,0.229000537,0.244684403,0.253251051,0.255633243,0.260490477,0.314007424,0.261794088,5.118666667,6.27002381,3.399380952,4.533,1.545619048,3.682878788,1.629333333,3.175111111,2.9775,3.491959596,4.685714286,7.824555556,5.744642857,10.18555556,3.811785714,9.377222222,3.087619048,6.741757576,3.026666667,4.158,4.44952381,4.367,5.896666667,5.312738095,6982,279.0173206,278.4576717,286.5886732,289.4581122,296.1003575,298.4157525,301.3031132,308.7744779,308.0971637,309.7651401,311.2683505,313.6221657,314.804463,314.4032712,314.8000975,312.0815741,303.5338273,304.5984281,297.2888117,295.1572553,287.3744128,286.3335805,276.5863051,278.9198086,259.3462707,255.5241222,261.3669936,261.2447056,268.9595324,267.9577595,275.0818528,275.4491145,282.2445722,280.5577101,287.7751628,286.0539401,289.324627,288.8404715,286.8839316,286.9015967,278.7287363,281.3159602,272.7141296,271.202644,264.7749845,262.4299281,258.0657302,256.51635,1383.984821,5,8
0.564768398,0.587827011,0.5778124,0.527586977,0.352409667,0.348008085,0.174795416,0.168119115,0.189768869,0.17228622,0.187873798,0.173556597,0.188882527,0.178111232,0.189592922,0.180452257,0.195690212,0.18454249,0.201284168,0.184840627,0.365261533,0.394119578,0.578876879,0.574948668,5.305188679,5.4,4.8,5.553785644,2.685489722,4.420054414,3.67662233,4.091418783,1.669475514,4.11901451,2.299421316,3.873917225,2.5996448,2.73331318,1.272710097,2.833257759,1.37004736,2.843157909,3.532431479,3.194449483,3.374100161,5.432738815,,,23606,260.5991028,261.3527433,266.3299086,268.3324687,285.2942473,286.5405972,297.9009347,306.145636,309.0658712,310.0971095,312.6450278,314.931845,314.3597269,316.6140165,313.0148383,313.7686512,304.3649844,303.5053109,289.3152255,290.7214444,278.3419285,274.9415397,260.6262167,261.7075732,251.6792427,251.7049093,256.171607,258.3333802,272.5540057,271.1817257,278.4287981,280.352396,285.6288744,284.9202325,290.0206297,288.5864443,291.8018371,291.9018944,290.1023393,289.7765271,282.5695536,282.6628764,273.8884756,273.5523458,268.7144953,264.9459264,252.6458411,253.7165766,847.1324063,5,9
0.708664875,0.685321338,0.694254514,0.681353872,0.424110565,0.313672774,0.225158491,0.222102507,0.225937281,0.222437072,0.219337566,0.215380483,0.217174367,0.222041158,0.21763477,0.226271567,0.221900993,0.222764782,0.219476186,0.223536342,0.355659032,0.376930079,0.630674915,0.60012924,,,,,2.934568397,2.9318196,2.524954521,2.34884668,1.183547352,3.08595457,2.236367806,4.852929374,3.142886761,4.039383806,1.35484885,3.344105582,1.240756134,2.3532123,2.739076155,2.714244737,3.154287498,4.892607455,,,23978,258.0487136,259.879148,265.1914773,266.3907125,285.3760424,290.7333018,303.2361926,307.2136849,310.4405613,311.0943465,313.5839968,314.8635447,315.1443013,316.5117188,315.7505226,314.4704089,308.2620104,306.0026792,294.4931077,293.8580134,280.7875184,277.2950245,259.7406269,261.885413,247.5506982,248.0240249,252.7904901,254.6116627,269.6889995,269.8630062,276.1680813,277.1426431,282.8349861,281.6326358,288.1772948,285.9257027,288.8008574,289.1916836,286.7798622,287.1047968,279.3909546,279.6337819,270.3909554,270.6032322,264.3895768,260.9427378,252.7274775,251.3288077,779.9127876,5,10
0.778558919,0.675113292,0.67402132,0.640556766,0.413982384,0.313034212,0.165115973,0.171552664,0.168296927,0.175920672,0.170230696,0.17326843,0.174517692,0.178222041,0.173146054,0.182061569,0.175937546,0.183778809,0.202817287,0.189725986,0.321882206,0.469735008,0.759140579,0.620670228,,,,7.105510052,9.358358931,9.798222398,9.034939704,8.954158134,8.955245002,9.59041721,13.35581424,10.8379231,8.921901511,8.869206105,5.147478669,7.720838246,2.953101536,5.823377288,5.875651308,5.639199469,6.083680887,6.174175199,,6.262133106,23384,263.5100741,267.1657203,270.4095867,272.6874929,286.3781401,290.3371325,297.940676,303.0550034,303.046345,307.8264937,306.6226027,309.2978675,309.6090466,312.7179412,311.0698882,311.6860344,305.1008257,303.8601379,290.1406652,292.8284997,280.4953751,276.6903029,265.2178119,269.0596074,257.7601041,258.5278948,261.6152594,263.6103746,270.6265034,270.852754,277.030534,277.7261338,282.7293816,281.8906533,286.0273488,284.8130179,286.6449649,288.0892985,286.0344415,286.4165933,280.2974828,279.4301126,273.6329046,272.5527225,267.9767949,265.3744629,258.614097,260.6203028,1291.304437,5,10
0.267370193,0.20560667,0.243277616,0.2005746,0.226242922,0.194971028,0.219965558,0.196139819,0.201620736,0.189499217,0.193541535,0.174908257,0.192440807,0.171993287,0.189776022,0.170473905,0.191492739,0.17103757,0.20510562,0.181939939,0.210480702,0.19410599,0.267240874,0.201928194,6.129334751,6.558897205,4.857787419,5.892135004,2.337996112,3.644446295,1.913806651,3.204173594,2.484075825,3.845359468,2.915331571,7.429646627,6.041331456,9.620370438,6.008594558,9.350020113,4.575482703,6.071531181,4.199849155,4.059650711,4.87214573,5.70092542,6.218545495,5.629652722,7027,277.3119761,277.3338009,283.4203441,286.7416412,291.8883142,295.6565585,297.251856,304.2812635,304.468892,308.5887395,306.1872566,310.180473,310.9943842,310.7022771,307.9133111,307.6618971,301.0244354,302.6673246,295.5244866,293.7169587,284.1170448,283.7400748,277.0566807,277.3940987,260.2059584,259.0262761,263.9523066,264.4643125,270.9757258,270.4051911,275.7179252,277.169465,283.7467915,282.7358915,288.780457,288.6142308,290.9520686,291.4248636,288.7500429,288.6713193,282.0068328,283.9115809,274.1554508,274.9125386,266.9404148,267.3085468,258.7475322,260.1737574,1113.782381,5,10
