Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,ET_01,ET_01_1,ET_02,ET_02_1,ET_03,ET_03_1,ET_04,ET_04_1,ET_05,ET_05_1,ET_06,ET_06_1,ET_07,ET_07_1,ET_08,ET_08_1,ET_09,ET_09_1,ET_10,ET_10_1,ET_11,ET_11_1,ET_12,ET_12_1,Id,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,ele,stable,uc
0.785442023,0.705159161,0.764031456,0.722441368,0.543018612,0.522879991,0.253988851,0.26274339,0.260844773,0.251056275,0.260866048,0.248571999,0.265446463,0.236598233,0.26540028,0.235857149,0.269029133,0.245044685,0.273358125,0.271981427,0.297955739,0.367311725,0.643738115,0.651418603,,,,,3.671642256,2.977610218,3.396111457,2.464919238,1.402971275,2.055147455,0.887418755,3.343662946,1.123464976,6.98628874,0.84120359,8.801206136,1.179517707,5.177593275,4.025084917,4.029713399,4.642268026,5.460670139,,,27674,254.125289,257.8240923,260.648909,263.9978679,278.8606417,281.2748957,298.6396117,302.0822619,308.1789161,309.0802901,312.3579015,311.7091682,313.9205273,308.7489336,313.7609658,305.8204569,303.8855698,298.3157922,288.6792222,287.2761594,277.2188424,273.3097804,256.5112357,258.9396443,249.0302614,249.3146823,251.9226828,253.9456839,265.8426327,266.6015391,276.5093858,276.194978,283.2180243,282.2259029,288.5420408,286.108968,289.5703052,289.2870457,286.901889,286.7792861,278.593335,279.0935765,269.9803342,270.8754062,263.4007179,260.7072141,249.5757644,252.3539675,583.8703646,58,30
,0.624732054,0.668078019,0.6425605,0.474315705,0.382490209,0.221215352,0.250873669,0.225595484,0.254145632,0.219995404,0.252887288,0.220436379,0.234213407,0.22319319,0.227490049,0.220010917,0.231716474,0.222928993,0.251940886,0.241791489,0.284468002,0.566048357,0.454253754,,,,6.379113228,4.16301297,3.490372985,3.222204929,2.405353567,1.331591996,1.767396816,0.918183435,2.24580691,1.229756253,5.411459127,0.833056976,7.119510848,1.240180656,4.889193468,3.819801556,4.283111284,5.487058366,5.449196357,,5.558324254,27388,251.1298272,254.7017048,258.3141569,262.4131925,278.7793767,286.1429476,302.5172187,306.0233209,312.5162966,312.184149,315.1009955,314.2544859,318.5761822,312.6742128,317.5745837,309.3903406,305.3872163,300.0780431,289.3738269,287.8949965,276.4072684,273.9336657,254.0920763,260.2848157,245.7453362,245.7462209,246.5167461,250.8359589,265.9587956,267.9166552,277.9455329,276.7277446,284.6520804,282.9244167,290.5639847,286.9267961,291.8583097,290.7529099,288.5324421,287.7626767,278.97792,279.3438516,270.4616296,270.2280089,261.8239285,258.8386568,248.4485571,250.0522039,408.0597665,60,30
0.756372145,0.681585787,0.674228843,0.681227561,0.338114775,0.318659104,0.225198648,0.210614328,0.233117965,0.213428956,0.240795196,0.202165655,0.240520506,0.203062955,0.24179015,0.200837069,0.238286429,0.20217529,0.227031924,0.211425505,0.288829359,0.272851629,0.586569439,0.637651174,,,,5.19813154,2.879740932,2.300063001,2.030068156,1.847900821,0.964637743,2.205078101,1.156539028,7.072867333,1.229887089,10.51403797,0.667616184,11.9549895,0.900046637,6.412980145,2.965304696,2.85002851,4.069598347,4.952637593,,,24615,254.9053536,257.3546281,262.3946631,265.1054248,285.8507335,288.738007,301.6464195,308.8981218,311.0309922,312.4716353,316.3466289,312.0359454,317.2890244,308.7995578,316.0251161,308.2731829,305.7930863,302.7241771,290.8522664,293.0981623,280.7904884,277.5794966,258.1871637,259.304724,247.8046913,245.4979966,250.4103956,252.2088335,270.4528591,269.0710326,277.549425,278.3792989,284.5351928,283.7833609,288.6243572,287.0796683,290.6047451,288.8384965,287.6276444,286.7087005,278.71618,279.523799,270.9032898,269.6713277,264.3720117,259.7829894,248.8507476,250.5766287,434.1515464,17,31
0.569315906,0.500591622,0.627937273,0.422391635,0.612456216,0.195221069,0.145715173,0.179172842,0.135337299,0.180618749,0.154783699,0.182019591,0.124291744,0.195881934,0.190258065,0.195054936,0.156449839,0.196644407,0.160896759,0.220511187,0.183379431,0.258405885,0.498769198,0.495883042,,5.569234668,5.158974359,6.015069395,3.875211715,5.6356337,3.458882851,4.290755116,1.380049652,2.969779945,1.493475149,10.96383621,1.174590836,19.83857771,0.825540125,21.36147494,1.177815808,9.977623575,4.590838391,4.156892496,5.989714185,5.055678311,5.6,5.702244178,24565,260.2219906,260.1821279,267.6120955,276.6971464,291.3897484,293.3608118,305.275397,307.1383664,312.7638757,311.1903374,315.558599,310.7525316,316.8482135,307.800838,317.2313367,305.3994134,306.2852896,301.0759471,291.7041285,291.8621134,283.9719701,278.4968772,261.1528852,264.1778637,253.8006177,252.1852084,257.4962832,259.037366,271.6203582,271.2508923,277.4413927,281.027569,285.7444253,286.2365612,290.4125287,289.5165096,291.4651409,291.179407,290.5218354,289.3018421,282.3431027,281.4681186,273.7518294,273.2101946,267.1250357,262.2148728,254.9368964,254.9316984,541.2499384,41,31
0.256494333,0.248522818,0.269710027,0.246814801,0.271989489,0.237030386,0.262804413,0.225676471,0.252569966,0.201886871,0.238272392,0.185917018,0.238130856,0.173939205,0.245627385,0.172987867,0.250688175,0.1810913,0.26184405,0.217868547,0.26796612,0.245375984,0.260088546,0.252689923,,,,,,,,,,,,,,,,,,,,,,,,,4658,281.3662335,282.7891504,290.802624,292.978708,303.3645654,302.4475403,307.6663067,310.8844207,318.4775274,313.7511611,318.4353044,313.0400259,322.3434414,315.0001997,320.9460856,311.6033232,315.0029345,308.0138952,305.3742853,299.9124068,294.59621,290.3481097,280.0425912,281.9525641,256.4570955,256.7697018,262.8412355,263.1991519,271.316019,271.7794702,278.2627419,279.8739381,284.9367403,283.4514415,288.2519861,287.9408231,288.1368862,291.3126442,288.8422464,289.1116143,279.9411642,282.552337,271.7316373,272.2216123,263.5153885,263.4523038,255.6996287,257.1901457,1298.587963,35,34
0.721915607,0.628535874,0.697315149,0.658941733,0.421725644,0.313627593,0.150617598,0.184736249,0.147749095,0.180956265,0.145546724,0.168487164,0.14644881,0.164760927,0.14811025,0.167131188,0.152124689,0.177528067,0.232501582,0.198253998,0.401156889,0.51577626,0.716284908,0.632120277,,5.023848151,6.050533463,5.420400664,5.279479277,3.530516414,5.033497091,2.977145228,1.956214991,2.958897877,1.25184981,5.239004321,0.88308008,10.76756461,0.571077702,9.106745232,0.909263123,4.358162993,4.261074907,4.451581593,4.40957174,4.868179928,,4.413879985,27138,257.4793651,260.7673324,264.4536565,268.2861227,283.1106505,287.8456263,298.9573785,304.0603936,311.3423093,308.6905824,314.4400552,310.7248652,316.7163697,309.7586371,316.3066287,307.477833,306.4148405,300.449776,286.6528123,288.8974957,273.485206,269.2434479,258.3883044,262.3288018,251.510642,254.5715779,256.372094,258.5903259,267.0693601,267.0226115,275.3994732,275.019943,281.9171929,280.2112036,286.8496715,284.5906207,287.9723725,287.9125326,286.167415,285.2827828,277.6685492,277.9585203,268.5739725,269.8546166,261.9585536,260.2793021,252.766161,255.2052343,1097.16292,37,34
0.722379608,0.670190425,0.754577053,0.690782438,0.553772738,0.457060504,0.256153991,0.245949433,0.254133401,0.239042124,0.255477855,0.224168901,0.256991097,0.208947133,0.258897632,0.20718126,0.260258954,0.213842096,0.264083432,0.245943239,0.27882605,0.353162924,0.624310252,0.62437812,,,,,3.867747496,2.640185343,3.397709778,2.448966622,1.387330532,2.174024157,0.849068361,5.136202978,1.214702866,13.071743,0.783054508,14.9812154,1.130910304,6.839691845,4.288000365,4.345110584,4.802846193,5.339120302,,,27842,255.1725945,258.060997,260.7992059,263.9047788,278.8438837,281.7656753,298.1789541,301.956044,307.4269528,307.637162,311.8270137,310.1316603,313.3036168,306.5901479,312.3618947,303.2906751,302.3730488,296.6963501,286.3332719,286.6341974,276.8848765,272.9532858,255.7105667,260.4193467,248.7047363,250.2331566,251.3331734,253.9851561,265.0981678,266.0735044,275.7500786,275.2149176,282.4221241,282.1046508,287.5742472,285.8443858,288.5596175,288.8879317,286.0541067,286.4285158,277.8678361,278.6181217,269.9506013,270.5698733,262.5798995,259.8528007,250.2158674,252.5627697,607.5866894,54,34
0.715805207,0.632194465,0.746468574,0.660915393,0.565914833,0.439282602,0.251163572,0.223258396,0.247105339,0.212962577,0.235958697,0.208196766,0.239696239,0.201887549,0.237890965,0.197490268,0.24583194,0.204355245,0.262370729,0.227042826,0.276696231,0.306369063,0.477990972,0.587332617,,,,,4.037728589,3.102611511,3.133676266,2.395456385,1.238684738,2.12079344,0.861655135,2.481849556,1.776823753,4.739294318,1.525106892,5.057392201,1.443771357,3.529934926,4.312027847,4.260853621,4.810135793,5.701553583,4.7,5.485103991,27962,254.2837902,256.9708758,259.8558954,263.4668732,278.335437,283.7461255,296.1863803,301.3230559,305.2800327,307.4988489,310.1617634,310.1128688,311.5812353,310.4302769,310.5057942,306.737183,300.2040131,297.4293865,284.991252,286.8286754,275.5491926,272.791277,257.102734,258.5891825,245.6921924,247.7155421,250.363622,252.382981,266.0673787,266.3387341,274.7705838,276.0868039,283.7825534,283.3903454,288.2102725,287.0984855,289.5094648,290.6838654,287.471677,288.2333503,279.1659167,280.0350053,270.7480732,271.176983,263.6172238,260.7577819,250.2955998,251.3112359,499.5707485,5,35
0.705819449,0.709496198,0.694447443,0.710544606,0.4698407,0.392114591,0.194990322,0.185233371,0.201554663,0.188816919,0.199941465,0.187522763,0.199411386,0.203610441,0.201168465,0.209646663,0.2072318,0.200084456,0.195839929,0.201223369,0.319584036,0.338991981,0.694427044,0.624787459,,,6.86,5.6,6.70611764,6.397057251,7.557995737,6.158101548,3.516875093,7.935546617,3.896179613,9.393582472,5.536821638,4.46440808,3.960745766,2.755680902,2.185426646,3.942126764,4.765407881,4.45453636,5.240332988,5.639363982,,5.912873911,26964,259.4470069,260.4415592,266.4276599,268.0548759,279.7165329,284.5304797,299.6010759,304.6599443,308.5882783,308.9468628,311.7079328,312.5085524,311.8879883,314.7813443,312.7521533,313.7462048,306.0967867,304.4395605,289.8451377,291.744494,278.0997039,274.2231812,258.3031299,263.1777065,254.7976936,252.8304663,257.271323,257.708958,269.2781334,269.5221656,276.872679,277.6742122,282.9763996,283.0205061,287.5648153,286.8966473,289.3942061,290.6524667,287.5301419,288.3163274,279.8876131,279.4160231,272.5145456,271.8953556,266.7657908,262.196152,253.5848699,255.8023344,637.6739422,17,35
0.248058271,0.237144519,0.291232143,0.19007188,0.24453679,0.185133302,0.211768223,0.187473632,0.198565497,0.211543156,0.1808669,0.194133787,0.156037652,0.186181276,0.162862233,0.184655211,0.18326003,0.188048944,0.20671274,0.211743871,0.233945703,0.212720802,0.241733238,0.2113074,5.414960714,6.138412899,2.739178724,2.698932599,0.31273936,1.437289506,0.324955051,1.407226821,0.22991699,1.045272726,0.39348153,4.730164443,1.870936464,10.06720194,1.409991886,10.40473721,1.044873441,6.308155889,0.918414515,1.685079547,2.091691184,2.804294763,5.779234367,5.258769706,14116,276.2501857,277.4417974,282.2867245,283.017516,295.2267917,292.4874405,302.6250224,302.4773854,308.9364425,309.3956014,310.9861806,310.1196449,311.1484279,306.6280187,312.5413716,304.4488202,305.5655033,301.8262344,295.7933633,295.0970853,286.491236,283.8719216,275.1623123,276.9052957,259.8599818,260.1541313,264.5047799,267.4621468,272.7500817,274.026353,279.7006106,281.4970875,285.9145383,284.9596476,289.6763328,289.0397259,291.8355574,290.6791009,290.9827103,288.899533,284.8262181,284.1513054,276.6148648,275.0884745,269.4402658,267.5077253,260.4648126,262.4797051,1041.399957,7,37
