Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,ET_01,ET_01_1,ET_02,ET_02_1,ET_03,ET_03_1,ET_04,ET_04_1,ET_05,ET_05_1,ET_06,ET_06_1,ET_07,ET_07_1,ET_08,ET_08_1,ET_09,ET_09_1,ET_10,ET_10_1,ET_11,ET_11_1,ET_12,ET_12_1,Id,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,ele,stable,uc
0.747578807,0.738162229,0.764322241,0.751994426,0.540450688,0.564361051,0.251522936,0.27465549,0.258988417,0.26788368,0.260982303,0.269918108,0.267652364,0.269146416,0.267128039,0.268240975,0.271098463,0.279191406,0.276139244,0.293042747,0.294033747,0.428130412,0.671655249,0.694075137,,,,,3.629632013,3.022443101,3.437537532,2.393665726,1.394180857,2.08186213,0.906844533,1.930933976,1.151547095,2.864843475,0.818922645,3.357255618,1.2073614,3.259012588,4.115471159,4.093878778,4.766848,5.566965846,,,27674,254.6039574,257.7176082,261.1120672,264.0079194,278.9417,280.5244103,298.7198168,302.010912,308.5686169,308.7857297,312.8428266,312.5346282,314.2362112,312.5853416,314.0573149,309.1075142,303.9844504,299.8363348,288.0590456,287.3129653,277.2791121,272.3222402,256.6495808,258.9271373,250.2935063,249.8277833,252.6658698,254.4322466,266.1022776,266.7171897,276.9488685,276.7844897,283.2718034,282.5218165,288.3999365,286.2519822,289.7672757,289.6435098,287.2878686,287.1215562,279.0365815,279.4801166,269.9688412,271.081789,263.6890148,260.7646736,250.2309089,252.4311842,616.4511826,58,30
0.6985,0.64699078,0.669720209,0.649080578,0.43679856,0.356122188,0.23251739,0.243428406,0.237874081,0.239513344,0.236501905,0.243111389,0.240538739,0.240586376,0.246200961,0.246789635,0.243278277,0.250223559,0.247890976,0.259585313,0.272538509,0.287000549,0.529651985,0.483552256,,,,6.336649001,4.023528838,3.33375492,3.200533833,2.329037132,1.103826471,1.71029104,0.680819703,1.340907944,0.880510168,1.587742297,0.617143721,1.833500184,1.083426152,2.887440668,3.957855303,4.260508691,5.592530243,5.631460267,4.8,5.322633263,27388,251.4146392,253.7099653,258.3729201,262.4005784,280.9750672,288.4101516,303.2345732,307.3460785,312.7576484,314.3619018,315.6815531,317.1053781,317.8890737,316.5675917,317.2531156,313.4730384,306.0423782,302.244534,290.221166,289.0537428,278.5022209,274.6089009,256.6767047,260.1550844,246.0000795,244.9334151,246.6974106,250.8566762,265.869487,267.7215819,277.393351,276.9401002,283.8123357,283.2422736,289.5743954,287.1198101,291.5661805,291.1381601,287.7078146,288.4163119,278.1723876,279.6936642,269.1619415,270.2058358,260.5644361,258.5830773,248.448652,250.1939236,394.0781337,60,30
0.727909091,0.651471848,0.660644916,0.642509845,0.321232257,0.325268847,0.205879068,0.2201464,0.212860416,0.219755808,0.218460433,0.218268341,0.218445638,0.221561383,0.221802633,0.225392098,0.217272269,0.226288312,0.20786812,0.237976498,0.267592372,0.274948124,0.577652612,0.598934996,,,,5.123460838,3.060308563,2.327698627,2.031877089,1.818788892,1.105205617,1.658935693,1.136469162,2.32496065,1.130522444,2.124003912,0.537834276,2.883761503,0.828988815,2.461879855,3.004564155,2.677524928,4.019921206,4.986017338,,,24615,254.6332247,257.2622349,262.030494,264.725728,287.0000082,288.9305303,302.6980602,309.7162764,312.8921078,315.1061862,318.3803332,317.9850122,318.5044967,318.2298014,317.710788,315.3842217,307.6068929,305.5494208,291.4525959,293.6196143,280.6124434,276.6328747,257.6631084,259.13762,247.6197731,244.9687373,250.0259038,251.8408491,270.4670562,269.2199565,278.0597259,278.1171754,284.4334487,283.0561294,289.2864857,286.6945198,290.918131,289.4886087,288.1562908,287.017248,279.0383458,279.4027702,271.2254628,269.1667233,264.2578096,258.9410477,248.6623683,250.2312639,430.419388,17,31
0.516302888,0.540456689,0.555732464,0.532676484,0.474187982,0.34991656,0.130337495,0.143710948,0.143170464,0.166099496,0.154204304,0.164314619,0.163039657,0.167010301,0.162948218,0.157674067,0.160915296,0.158145869,0.160325185,0.156109891,0.19529397,0.322892661,0.456895319,0.551624287,6,5.951058201,5.35978001,6.226293698,3.974660542,5.430759493,3.802584332,4.705862937,1.656312612,2.600972422,1.778488968,2.44800062,1.709876052,1.764912571,1.018978902,2.119443358,1.277264852,3.344084239,4.704218576,4.092527084,6.009810386,6.014562502,5.977672359,6.180918769,24565,259.8045973,259.9370167,267.3795346,269.2851266,290.7386556,291.1806603,303.8722388,307.4463972,312.0060728,313.5173359,314.7215359,317.5553662,316.9794893,318.6269447,316.7521835,314.7645182,305.8511359,304.7134926,290.7060278,293.1592932,282.4889214,278.2623159,260.085543,262.1736692,253.7579321,252.1383773,257.6214026,258.7145816,271.9664599,271.0845539,277.0105083,280.8573482,285.922688,285.7307725,290.19274,289.5139255,291.6132592,292.2985284,290.8083079,290.5658356,282.8702673,281.9750761,274.2435637,273.4126624,267.8122026,262.2214911,255.8588432,255.025266,597.2313814,41,31
0.264376559,0.238847035,0.267631164,0.234028891,0.26975036,0.224551662,0.260370784,0.221117895,0.247021436,0.199742117,0.227004199,0.193716495,0.22943202,0.188348279,0.23728445,0.188661037,0.245331656,0.199939781,0.254507192,0.219687558,0.261853485,0.233134921,0.261662658,0.232418996,,,,,,,,,,,,,,,,,,,,,,,,,4658,280.8159398,282.5361433,290.0041309,293.2773368,303.076833,302.656592,307.8961055,311.8704832,318.3452578,316.3602061,318.1159984,317.5466012,322.2146786,320.8958561,320.86119,317.1220729,314.509963,312.2289184,305.2745499,301.1269837,294.355754,290.8655715,280.45715,281.5489313,255.8809313,256.0308806,262.661139,262.6657616,271.3030843,271.5230061,277.9203448,279.296685,284.6736288,282.9773166,287.8846354,287.7472076,288.658126,291.5937579,288.691346,289.1005655,279.504898,282.1449332,271.6350878,271.5702265,263.3543929,262.8685763,255.1630376,256.2360229,1296.52932,35,34
0.713109239,0.640678014,0.698154555,0.662758991,0.428290082,0.321920062,0.155054271,0.178955935,0.155932612,0.174957493,0.153817505,0.167418195,0.154693898,0.168061517,0.156704777,0.168351401,0.161482625,0.177600468,0.233240692,0.189809524,0.407910552,0.511694567,0.719170962,0.624409567,,5.301835536,6.032860825,5.659428811,5.369366977,3.429451156,5.206081032,2.966963411,1.879116995,2.801764911,1.278909183,3.310469371,0.928733349,5.831504066,0.566600769,5.355598951,0.974086712,3.476198252,4.206267788,4.575032506,3.993239165,4.650311502,,4.08072141,27138,257.5050017,260.1116658,264.1443579,267.2238489,282.5965457,286.8093455,298.5259696,303.8937366,310.6212235,308.9139829,314.071045,311.5839571,316.0979973,311.8054956,315.5061159,308.9547439,305.8856548,300.7053597,286.4369264,288.6179405,273.228146,268.9947497,258.2671617,262.0360673,251.1555982,254.2210697,256.1010567,258.1424769,266.5730905,266.6856851,275.0138381,274.8728149,281.4008611,279.8734094,286.2717137,284.2172868,287.3104306,287.6632902,285.5080295,284.9872807,277.017676,277.5188726,267.9341628,269.2809467,261.5168641,259.9887952,252.235565,254.9509848,1077.835926,37,34
0.720680868,0.726791675,0.760268753,0.745474756,0.545923526,0.547539325,0.248521748,0.254389562,0.252678495,0.248766724,0.254507256,0.249478651,0.258121091,0.247582665,0.258701726,0.249579682,0.261629547,0.259107558,0.268124565,0.272141922,0.283616064,0.398355624,0.661343262,0.676507711,,,,,3.892979444,2.794996765,3.443991713,2.432354039,1.371312181,2.10751293,0.853654088,1.814868541,1.19577796,2.402415883,0.746284717,2.560003292,1.150301041,2.967265816,4.211234384,4.652486262,4.783513718,5.671905686,,,27842,253.5967571,257.1268788,261.0383054,263.2826109,278.8629206,280.2417664,298.9659456,303.1250262,308.109334,309.1299175,312.2556595,313.5442186,314.2331202,313.9307633,313.5918508,310.2498213,303.5321498,300.1868194,286.6302679,287.4462645,277.1601911,271.8965507,255.8717717,258.3987843,248.5952702,249.6940873,251.4089246,253.5358639,264.9757151,265.6493435,275.5216137,274.9968409,281.6262492,281.6547192,287.1655643,285.0493672,288.0902802,288.5076959,285.9065206,286.0220922,277.4229444,277.9954117,269.4793943,269.800683,262.3421455,259.4739114,249.8333274,251.3386166,643.3657608,54,34
0.681415444,0.635716553,0.735135777,0.658007805,0.535487589,0.419051313,0.250236406,0.223991653,0.241854984,0.215177158,0.227233195,0.209068673,0.226947646,0.202346371,0.222992254,0.199516652,0.233324787,0.206155821,0.253426345,0.231068745,0.270403477,0.304156712,0.453977011,0.588442994,,,,,4.416900247,2.930795352,3.238909041,2.389535587,1.350226711,2.139294012,1.009598398,2.320768068,1.966405606,3.833546304,1.872897774,3.780544106,1.589550701,3.288941767,4.242640835,4.308707259,4.771766184,5.692316865,,5.277874564,27962,254.6655624,257.1217216,260.3677377,263.6946,279.6158011,284.5572849,296.2581121,301.6897593,305.0728772,307.5354028,309.7673388,310.5027714,311.1061246,310.9648853,310.1388438,307.2410188,300.3718377,297.786835,284.8625892,287.1852003,276.0138912,273.276948,257.0707931,258.6195349,246.1668315,247.8432509,250.7844897,252.4544021,266.1729194,266.5430576,274.3242434,276.075127,283.6382313,283.2771303,288.335258,286.9385971,289.5491715,290.6091543,287.6419155,288.0037249,279.1032227,279.8671833,271.0461395,271.1243471,264.0312658,260.7591449,250.8571393,251.1300877,508.3874691,5,35
0.685465172,0.719125868,0.714238557,0.720077071,0.419922389,0.377760307,0.161003977,0.163135749,0.171456375,0.167878919,0.174504109,0.170624433,0.178251592,0.179007873,0.179572801,0.181354947,0.185461061,0.181235748,0.186025674,0.184986755,0.272732564,0.344305417,0.666929925,0.61382024,,,6.929760377,5.477755511,6.7423201,5.735325073,6.551241774,5.577834287,4.028264485,4.766052369,2.724248927,4.183680583,2.236000536,2.489807517,1.742452866,2.250884543,1.788808246,3.610699733,4.189400215,4.344331187,5.338711016,5.625908059,,6.015563006,26964,258.9516163,260.1051062,265.8841674,267.9089215,280.820284,286.1452177,301.9130627,306.6694433,310.2681073,313.2175324,316.222406,318.0561139,316.9376534,319.0401559,316.6065698,315.6022783,307.8161012,304.9244871,289.634155,292.2655448,278.0311114,273.8976344,258.3472188,262.8787545,254.0915929,252.891399,256.9072944,257.4513642,269.9093354,269.7100941,277.3153077,277.9420197,284.1614159,283.6415314,288.5312541,287.3284839,289.9434174,290.6248437,287.4908362,288.5007308,279.767328,279.588716,272.6437975,271.8862144,266.6460381,262.1232676,253.3687378,255.2542918,576.8701717,17,35
0.248331347,0.23284229,,0.208702879,0.232344173,0.184185775,0.200304879,0.183326466,0.192743649,0.194457937,0.174885766,0.179636074,0.152404086,0.172180121,0.155839377,0.171698046,0.176615369,0.175711288,0.204638881,0.199685486,0.231096586,0.214442731,0.23727396,0.217997553,5.537887989,6.234785857,2.829003599,2.951192083,0.396657509,1.443648785,0.437123257,1.377229853,0.285818633,1.103013127,0.464957265,3.758979471,2.167548278,6.688511532,1.799478263,7.403593629,1.357712551,4.908536274,1.057678812,1.557378355,2.140435223,2.855145074,6.351263244,5.036932074,14116,276.3143268,276.833792,282.2169344,282.9317077,295.1440326,293.0154476,302.395772,302.6198199,309.1242267,308.6712859,310.1400956,310.8742873,310.432395,308.245641,311.3536169,305.6137752,305.1987598,301.8700408,295.9404585,294.8451888,286.8228169,283.5865921,274.8350515,276.474739,258.7310219,259.9779248,263.9102591,266.9476358,272.7204579,273.7205843,279.6373115,281.5667336,285.7356717,284.9886615,289.7983418,288.8335549,291.0054694,290.9220438,290.258591,289.2961116,284.2927619,284.5663721,275.8630015,275.2655561,268.3170962,267.0132595,259.6155824,262.546534,1040.156016,7,37
