,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,Id,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x
0,-0.0498183,-0.0730292,-0.2290542,0.3749742,0.1626254,1.25542,1.4642053,1.6937641,0.9366495,0.2179478,0.2770708,-1.0876511,24285,0.1189461,0.0433303,-0.037804,-0.0916924,-0.0476832,0.2495857,0.0672829,0.0644118,0.0639611,-0.2229435,0.3110787,0.3330028
1,0.5168846,0.3652651,0.2219617,0.7101268,1.3815563,0.5574859,1.8501975,2.1812205,1.6646262,0.9909057,0.617412,0.4975999,4786,-0.1403956,0.0255468,0.1737941,-0.3978525,-0.3609229,0.4540731,-0.4680413,-0.7736705,0.8339295,0.8496843,-0.3679259,-0.604248
2,0.2711103,-0.3137656,0.8734653,0.0008384,0.6872108,0.1719641,0.0951718,0.6060683,0.1420863,0.1707205,-0.917711,-1.8541208,24737,-0.428074,0.2135516,-0.3506135,-0.0512529,-0.1013545,0.1304532,0.4291672,0.3590555,0.1373068,0.0975372,0.2780519,0.4566074
3,-0.6505724,-0.2842255,-1.9584302,0.3170155,0.9482975,-1.6104313,-2.4594512,-2.0197345,-0.5355887,-0.5600993,-0.1620529,0.3174671,19100,0.8572421,0.7541227,0.4715348,-0.0240206,0.015276,-0.3379081,-0.466603,-0.2745083,-0.5372548,-0.3400184,0.0705581,0.4658756
4,-0.0003332,-0.3110152,-1.2632492,-1.5022506,-1.1240888,-1.4039372,-1.3712784,0.0307787,-0.7033667,-0.8336234,-0.2766466,-0.4276854,13772,-0.8383837,-0.0540925,-0.2141941,0.3372959,-0.1380495,0.3997185,-0.3830456,-0.6471183,0.8765914,0.6548466,1.3217326,0.6168084
5,0.676924,0.9761285,0.1877055,-0.4874727,0.2798603,-1.3924891,-4.0416013,-2.5465325,-1.2631052,-1.3633974,2.4209324,0.7365751,14803,0.407651,-0.1070936,0.65603,0.2509609,0.5226213,0.2381517,-0.6184901,-0.0867452,-0.1770368,-0.0931797,-0.1256354,0.7191537
6,1.1395598,-0.7859781,-0.5330562,1.2296331,-0.0932252,-1.0353797,-1.6924743,-1.9174057,-0.4294583,-0.0012395,-0.9778035,-0.9675206,16117,0.9032635,1.12186,0.5209813,0.7119273,0.7102372,0.3242728,0.1882643,-0.2396974,0.1116054,0.1785766,1.077384,1.5361889
7,0.0469157,-0.5536933,0.52947,-0.7610675,0.9121236,-1.3605326,0.3093453,0.0061146,0.1024238,-0.2219365,0.3005012,-0.09525,21562,0.7191218,0.6299381,-0.0861555,0.8124268,0.9427867,0.9757544,-1.081835,0.9256338,0.2928689,0.1294166,0.2821891,-0.1209602
8,0.984632,-0.3123411,-1.0630635,-0.1543231,0.2125447,0.535889,-1.1617137,-1.6457363,-1.3755132,-0.831528,-0.4084489,0.8006286,8991,0.4622,0.9171,0.5467786,0.6953821,0.6966338,0.0844828,-0.3813653,0.6226094,0.8327719,1.2903909,1.3608016,-0.8250594
9,0.1781527,-0.3510211,-0.676366,0.4384877,0.8182901,1.5133283,0.3312371,-0.2270174,-0.219202,-0.481293,0.8079007,0.183225,28470,0.040485,-0.0479284,-0.3034472,-0.829506,-0.0705251,-0.1537024,-0.2304131,-0.1249008,-0.2315862,-0.5415724,-0.6494615,-0.5816236
