,Unnamed: 0_x,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,Id,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,Unnamed: 0_y,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,ET_01_x,ET_02_x,ET_12_x,ET_03_1_x_1,ET_04_1_x_1,ET_05_1_x_1,ET_06_1_x_1,ET_07_1_x_1,ET_08_1_x_1,ET_09_1_x_1,ET_10_1_x_1,ET_11_1_x_1,ET_01_1_x_1,ET_02_1_x_1,ET_12_1_x_1,Unnamed: 0,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x
0,0,-0.0498183,-0.0730292,-0.2290542,0.3749742,0.1626254,1.25542,1.4642053,1.6937641,0.9366495,0.2179478,0.2770708,-1.0876511,24285,0.1189461,0.0433303,-0.037804,-0.0916924,-0.0476832,0.2495857,0.0672829,0.0644118,0.0639611,-0.2229435,0.3110787,0.3330028,0,-0.9725496289999996,0.0061571609999999,-0.3676158259999997,-0.9127618569999988,-4.691495952,-4.216635808000001,-1.7307768959999992,-0.3848439049999999,0.6551233340000002,0,0,0,-1.7434151026908444,0.0299618779257807,-0.1871750636180447,-0.1515341644886762,-0.8768708123611847,-0.6084836028932249,-0.8048606699943933,0.8055227678886361,0.3592959423431975,0,0,0,0,0.066868225,0.0112731799999999,0.0076968649999999,4.7981000000002494e-05,-0.0013794139999999,0.003557376,-0.00085113,0.0019372189999999,0.003113945,0.0057141,0.012394286,0.0227197819999999
1,1,0.5168846,0.3652651,0.2219617,0.7101268,1.3815563,0.5574859,1.8501975,2.1812205,1.6646262,0.9909057,0.617412,0.4975999,4786,-0.1403956,0.0255468,0.1737941,-0.3978525,-0.3609229,0.4540731,-0.4680413,-0.7736705,0.8339295,0.8496843,-0.3679259,-0.604248,1,0.3212228510000003,0.1350465119999997,-0.5928484470000002,0.9250267930000002,-0.9384465039999998,-2.743267778,-1.4538084690000002,0.1068335830000002,0.5583939309999995,0,0,0,0.2271017800399379,0.086623805003207,54.34444052212839,0.2695187326230809,-0.1335578852341903,-0.6427919693572572,-1.2441249436440494,-0.3730367591181238,0.4606788321074961,0,0,0,1,-0.0045954119999999,-0.005246244,0.002983621,-0.000312984,0.011411318,0.016358744,0.01831146,0.020417872,0.011452931,-0.003591899,0.0059775739999999,0.0014785159999999
2,2,0.2711103,-0.3137656,0.8734653,0.0008384,0.6872108,0.1719641,0.0951718,0.6060683,0.1420863,0.1707205,-0.917711,-1.8541208,24737,-0.428074,0.2135516,-0.3506135,-0.0512529,-0.1013545,0.1304532,0.4291672,0.3590555,0.1373068,0.0975372,0.2780519,0.4566074,2,-0.6957502510000002,-0.5133899289999997,-0.09807856,1.178609959,-0.885001942999998,-1.1660323910000017,-1.2266526510000002,0.2119533660000003,0.792222873,0,0,0,49.40150539805863,-0.5592005769224533,-0.0894549295492457,0.2618481076924472,-0.156981562830863,-0.1930542777261286,-0.4483895790704431,-1.8475877864627688,0.7711384667336464,0,0,0,2,-0.01943513,0.0006070799999999,0.057120402,-5.351300000000503e-05,-0.001767527,-0.004156669,-0.0009012619999999,0.001974393,0.002352459,-0.003844956,0.011895803,-0.0174488900000001
3,5,0.676924,0.9761285,0.1877055,-0.4874727,0.2798603,-1.3924891,-4.0416013,-2.5465325,-1.2631052,-1.3633974,2.4209324,0.7365751,14803,0.407651,-0.1070936,0.65603,0.2509609,0.5226213,0.2381517,-0.6184901,-0.0867452,-0.1770368,-0.0931797,-0.1256354,0.7191537,5,-0.0887425640000001,0.0018225989999999,-0.1236247110000001,2.3972214000000003,4.052426847,3.2768934489999992,2.171614754,0.0297370710000002,-0.6342680009999999,0,0,0,-0.1549604985513194,0.0024122758676541,-0.0842339273991654,0.3982552948801902,0.907692997890866,0.6992162061919478,0.8246046583595719,0.1132331552756348,0.611192886039673,0,0,0,3,0.0139959399999999,-0.0029493869999999,-0.0066485689999999,0.0112182789999999,-0.0040329239999999,-0.0015495989999999,0.001868799,-0.001939517,-0.002812681,0.0092067979999999,0.0310699899999999,0.0255746309999999
4,6,1.1395598,-0.7859781,-0.5330562,1.2296331,-0.0932252,-1.0353797,-1.6924743,-1.9174057,-0.4294583,-0.0012395,-0.9778035,-0.9675206,16117,0.9032635,1.12186,0.5209813,0.7119273,0.7102372,0.3242728,0.1882643,-0.2396974,0.1116054,0.1785766,1.077384,1.5361889,6,-0.246337447,-0.2138896719999998,-0.0519824939999999,0.0002228369999999,1.418029949,1.3920872990000004,1.037116063,0.1745108879999999,-0.1904407960000003,0,0,0,-0.5270430125685166,-0.4375967420133001,-0.0835229570729018,0.0001063884075258,0.6808811600396154,0.362467027652056,0.442595798947707,0.4086798483743885,-0.1434310269250389,0,0,0,4,-0.02095093,0.00907953,0.0050374039999999,-0.0075367719999999,0.0149680409999999,0.012978388,0.0061662819999999,0.0072957979999999,0.0111224689999999,0.004650629,-0.001267872,-0.0249400679999999
5,8,0.984632,-0.3123411,-1.0630635,-0.1543231,0.2125447,0.535889,-1.1617137,-1.6457363,-1.3755132,-0.831528,-0.4084489,0.8006286,8991,0.4622,0.9171,0.5467786,0.6953821,0.6966338,0.0844828,-0.3813653,0.6226094,0.8327719,1.2903909,1.3608016,-0.8250594,8,0.0109967649999997,-0.0366244529999997,0.3527961979999998,1.3222118269999996,1.7483512120000009,2.11021055,1.5745316960000002,0.143618283,-0.5309740390000002,0,0,0,0.0094742087490963,-0.0220801431325402,0.2479807787577127,0.4078681546636113,0.7722588846476753,0.490345285304902,0.4649035077293427,0.1772918350164034,-0.601548671121153,0,0,0,5,-0.07693528,-0.067495578,-0.0192843909999999,-0.0078631369999999,0.0049190209999999,0.0056669219999999,0.0032449129999999,-0.0018760659999999,-0.010383682,-0.015312978,-0.0162731009999999,-0.024915569
6,9,0.1781527,-0.3510211,-0.676366,0.4384877,0.8182901,1.5133283,0.3312371,-0.2270174,-0.219202,-0.481293,0.8079007,0.183225,28470,0.040485,-0.0479284,-0.3034472,-0.829506,-0.0705251,-0.1537024,-0.2304131,-0.1249008,-0.2315862,-0.5415724,-0.6494615,-0.5816236,9,-0.0670275459999993,-0.026849377,-1.5516739589999995,-5.20696066,0.7622896799999967,2.051535404,0.1070748909999994,0.0846201919999991,-0.0953037389999997,0,0,0,0.1652734009147675,0.0295936390024722,1.5458185867831329,1.1700798072366254,0.1591746227823057,0.2620375182279776,0.0598790760191994,0.1655312578985743,-0.0643702552151982,0,0,0,6,0.039053958,-0.0051431020000001,0.012950826,0.0203554339999999,0.0173089439999999,0.020390297,0.01478871,0.014314356,0.0119931239999999,0.0191096329999999,-0.0051973619999999,0.0040198360000001
7,10,0.8480759,-0.6682254,-0.3718158,-0.0400014,-1.4492526,0.2772834,0.0424297,0.7439162,0.6399412,0.301255,0.2829659,-0.0963348,6792,0.1258884,0.1154847,-0.2730583,-0.101464,0.3503011,0.1050991,0.0447525,0.3891783,0.1171855,0.1995644,0.0097721,-0.3929669,10,-0.0510851729999999,0.4217500530000002,0.988503151,1.3521071680000003,0.0810150769999995,0.2871389640000008,-0.1864362830000001,0.073384341,-0.3442018509999998,0,0,0,-0.0490162142804122,0.2001126152520765,0.549214841742556,0.3453842403967364,0.0369874354976648,0.1328672079681939,-0.1035944272261612,0.0831240918362217,-0.3041867238377677,0,0,0,7,-0.0182856459999999,0.005998735,-0.0039150099999999,0.0025427029999999,0.000207624,-0.000262687,-0.000658972,-0.002505226,-0.001154891,-0.0006262709999999,0.0005582839999999,0.004632971
8,11,0.5488731,0.4034974,0.2699201,-1.6875798,-0.2476002,-1.9765962,-5.4925889,-4.9807457,-0.9127081,0.6266446,0.5549697,0.0213499,7932,-0.1304566,-0.2606114,0.1453885,-0.466326,0.0110714,-0.4022492,-0.1439663,-0.5465166,-0.3243611,-0.1676223,-0.6971028,-1.140983,11,-0.0958481170000005,0.0688310979999997,-0.1855145669999998,3.03078846,8.768552569,9.788834146,2.083238046,0.31482703,0.3620496370000001,0,0,0,-0.0902961921475832,0.0861004608053672,-0.1858097331935671,0.7339765688756102,0.887574925937818,0.8935065620001863,0.8300305674052111,-0.791882308522577,0.3802630970377654,0,0,0,8,-0.0126268199999999,-0.010952458,-0.013774428,-0.0067689279999999,-0.006650518,-0.021916528,-0.027290591,-0.022758381,-0.0140790029999999,-0.012620548,-0.008513933,-0.0066871059999999
9,12,-0.1428271,-0.0404635,-0.1991274,-0.7616417,-0.2227402,-0.1843937,-0.7206738,-1.267294,0.1823586,0.6321287,0.3122023,0.3178958,7619,0.5298411,0.2785698,0.0750962,-0.105437,0.0146048,0.0108851,-0.4192094,-0.2708254,-0.5481657,-0.1787836,-0.1809835,0.6689152,12,-0.0745114800000004,-0.0952479269999999,-0.4219321849999997,1.54235961,3.084692671,2.828193753,0.9570360470000008,0.022799183,0.1000030929999997,0,0,0,-0.0524832732435507,-0.1199596057934508,-0.7719341431637303,0.3712482297700443,0.424498991227294,0.4079615943743238,0.3777418848529337,-0.0508342987736902,0.0891293163992867,0,0,0,9,0.022989051,0.018314155,0.025608829,0.020867277,0.0202457699999999,0.022337848,0.02201206,0.02489193,0.0277495649999999,0.0280127349999999,0.030196832,0.0430015
