FID,Id,Field1,Unnamed__0_x,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,LST_Daymean,Name,flag,Id_1,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,Unnamed__0_y,ET_01_x,ET_02_x,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,ET_12_x,ETsum,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x
21562,21564,43,51,-0.1998934,-0.2517814,0.8371222,-3.0503758,-3.7755166,-1.1719771,-0.2251773,-2.3628596,-1.8037563,-1.0279933,0.6345114,0.3809346,-1.001396883,Beijiang,1,21564,-0.5713267,-0.4068053,-0.9360615,-1.0376107,-1.131397,-0.5410379,0.2698125,-0.566042,-0.4576795,-0.4441194,0.1137511,-1.511556,50,0,0,-0.119534,-0.422269367,-2.470444292,-1.544178481,-0.296920604,-0.708719504,-0.652684359,0.392781064,0.115170582,0,-5.706798961,0.031860048,0.012011755,-0.003889768,-0.004158306,-0.004288335,-0.00268851,-0.003429022,0.000094878,-0.001443175,0.004703705,-0.014964589,-0.015112402
21740,21742,141,164,0.3587284,0.8474001,0.5582509,-0.7203577,-1.0769541,-2.3429915,-1.6046788,-1.847422,-0.6322953,-1.3204365,-0.1020113,-0.1038223,-0.665549175,Beijiang,1,21742,0.3733191,0.1445175,-0.8127235,-0.0021471,-0.4570061,0.0495738,0.2195078,-0.5005918,0.2992134,-0.1359826,0.2149351,-0.8912075,162,0,0,-0.025874779,-0.056597534,-0.05647464,-0.05132058,0.504072815,0.546946767,-0.415703803,-0.372567263,0.330303625,0,0.402784608,-0.029726844,-0.020508495,0.000730339,0.003622143,-0.000750474,-0.001123514,-0.000086676,0.00318182,0.004461126,-0.001197212,0.007518382,0.021505428
21783,21785,126,148,-1.1046425,-0.1688742,0.4750973,0.6347993,0.8267448,1.1836585,2.2498945,2.3026874,1.5426398,0.8609445,0.7945733,-0.6462124,0.745942525,Beijiang,1,21785,0.0155382,0.1807087,0.1525016,-0.2802214,-0.1026611,-0.036697,-0.3805395,-0.1115269,-0.2023982,-0.5240728,-0.1322866,0.0543121,146,0,0,-0.037702351,0.104695488,-0.689179732,-0.528424127,-1.556543554,-2.111451342,-1.868713398,-0.177902507,-0.186153109,0,-7.051374632,0.069757148,0.043456504,-0.009873571,-0.005987231,-0.004666637,-0.001961317,-0.001424518,-0.003289479,-0.005440685,-0.003810658,0.009089321,-0.007571856
21913,21915,143,166,0.7770703,0.0745012,0.3397521,-0.2663609,-0.6607924,-0.7608075,0.3227169,0.468472,0.0702956,0.1511516,0.3676242,-2.0070358,-0.093617725,Beijiang,1,21915,-0.6223647,-0.4186342,-0.4056016,-0.1472673,-0.0277286,0.1461658,-0.2785605,0.2233961,-0.1831558,-0.3485726,0.0675631,0.3881251,164,0,0,-0.172175879,0.546344157,1.451760698,2.622162284,1.446180787,1.66919468,-0.104475295,-0.257207496,0.450196822,0,7.651980758,-0.391964677,-0.275207747,-0.016871387,-0.008828114,-0.009616431,-0.006154596,-0.003671882,-0.002776884,0.000175645,-0.006059978,-0.049128999,0.029341073
22186,22188,135,158,1.4814488,-0.2303526,-0.0271375,-0.1625263,-0.3945215,-1.2952706,-2.0199871,-1.636872,-2.3297294,-1.257062,0.5872354,1.9142632,-0.447542633,Beijiang,1,22188,0.5581372,0.1016905,0.0750064,-0.08973,-0.2725823,-0.1804215,-0.0326808,-0.045948,-0.0203541,-0.2636469,-0.1958558,0.6290653,156,0,0,-0.521138725,0.084745742,1.210138327,3.27169924,2.47685499,5.341803809,2.198459846,-0.41321182,-0.614605748,0,13.03474566,-0.057556334,-0.091184029,0.00794977,-0.004313053,-0.00071904,-0.005727343,-0.010575474,-0.010317756,-0.001940235,0.014893048,-0.04034162,-0.177993577
23033,23035,35,42,1.1721055,0.9109996,-0.4810242,-0.1496383,-1.3158628,-2.728671,-2.7524294,-4.0097636,-3.5000157,-1.2692363,-1.4316023,0.2383162,-1.276401858,Beijiang,1,23035,-0.0835918,0.6702267,0.0512621,-0.1589171,0.2360967,0.5332956,0.1659628,0.7793241,0.8583074,-0.1584086,-0.0107883,1.8037961,42,0,0,-0.134210947,-0.052578848,-2.564553168,3.216754322,7.487902394,5.697747022,1.15666958,-0.630109366,0.278129073,0,14.45575006,-0.020907277,-0.074962637,0.023516203,0.000022699,-0.005048559,-0.003778384,-0.006619167,-0.003397664,-0.003719826,0.011643458,0.039882594,-0.079742837
23368,23370,130,152,-0.022933,-0.2669713,-0.2443515,0.1532755,0.5372527,4.1686771,7.744834,7.8590319,5.5262529,1.3779145,0.6902814,0.523893,2.3372631,Beijiang,1,23370,0.3669677,0.7178011,0.289072,0.5750574,-0.6335691,-0.2673265,0.3345344,0.3596428,0.2053797,-0.1991275,0.5507368,1.8769073,150,0,0,-0.26146523,0.568059622,-0.019767474,-2.39143841,-13.15173026,-12.0304667,-3.624073137,-0.031385798,-0.418578374,0,-31.36084576,0.019893763,-0.024623592,0.012808765,-0.007663035,-0.00658415,0.02276967,0.019631147,0.010913766,-0.001052927,-0.017049938,-0.019106658,0.016051905
23456,23458,91,110,-0.1948734,-0.0351832,-2.2202036,-1.1096511,-0.6565666,0.0731517,0.9116027,-0.0798855,-0.116429,0.1038086,-0.9822392,-0.4300574,-0.3947105,Beijiang,1,23458,-0.4689359,-0.1951853,0.1318847,0.6495875,0.1450941,0.197983,-0.1382824,0.0828364,0.229992,-0.6055821,0.4104592,0.4130673,107,0,0,-0.099454976,0.261393683,0.547129332,-0.081990438,-0.260822704,1.517352007,0.489730732,0.019527793,0.193354532,0,2.586219961,0.032996115,0.023947741,0.022682841,0.000625463,0.002526835,-0.001057183,-0.001126523,0.001538684,0.000291132,-0.013833857,0.007195818,0.013827088
23705,23707,180,208,0.2917509,0.5837735,-0.4333093,0.6370905,-1.2415167,1.6359225,1.0226965,1.2427455,1.1726184,-0.9763803,-0.3339947,0.6324513,0.352820675,Beijiang,1,23707,-2.6412774,-0.8253807,-0.9182152,-1.0393376,-0.4554661,-0.739554,1.0342736,0.398484,0.7914571,-0.5053163,-1.0071216,3.0179771,205,0,0,-0.074027737,1.816924875,0.67706064,1.912905152,-1.141930921,-1.945333503,-2.203059644,0.149970461,-0.840316894,0,-1.647807571,-0.021126334,0.004641396,0.034416386,-0.002767089,-0.007586748,-0.003040825,0.000982066,-0.002972013,-0.000797215,-0.004018043,-0.043253775,-0.033295477
23706,23708,104,124,1.0842651,1.4853347,-0.3414865,0.1419691,-2.2866378,-1.0590321,-1.0964285,-0.562684,-0.0843947,-1.1868016,-0.4902379,0.6332433,-0.313574242,Beijiang,1,23708,-2.7195274,0.6950273,-0.0916857,-0.4660581,-0.6474105,-0.3003268,0.7269018,0.1626141,0.7012006,-0.2018949,-0.4656438,4.0552158,122,0,0,0.026818551,1.583625567,2.962326211,3.070259878,-0.322121249,-0.191986942,-0.979046604,-0.15883413,-0.815255649,0,5.175785633,-0.043669862,-0.051685851,0.004891092,-0.017969843,-0.017567431,-0.013441759,-0.01501837,-0.014089183,-0.010790029,-0.009286537,-0.015001541,-0.047351438
