Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,EM_01,EM_01_1,EM_02,EM_02_1,EM_03,EM_03_1,EM_04,EM_04_1,EM_05,EM_05_1,EM_06,EM_06_1,EM_07,EM_07_1,EM_08,EM_08_1,EM_09,EM_09_1,EM_10,EM_10_1,EM_11,EM_11_1,EM_12,EM_12_1,Id,LE_01,LE_01_1,LE_02,LE_02_1,LE_03,LE_03_1,LE_04,LE_04_1,LE_05,LE_05_1,LE_06,LE_06_1,LE_07,LE_07_1,LE_08,LE_08_1,LE_09,LE_09_1,LE_10,LE_10_1,LE_11,LE_11_1,LE_12,LE_12_1,LR_01,LR_01_1,LR_02,LR_02_1,LR_03,LR_03_1,LR_04,LR_04_1,LR_05,LR_05_1,LR_06,LR_06_1,LR_07,LR_07_1,LR_08,LR_08_1,LR_09,LR_09_1,LR_10,LR_10_1,LR_11,LR_11_1,LR_12,LR_12_1,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,SR_01,SR_01_1,SR_02,SR_02_1,SR_03,SR_03_1,SR_04,SR_04_1,SR_05,SR_05_1,SR_06,SR_06_1,SR_07,SR_07_1,SR_08,SR_08_1,SR_09,SR_09_1,SR_10,SR_10_1,SR_11,SR_11_1,SR_12,SR_12_1,fc,stable
0.597576615,0.644963667,0.637250646,0.601539003,0.278685875,0.263472101,0.174512524,0.16856623,0.185993822,0.173745203,0.177359071,0.170165093,0.180530529,0.17899169,0.176840898,0.178098868,0.178647067,0.176242085,0.164767215,0.189082723,0.212020061,0.236549154,0.542683164,0.605687471,0.987124263,0.987166421,0.987124779,0.986875492,0.98560472,0.985489553,0.984999705,0.984962684,0.985113972,0.985034326,0.985,0.985000123,0.984958088,0.985073132,0.985052729,0.984979228,0.984968781,0.985093043,0.984916421,0.985012684,0.985335177,0.985227943,0.987914577,0.986628184,24285,,,,18.28703704,10.83601347,12.50645849,8.290917823,9.044442775,3.502470241,10.42135341,13.8772319,35.3937632,34.30313149,53.11635074,23.74434953,48.20911973,15.57361657,23.23503906,12.40724808,10.70371801,11.24332528,17.79195232,,,213.1950941,208.5673665,219.1801517,218.0081865,237.9822147,236.042119,272.2211018,279.5127937,309.9759565,304.9744836,341.4706978,335.4380931,356.809158,360.7754664,349.59885,350.6015058,304.1933181,314.9856404,267.8817381,263.1077287,236.9958208,227.4230334,210.5776652,206.9567451,258.4575221,259.0603048,264.071216,267.7647216,288.2543363,289.6057795,301.4620354,309.3015988,310.1488817,313.3212175,313.1619587,313.8290585,311.8957596,310.0077753,309.952439,308.4747148,303.4174853,302.6523206,291.46947,292.4361268,281.2515864,278.4660525,258.7120443,259.4674312,246.7451401,246.4732133,252.4161357,253.9698648,270.9835005,270.0564555,278.1384366,278.8400914,285.047085,284.432687,289.8801416,287.9443175,290.8249336,290.1026448,288.4131244,288.0244444,279.9398574,280.5203171,271.9240177,270.9940973,265.7047057,261.1315581,249.4700098,251.6038377,64.70786627,66.08289086,103.0078663,104.8826942,162.6412979,168.1246804,207.1751229,222.1334317,264.5832842,263.6414946,279.2503441,286.8255654,255.4501475,276.4499508,240.9588987,246.9921337,197.4419862,197.3668633,129.6921337,142.2088496,82.48289086,83.26627335,58.65801377,60.41651917,5,5
0.234813793,0.204103545,0.227335484,0.196112253,0.215509354,0.192123913,0.213835236,0.184017778,0.190540659,0.180744086,0.173695,0.165831536,0.171935556,0.166298925,0.167382022,0.164182796,0.164961737,0.16614,0.185722406,0.175587097,0.189282374,0.184638545,0.230734283,0.20286185,0.98515,0.985225,0.98518,0.985075,0.985016667,0.985233333,0.9851,0.98511,0.985236364,0.985090909,0.98522,0.985125,0.985025,0.985175,0.985016667,0.985040909,0.985150758,0.985033333,0.985153333,0.98516,0.985159091,0.985092727,0.985331818,0.985083333,4786,24.77623457,23.3908179,19.11651235,18.18761023,8.431905864,13.12757202,7.090277778,12.61574074,14.63831019,14.47180135,24.84126984,36.7341821,50.21701389,74.96896044,49.27538029,64.34220679,23.45692791,27.54313973,16.48996914,15.47813786,16.66705247,20.92496142,23.6558642,21.95643188,197.0836639,195.3689209,207.7524292,211.9651886,223.2005402,235.2490753,252.5600098,266.9290771,289.4969482,291.2854675,329.6940247,336.2036499,352.2577759,355.1340027,339.9064636,347.8655579,313.0449524,317.9446045,268.1792786,270.0754456,217.3546661,229.0930084,200.1085815,193.61651,278.299,279.2454242,283.6452,288.3838333,293.5099394,297.1956909,299.8850556,305.4854,303.8930909,309.6312727,305.246,309.3096364,306.5203333,305.6566667,304.0511364,303.8602424,298.950197,302.4307576,295.5904444,294.4616,283.6262273,285.6187091,277.6430303,278.2365,262.9985,260.0605,265.212,264.8608333,271.6783333,270.2858333,276.326,277.8142,283.3483636,282.5743636,288.9392,288.8427636,290.9683333,291.2058333,288.6118788,288.1020909,280.0598667,283.5263333,274.9947333,274.817,269.3437273,268.7990909,263.9398,261.8938333,109.0133333,108.8733333,141.3933333,145.54,190.4666667,192.4533333,215.42,227.6133333,252.74,255.14,258.6733333,261.8133333,268.48,266.7666667,240.1533333,227.4933333,158.4733333,189.44,147.6933333,155.0333333,121.74,117.56,97.17333333,102.7866667,5,6
0.497219444,0.535741057,0.51526722,0.533978778,0.297464922,0.221865211,0.16666768,0.175114545,0.164918928,0.168694882,0.156465224,0.1687688,0.162165093,0.173096346,0.169421965,0.171416686,0.172248946,0.176328389,0.164813686,0.179034392,0.17372722,0.204947459,0.481999341,0.548711843,0.98702459,0.985838017,0.986030211,0.985476421,0.984070258,0.984514965,0.984171897,0.984247541,0.984167554,0.984161316,0.984228337,0.984171351,0.9842016,0.984168813,0.984024856,0.984179059,0.984060597,0.984095921,0.984246942,0.984077635,0.984182696,0.984254311,0.985906004,0.985219873,24737,23.37962963,,19.21296296,,15.64155698,15.00406809,12.3246722,15.58704791,8.606692905,12.42991981,21.06853215,36.71911141,39.93736583,59.79820814,32.58071358,54.0008484,17.59717634,27.36877747,14.63411108,14.20528757,14.99188188,18.84579557,18.28703704,22.10648148,217.7957764,213.0939331,223.3706665,224.6074829,243.3002167,241.6039124,278.2828674,285.7241516,314.5050964,308.0303955,346.6007385,339.1125183,360.7650146,363.3787231,355.0411682,354.0438232,306.5987854,316.3761292,273.9321289,265.6148987,243.3206635,230.0691986,216.8267365,212.748642,258.9863173,259.0915841,266.9913466,268.7352851,289.4215925,292.8884445,303.0092792,307.1768478,312.6918714,312.5300432,312.337897,312.9772658,311.59387,311.3485656,310.0798032,308.8045511,302.4914032,302.5614657,290.1866234,292.4232952,282.7769931,277.818409,261.4950385,260.4440222,251.5145199,250.7597112,256.1157096,256.8582223,271.3209446,270.8506731,278.8864778,281.1787963,286.3144518,286.4510583,291.1399625,289.7442325,292.5756277,292.3511044,290.2612178,289.9777408,282.2686495,281.8800039,275.1572521,273.0689321,268.6445029,262.0978795,252.8528799,254.0004281,75.8969555,75.49882904,113.9153005,114.5626854,163.9722873,169.8326308,205.3729899,214.4467603,259.6320843,266.4666667,271.1007806,279.6217799,251.5790008,277.4328649,235.6554254,244.875644,194.0467603,197.3796253,130.4615925,141.035363,84.11623731,87.5284153,65.14106167,68.8685402,5,7
0.231673413,,0.209428571,0.200483978,0.219780746,0.196139042,0.177189925,0.196209028,0.172769635,0.192938005,0.155045633,0.182984472,0.160036179,0.180384203,0.16644871,0.184700199,0.175173278,0.192230069,0.195420484,0.215633639,0.230893209,0.234717403,0.434964109,0.241572598,0.981214609,0.98111893,0.981822634,0.981149074,0.981440809,0.981319753,0.981194815,0.981104486,0.981088889,0.981143472,0.980940082,0.980794342,0.981129595,0.98095415,0.980607064,0.981035198,0.980982064,0.980944342,0.981049026,0.980824979,0.980958623,0.981129181,0.983500166,0.980974966,19100,22.34803669,22.9637069,17.84286408,19.67170621,6.093035551,12.18956592,4.87485076,10.78411044,3.037478294,9.596288676,4.222951641,24.12424932,9.466794791,45.81443219,8.422722813,43.68848955,5.763507849,28.46565723,6.830240563,12.04632487,12.86625038,16.44791118,,20.65172947,204.9728109,200.0474266,213.445492,220.2946698,231.3848429,245.1519781,269.5144928,289.3557344,305.8023716,304.7052484,334.4094871,333.574666,350.7167596,355.3529916,343.8885864,352.5395033,304.4452492,318.2340913,263.7662858,271.9292373,234.1056294,227.4091872,206.6343518,203.6239658,274.8328865,274.1688766,282.8164406,282.2594148,295.2102469,290.289345,298.9587709,303.8111455,310.7871934,308.8695922,311.7412141,310.4575665,313.120273,307.2474993,311.2782627,305.707415,304.0121907,302.1741077,296.4609918,294.4305877,285.9697187,283.1872941,266.6817781,275.2302572,259.1551749,259.0975878,264.1313646,265.8720199,272.4565484,272.2211701,278.3943753,280.130707,284.8506891,284.8991036,290.2341317,288.9881255,291.7563155,290.7895683,290.7332529,288.626013,283.2730274,282.8217901,275.0062099,273.5916683,267.6828874,265.0352293,255.4964127,260.5125021,91.87105624,90.83171468,126.8207956,129.1874623,183.7879835,177.9546502,219.3808779,214.4010974,265.0666667,260.2464472,290.1950892,279.0213169,257.416406,267.7103978,249.2175034,242.2508368,203.7628532,205.4628532,148.3557476,153.5415364,102.7989026,101.759561,82.43171468,85.21259259,5,7
0.214066667,0.208058487,,0.21443362,0.208637895,0.192272149,0.191815576,0.18778852,0.172793236,0.177729944,0.152792087,0.176046128,0.143585086,0.172757111,0.140945447,0.161276364,0.159599752,0.14563176,0.184438824,0.17521019,0.200630283,0.189192193,0.215622537,0.199429118,0.974066084,0.973716088,0.973657681,0.973719447,0.973582976,0.97351751,0.973342367,0.973325643,0.973492359,0.973377553,0.973364151,0.973355882,0.973432569,0.973456439,0.973450936,0.9734747,0.973169919,0.97349707,0.973273756,0.973326544,0.973477692,0.973554343,0.973856015,0.973724066,13772,22.82986111,23.63425926,9.278549383,11.37819906,0.831580643,3.839813552,1.372980458,5.304129041,0.926185333,4.122045546,1.552608689,14.71811419,5.782632753,16.18079743,3.851300781,20.98698325,3.93427726,14.92077891,3.313611616,4.610630305,9.958045955,12.60792469,19.09722222,20.70839491,196.7784424,193.869751,204.3223114,217.6884155,231.3799591,248.9079132,270.3565674,289.5533142,306.6346741,309.4793396,331.6928101,333.0760498,348.9341431,354.1540833,340.1393127,350.5543823,303.4864197,315.561676,262.9806824,274.8754272,230.2336426,228.64534,204.0378723,203.4665527,275.6868415,276.6534069,281.2535678,283.0086871,293.2217124,292.2879488,299.9267256,301.8390995,306.9211368,308.2884001,308.6968748,310.8799936,311.4342253,311.1852859,309.4072892,307.3445876,303.8764508,301.9472227,295.6095003,293.8428825,286.9616962,283.1116256,273.8705898,277.2661652,259.6860111,260.1536078,264.7250728,265.9529817,273.0817492,273.1535767,280.1154631,281.3416405,286.9238266,284.8955021,289.9970772,289.6428071,292.0468205,291.400318,291.7474864,290.3314332,285.1674099,286.3997792,277.2974597,276.8718945,269.4456832,268.2762794,260.2039766,262.3547295,102.6992281,102.1544311,137.2366495,135.2238994,190.0175529,181.1682104,221.8716695,209.1538308,260.3157804,251.9795026,292.3244711,279.5140652,263.5768153,274.6063465,267.4987421,251.4561464,204.5869068,206.6754431,161.2477987,159.0392224,115.6857061,115.9469125,92.51057747,96.29599771,5,7
0.213039461,0.214817453,0.212383571,0.225249603,0.189533881,0.205396874,0.192248722,0.195942669,0.197563985,0.193778415,0.186964935,0.179230598,0.184700768,0.179108896,0.188763563,0.175272314,0.195162443,0.177142776,0.203568982,0.204899587,0.191241751,0.222446401,0.199556589,0.208655531,0.982410538,0.982343031,0.982158605,0.9822808,0.982099949,0.982198288,0.981997119,0.981880414,0.981981184,0.981719553,0.982192191,0.981888268,0.981530421,0.982139594,0.982037086,0.981981713,0.981910475,0.982057683,0.982209654,0.982158491,0.981972043,0.982040389,0.982496614,0.982373943,14803,20.92529413,23.55346965,14.37436908,9.436775194,1.315070164,3.374837706,1.178291635,3.823798807,1.290654045,6.390840902,5.320162982,26.82209701,18.80903304,34.49040703,17.10383147,33.64749617,15.89945648,25.19311529,4.986021607,5.952427961,10.21735245,6.37905262,,20.29057507,196.7376706,193.0632237,204.6478434,217.1077773,230.4088988,246.2640555,269.1848974,289.3642952,306.0694035,308.1673834,331.8012974,332.6814155,348.1492602,352.263548,340.0993146,349.7457913,302.2374847,314.7685484,261.0713547,274.1227123,228.9781063,226.7465846,202.5588378,202.193199,275.3535005,277.4872351,280.6909342,285.7298673,292.3958108,294.3056477,302.0576477,304.9071892,307.884644,308.6224771,306.5869689,308.1814563,308.0591298,305.5747618,306.7258889,303.3432038,302.6817715,302.4114445,297.2052747,296.3335179,285.9581312,288.9272105,274.762815,277.2157364,258.883631,257.2955819,264.5187748,263.9471873,272.5343669,272.1319725,278.8630673,279.9543325,285.1030657,283.9969226,288.255751,287.976098,289.2324947,289.424578,288.2550487,287.5355516,281.7807708,282.5742944,274.1167268,272.9612745,268.3263741,264.5492729,258.9780973,259.1151682,100.3789234,100.0815517,135.2464493,135.0584281,187.0160222,180.8988122,221.251352,209.9491281,259.838792,252.2574931,291.0705332,276.9892343,261.8589083,271.379252,263.1848875,248.6405863,203.8788223,206.0106646,159.1101592,159.0115492,112.1053829,112.8398282,89.64521102,92.84248168,5,7
0.257592125,0.228660872,0.207822949,0.200815549,0.180309859,0.175514911,0.180447493,0.172054605,0.174478681,0.188291882,0.166288344,0.182642194,0.173959756,0.18110138,0.178577384,0.179151954,0.184256674,0.186016051,0.217136831,0.209651357,0.213389771,0.214643931,0.246802799,0.217471584,0.978336395,0.979119871,0.979117428,0.979101246,0.978782985,0.978846701,0.978719287,0.97802928,0.978624181,0.978331561,0.978650813,0.978533017,0.979139201,0.978900239,0.978718145,0.979018074,0.978952911,0.979016266,0.979003511,0.978915531,0.979000026,0.978817442,0.978451931,0.978293072,16117,22.60240151,22.74920009,7.169354987,11.50542784,1.68123341,3.338095349,2.157027283,3.881314789,1.232755116,3.452619403,3.449386575,10.89346389,10.5658364,17.85159724,8.759191572,22.26951026,10.5279136,18.77816567,3.453634373,4.963597728,8.003248092,12.80636204,17.19536392,22.70016134,198.4136051,194.0687704,206.5627815,217.1358462,230.5196584,244.9262426,269.0941168,289.7658962,307.4179741,307.7206118,334.3613784,334.3664536,349.666578,353.8989584,342.5924174,351.5471414,303.5109771,317.1065532,261.8135517,274.4285352,229.9552362,227.0776402,203.3029262,201.5871387,273.9107762,276.8383853,281.3618263,282.784225,293.0678151,293.4904711,299.1790627,306.3466434,309.7880079,310.5067171,310.5037661,312.2883826,310.5229409,309.7286903,309.0239414,306.6095275,303.8121011,303.4988659,296.1085053,295.8007088,288.1535874,284.8736362,273.2994792,276.4456339,258.3697023,259.0638516,264.3972796,265.8750195,273.5879151,273.2059644,278.455117,280.3156088,284.5371185,283.9396532,288.0812721,288.137344,290.0515432,290.1639685,288.9210758,287.936708,282.4359502,282.9119081,274.0862004,273.3394671,267.0666839,264.7358996,258.8087545,259.9014003,98.31773819,97.77371547,134.6234444,136.2226181,187.2737929,182.8132972,222.0266718,209.765763,260.9876065,253.4390395,291.5990447,278.964472,259.4834495,268.9069197,260.2316034,247.3702814,205.7398657,206.8090111,157.2777434,159.5946037,110.5537568,111.041828,88.58781306,91.79728892,5,8
0.237847379,0.230486949,0.224058462,0.245898348,0.214696944,0.211437042,0.203126127,0.196353944,0.199067126,0.190340538,0.193593818,0.19101377,0.195725722,0.192310303,0.198685075,0.193223695,0.197856336,0.199107938,0.209433847,0.209058212,0.222582008,0.244466389,0.225107261,,0.983342451,0.98339965,0.983213292,0.98339704,0.982927914,0.983313565,0.982852556,0.982883061,0.982866022,0.98281465,0.983035037,0.982902607,0.982991366,0.98302579,0.982989796,0.983027607,0.982859208,0.982810299,0.983226369,0.982948262,0.983097269,0.983184173,0.983473074,0.983081856,21562,17.81228435,16.7232484,10.09463206,6.970499918,1.773890186,2.484578301,3.997497412,10.50966777,17.0825779,31.25597459,17.18780995,33.54992973,12.49380665,27.11977023,11.31344044,31.1473626,16.99427332,24.35787809,7.385789846,7.05508323,6.758719759,6.469441544,22.92367876,17.27281047,221.9146271,214.0270844,233.7767181,234.6704254,253.1373444,257.6174011,288.8352356,302.1676025,331.3013,328.6563416,367.8641663,364.9154968,384.8855896,392.386261,377.5602417,379.0674133,329.9977722,344.2395325,287.0130615,286.2735596,253.1514587,243.227829,220.9273834,218.2002411,275.2759083,273.768391,283.8059153,285.1408255,299.795234,301.6632146,305.4994822,310.5737498,313.6369412,312.7974493,314.9343286,316.3532373,317.7464298,317.1234095,314.4927007,314.3454755,306.9278613,307.5159864,297.4478737,296.5058512,286.5948928,284.4069917,273.1250053,274.0854578,259.9378545,257.5420568,266.4081458,265.0832941,277.2292322,276.6782887,283.193032,285.8377526,292.4022086,290.0613007,296.2907894,294.8115474,298.1483475,298.2468842,295.8469014,295.9003382,286.7674307,288.2325182,278.3372708,278.1814574,270.074571,267.2949495,259.3176568,259.2655181,89.39570552,92.21599636,127.5435356,130.1377414,184.8043626,186.1246535,226.6333333,229.9782549,278.7666667,273.2144967,291.159441,291.2971143,282.64783,278.7826176,255.5652352,255.8985685,213.0057941,214.6927516,145.7347648,154.3550557,100.0971143,101.6579868,77.49856851,80.31885935,5,8
0.337958527,0.232268208,0.299100091,0.200924244,0.204401851,0.172676827,0.205151871,0.184489488,0.187822352,0.187644299,0.180684224,0.18393267,0.161833248,0.172561337,0.155138022,0.162888511,0.165829882,0.166704558,0.187809982,0.187310876,0.200047282,0.213650291,0.219152635,0.205425879,0.979818922,0.979187582,0.979038196,0.978619183,0.978847908,0.978835903,0.97861302,0.978701708,0.978558859,0.978667629,0.978956471,0.978816013,0.978832255,0.978812418,0.978712124,0.978801209,0.978965588,0.979067157,0.978654627,0.978895608,0.979014893,0.978805561,0.979214551,0.979150823,8991,12.63444081,21.0730135,11.08818234,8.202841322,0.97015726,4.799370337,1.13239833,7.000872288,3.35751407,8.250779857,4.756471107,16.20365832,13.42236293,21.3376755,11.46828477,26.57276537,8.696830584,20.64899196,2.944459574,5.813514686,7.640848701,10.84670516,22.99897119,18.00145658,199.4237061,198.0452881,205.8137512,220.5526276,234.5965576,254.400238,274.2457275,288.3790283,305.7487488,311.2227478,325.9414063,329.5283203,343.2869568,352.0784302,335.9544373,347.948822,300.9649353,313.2533569,263.3729248,275.8100586,232.7071991,234.7780457,208.8676605,207.1316833,275.4218457,277.6705778,283.3938571,285.2987724,294.3221399,294.4692371,302.3705867,303.1793265,307.5882367,308.8590824,308.6588188,312.3118359,307.1388294,308.3875516,303.3488562,302.8677,300.3926301,300.2678523,294.9648682,294.6816141,286.4740686,284.9468193,276.1310163,277.8496353,259.4441216,260.8035226,265.1119875,267.0661268,273.264681,273.7443169,279.17832,280.0105285,283.7109002,283.6304877,288.0185835,287.3495535,290.0856471,289.9002359,288.8970288,289.115696,282.8932778,283.1552187,276.1657689,274.3193631,269.5100216,266.2695387,263.0919948,261.3270518,98.52933333,97.38266667,132.9702745,128.3296993,186.8195556,172.6041569,220.5550588,205.2689673,258.4040261,248.9370196,285.9894379,276.8543791,259.5986405,274.7977255,261.4570196,246.9277124,206.0886275,208.439085,164.4994248,160.0953987,114.5126536,113.3538039,87.66253595,91.32345098,5,9
0.622258818,0.626363863,0.640766283,0.666953297,0.413834759,0.402426339,0.215156434,0.196137037,0.183019713,0.195985663,0.176008032,0.192362963,0.171336918,0.176448029,0.170269637,0.173725806,0.183249605,0.178161111,0.198425094,0.200775986,0.448209213,0.450198701,0.693526255,0.626530698,0.9873125,0.986451389,0.986566667,0.986576389,0.985395202,0.985583333,0.9851,0.985025,0.985,0.984969697,0.9851,0.984944444,0.985020833,0.985090278,0.985042298,0.985048611,0.984986111,0.985048611,0.985169444,0.984983333,0.986545455,0.985924242,0.988239141,0.987090909,28470,,17.82407407,15.27777778,20.99247685,16.19084362,14.47080761,16.10500257,12.83639832,24.99035494,21.28226712,54.28700029,37.42430088,58.13802083,75.04354892,33.75289352,61.45511831,16.6725226,23.04370869,14.24575617,16.0960541,13.26067387,18.74517747,,,208.5359802,208.6894633,212.8128916,216.2433624,222.5309753,221.0443014,255.2862244,255.1138509,291.9607544,288.204305,329.2158101,318.3656413,339.11262,347.4837748,335.5034281,334.1790568,286.1442261,291.8852336,250.3531901,248.2358348,226.5714874,221.412384,210.1093241,205.4871572,258.4903175,261.086789,265.1247024,265.7060118,280.0909091,282.195303,293.0153333,300.7323704,302.3893939,306.7883333,305.0513333,309.1581944,305.3343056,306.0065278,304.7139394,302.6023611,297.7130556,296.2372222,285.6733333,285.8565,272.6360682,270.937271,256.7404074,262.6299676,253.1479167,254.6396843,258.526,258.8958712,267.414335,267.2698611,275.746,275.1272778,283.3890909,281.6893939,287.7446667,285.9020833,288.1556944,288.9829167,286.4497348,286.1155556,279.0227778,278.1898611,271.3256481,272.389,265.275904,262.1769697,255.1864798,256.9369697,62.86111111,60.60555556,106.1611111,103.5666667,152.6833333,159.5777778,198.8166667,216.1111111,265.15,267.0055556,269.1055556,281.6055556,258.7944444,265.7777778,230.6888889,236.9111111,183.65,182.2944444,111.1444444,116.0666667,68.32777778,68.32222222,49.72222222,52.27777778,5,11
