Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,EM_01,EM_01_1,EM_02,EM_02_1,EM_03,EM_03_1,EM_04,EM_04_1,EM_05,EM_05_1,EM_06,EM_06_1,EM_07,EM_07_1,EM_08,EM_08_1,EM_09,EM_09_1,EM_10,EM_10_1,EM_11,EM_11_1,EM_12,EM_12_1,Id,LE_01,LE_01_1,LE_02,LE_02_1,LE_03,LE_03_1,LE_04,LE_04_1,LE_05,LE_05_1,LE_06,LE_06_1,LE_07,LE_07_1,LE_08,LE_08_1,LE_09,LE_09_1,LE_10,LE_10_1,LE_11,LE_11_1,LE_12,LE_12_1,LR_01,LR_01_1,LR_02,LR_02_1,LR_03,LR_03_1,LR_04,LR_04_1,LR_05,LR_05_1,LR_06,LR_06_1,LR_07,LR_07_1,LR_08,LR_08_1,LR_09,LR_09_1,LR_10,LR_10_1,LR_11,LR_11_1,LR_12,LR_12_1,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,SR_01,SR_01_1,SR_02,SR_02_1,SR_03,SR_03_1,SR_04,SR_04_1,SR_05,SR_05_1,SR_06,SR_06_1,SR_07,SR_07_1,SR_08,SR_08_1,SR_09,SR_09_1,SR_10,SR_10_1,SR_11,SR_11_1,SR_12,SR_12_1,gc,stable
0.613610146,0.599653763,0.617580374,0.564965465,0.393579393,0.311944247,0.172811364,0.181707141,0.173419355,0.172335484,0.172566265,0.164208889,0.173709677,0.169901075,0.16975914,0.166870968,0.171182222,0.167015556,0.172138465,0.195322581,0.21450125,0.272194543,0.591175404,0.533371429,0.986925,0.9866,0.9868,0.986491667,0.986001515,0.985480303,0.985,0.98507,0.985018182,0.984927273,0.98518,0.985108333,0.985141667,0.985058333,0.985,0.98515,0.985125,0.985075,0.984986667,0.98512,0.985404545,0.985427273,0.986775758,0.985791667,25497,,18.1712963,26.15740741,24.53703704,28.39506173,32.37397119,30.29243827,32.95833333,22.67361111,32.57407407,39.16666667,61.61265432,52.50289352,90.95679012,37.91377315,67.55208333,16.22147817,31.68016975,21.88888889,21.88914609,23.81365741,22.28050595,,21.25192901,217.4037018,212.9234009,223.1302612,226.3832306,235.8374268,236.8814697,264.0233398,273.3432251,298.4293762,294.7266785,327.6560608,321.9051514,337.6041077,344.1336853,333.8786743,336.0326538,287.7696838,297.9365356,262.3955994,251.6044556,236.4902191,223.8495422,217.7177094,214.7774078,260.203,262.5233636,268.1906667,269.2412773,284.1556,288.1394242,300.2732,302.8158,306.1676364,309.3045455,306.5188,307.378,304.9536667,305.0096667,305.2323333,304.087,300.088,297.678,288.685,288.7398,278.4845455,276.0095374,260.3871778,265.0167636,252.576,252.048,257.0008,257.9137121,270.3323636,268.6839697,276.5648,277.8862,283.8749091,283.4747273,287.6025111,286.3964455,288.7507929,289.0467697,288.0725455,287.5338333,280.9558333,279.87,273.8426667,271.0074,267.8853333,261.3456364,253.7213939,254.5071818,78.76666667,78.67333333,114.62,111.44,160.2733333,160.48,200.7533333,204.4333333,252.0666667,260.2466667,264.3666667,278.34,244.0533333,275.7866667,226.8133333,240.1533333,191.4266667,188.88,124.0866667,135.1866667,83.7,82.49333333,64.38,66.06,5,5
0.345735392,0.200607734,0.24653844,0.193863923,0.250314019,0.194142208,0.247371021,0.195843982,0.237897046,0.193923914,0.228618549,0.179121613,0.226973641,0.174120184,0.218954822,0.173832885,0.211894949,0.172636318,0.221258513,0.175087366,0.231948611,0.185106991,0.291242384,0.195999438,0.976503224,0.974251736,0.974217593,0.974,0.974,0.974,0.974041667,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974017361,0.974,0.974,0.974,0.974037879,0.974,0.975763889,0.974,2780,24.51895255,25.51245132,27.23845808,26.55928498,14.13426385,23.17673887,16.70203189,20.1833155,11.43674677,17.54217522,11.09802138,30.01963355,13.5464892,39.81806637,14.64723187,26.43992734,20.81438768,26.77776024,20.87110983,27.72722732,19.18322402,26.41024581,21.77653999,25.12495522,189.4514465,189.4525299,200.074585,203.9829559,214.3744812,227.5618286,240.2431793,256.0379639,274.7188721,277.7268982,311.0465393,317.8399963,328.8230591,333.0191956,319.0947266,328.6941528,296.8183899,302.5259094,256.5195618,261.2005005,209.1030426,219.6029816,192.4636841,187.9172058,277.3799752,279.6633245,285.7194097,289.3520833,294.653125,296.7313984,301.06975,306.695625,307.4111288,308.6325379,310.6777778,310.7516319,313.5810069,309.8665972,311.9415751,310.8978914,303.4989236,305.5925694,297.9094907,295.8143102,287.6946212,287.1688636,279.4671622,280.8948264,259.5036111,258.6074621,262.9580093,262.9885764,269.2118056,268.8631092,273.93175,276.4116343,280.1358333,281.0293182,285.2423148,286.3139899,287.8320833,289.5883333,285.9744792,287.4230208,277.7660669,282.2807986,272.2505833,273.3980417,263.7488542,265.8120833,257.2337153,259.5732292,108.8125,109.5125,142.6333333,147.5,184.2,184.5208333,208.1541667,216.3625,238.6375,243.2333333,250.0708333,248.8375,256.6333333,255.7875,230.4416667,214.4791667,146.8625,182.2541667,136.425,142.2583333,117.1666667,112.9416667,98.57916667,103.275,5,5
0.235600777,0.194885101,0.243431967,0.182735196,0.215269583,0.178625795,0.219297807,0.180342416,0.185470114,0.166805349,0.155821821,0.149986101,0.160672155,0.154548397,0.16041746,0.155278584,0.166477708,0.163742397,0.194587439,0.18038439,0.177475586,0.164969836,0.240649099,0.179703051,0.981211289,0.981357699,0.981578287,0.981384624,0.981453431,0.981331892,0.981305017,0.98129827,0.981422617,0.981173364,0.981251644,0.981303453,0.981231942,0.981150087,0.981206069,0.981278855,0.981393418,0.981191609,0.981357915,0.981397621,0.9813947,0.981501522,0.98232621,0.981466191,7928,22.19075777,22.11441613,19.24919953,17.74000637,7.940989577,13.11451953,6.883420239,10.7365957,12.41517185,14.25245826,20.04952308,34.90184291,29.55125397,58.72034561,28.83296088,55.27775942,16.21325818,25.96448949,14.53534164,13.03709199,16.14509434,19.4677895,21.45691661,21.0666623,192.2954351,190.5859898,201.855278,205.2629821,217.3316051,228.6681884,248.1346314,260.9493893,286.1891035,287.6304945,328.9960641,333.6353899,351.6408216,356.4681908,336.7361509,344.0675668,310.8018332,316.2574122,262.3917811,262.5776663,211.6684819,224.5151509,195.9520923,187.266898,277.0953244,278.1450338,284.1678599,287.032345,292.1991595,295.0915571,297.9924125,304.7232093,302.4173765,306.5838007,303.8364256,307.7862298,307.9839432,307.6330443,305.5266214,305.2258814,298.8676385,301.5593267,293.0750596,294.4593642,282.0277829,282.6850937,274.7177212,276.8362539,261.2893058,259.3941918,263.8554508,264.4263509,270.7233434,270.9828347,275.1527249,277.3519429,283.6495461,283.3432479,289.6063702,289.5786655,291.4138646,292.1619312,289.5345298,289.1476106,281.2786015,283.7570639,274.2394247,274.5986237,269.5509695,269.4716141,263.825696,261.2578258,111.7014418,111.242128,147.3791811,151.5492791,196.625,197.0100346,222.935496,236.9798443,261.1329008,265.6368224,266.1104095,275.2440023,268.330248,268.13812,247.9202422,243.763812,171.589677,198.7226932,156.7153691,161.9258651,123.949481,118.3030277,99.81577278,104.8192042,5,5
0.688830451,0.661133734,0.664965455,0.661933915,0.35757981,0.286417391,0.213197608,0.204359118,0.2149815,0.205323925,0.204115552,0.196743056,0.209216398,0.199497312,0.212284299,0.199889785,0.218461111,0.203677778,0.224191011,0.213024194,0.337433313,0.342273764,0.617306496,0.564896948,0.986375,0.986307292,0.9861625,0.985942708,0.985229167,0.984526042,0.9842125,0.9841875,0.984363636,0.984369318,0.98435,0.98415625,0.984270833,0.984203125,0.9845625,0.984291667,0.984348958,0.984338542,0.984372917,0.9842625,0.984612216,0.985375,0.988567708,0.98646875,24146,,,,,10.49623843,9.078816229,8.89226466,8.742766204,5.591724537,11.59643308,13.3573082,20.32536008,9.715505126,20.78072391,4.423466435,17.39728009,4.208260995,9.57842312,9.21248071,10.10959201,10.73929398,15.95940807,,14.46759259,203.3282776,198.4446411,209.124054,209.4317322,223.2419281,224.6553345,254.6865082,260.7218323,290.6513062,287.2911377,324.5576477,315.8231201,336.3971558,345.0706787,331.095459,332.308075,288.4734192,300.6408997,252.3024597,250.3666992,225.3741608,219.20961,202.5993347,197.113205,258.1728274,259.8220284,265.7702778,266.5157292,288.5640303,291.7797917,305.3015,308.90775,312.7754545,313.0832955,314.64875,316.3630208,316.3882292,317.1426042,316.460875,315.2755208,308.456875,306.9369792,293.7558333,294.5665,280.3857955,277.5609192,259.2347822,262.1142702,247.0715625,246.8688542,252.49375,253.8592708,269.4189773,269.397964,275.9665,276.6635,283.0502273,281.7630909,288.2521944,286.0582292,289.1883333,289.2864583,286.38875,287.0917708,278.451875,279.6033333,269.7516667,269.816125,263.782142,259.8765909,249.6177746,250.8369129,78.0375,81.025,116.8625,120.3541667,177.1583333,182.9041667,216.9125,233.7,274.75,266.8625,283.4666667,293.7916667,277.6458333,273.3625,249.3041667,249.6583333,208.9416667,203.35,138.3375,149.4083333,92.2625,91.52916667,66.84583333,69.75833333,5,7
0.69943775,0.681628429,0.654454199,0.668607002,0.333493,0.341687047,0.207395375,0.209193768,0.216833656,0.212132686,0.220627588,0.194065408,0.219922757,0.195902932,0.221597568,0.192523185,0.223725391,0.198649045,0.215169985,0.212086316,0.291234792,0.294236671,0.556490361,0.6308192,0.986898438,0.986899414,0.987,0.987105794,0.985651042,0.985599772,0.985,0.985039258,0.985200284,0.985090554,0.985119922,0.985008138,0.984865885,0.98497526,0.985049805,0.985058431,0.985124837,0.984899577,0.985308919,0.985070313,0.985440874,0.985644886,0.98812429,0.986918457,24460,,,,19.02669271,12.36897786,10.75787956,7.568992332,11.30039545,2.809595179,13.71359263,3.75582579,37.67564904,5.367815936,45.57592967,3.16591616,58.3560006,3.085773878,27.05674434,11.03110231,11.25929844,12.50843189,17.83933286,,,213.6763916,209.5963745,219.3516235,218.2425995,236.0511627,234.7002869,269.8999634,276.4091492,306.8591614,301.9523315,338.5110168,332.0578308,352.9701233,357.6300049,345.4565125,346.9985962,300.2567139,312.4782715,265.3475037,260.8397827,236.1811523,227.0873566,210.4605255,206.853775,256.906875,257.5287563,262.5919618,265.0292969,286.9883594,288.8577632,301.799875,307.8335625,312.0484872,310.5934837,317.0216797,311.4548307,318.2490723,309.5955306,317.5678711,308.4714193,308.4392578,302.6738184,293.2415273,292.3900313,281.1642135,277.092849,258.9332921,257.7834063,247.9721191,246.5246582,250.5458125,252.0296777,270.0201302,269.4117122,277.6276094,278.4593242,283.6855753,283.8438956,289.3446528,287.508112,290.7301119,289.0923535,287.2454297,287.3957747,278.6150065,279.8473926,270.7570365,270.4887656,264.5671738,260.1693146,248.6683299,250.1338121,64.96783854,66.00117188,103.5683594,104.0686198,166.1342448,170.7010417,208.9671875,222.5334635,266.5338542,263.7998698,280.8329427,290.7,261.1673177,278.0990885,243.2997396,247.6990885,199.4348958,198.2679688,129.2351563,142.1015625,84.43463542,85.53463542,58.83385417,61.60078125,5,7
0.666340854,0.623467259,0.593315617,0.557710948,0.191359137,0.208394047,0.182704878,0.191591734,0.186247181,0.188113297,0.192889656,0.181772222,0.1950476,0.187408864,0.196729609,0.183901521,0.196615989,0.194950136,0.188947286,0.202973118,0.199611939,0.24169473,0.62494736,0.416706665,0.987522866,0.986641768,0.986737805,0.985385347,0.98514939,0.985159045,0.985,0.98510061,0.984926829,0.984991131,0.985062195,0.985060467,0.98502439,0.984965955,0.985082825,0.984908537,0.985068089,0.985133638,0.985239431,0.985010976,0.98528617,0.985519512,0.98872464,0.985761197,23192,,,19.83612805,17.74503162,17.21788194,17.18826989,16.30815266,18.34716576,11.26118088,30.32445902,7.632234804,71.65234022,6.460611853,71.07481274,5.799740289,72.51380891,6.468425361,30.04142672,15.06951502,13.10351033,17.59635652,16.36370419,,17.97380778,227.7298126,220.660614,229.072113,237.8155975,251.2906494,252.331192,279.9320984,290.1380615,315.2571411,311.7660217,341.2453613,337.5734863,351.5065308,361.170105,347.9336853,354.3633423,305.9270325,315.368927,278.2622986,270.9114075,254.3023682,238.6411285,229.6769409,226.7684784,262.6079268,265.0129065,271.1365583,273.5762916,295.1156707,294.4105691,304.198,307.2118049,314.149867,309.9454656,318.8065854,307.3671951,322.5396545,309.7379472,318.8688821,308.353689,310.7521646,302.9743801,294.539435,292.3279512,283.6255183,280.7032995,264.4190366,269.9745732,255.7671037,255.5539579,264.0868537,264.2400711,273.5479268,272.0230636,279.7743659,280.8505732,286.4494013,285.3570288,289.6732195,287.4989228,290.477622,289.7218801,289.2452947,287.9117378,282.358435,280.7084146,274.9814146,273.036,270.6155827,264.6230122,252.679187,259.2456098,86.7,87.76666667,124.3333333,120.6666667,166.3,172.5666667,206.4,211.1333333,256.7666667,259.6666667,271.9666667,281.9,253.2666667,278.6,236.5,244.9,194.8666667,196.6,132.4333333,143.2,93.36666667,92.86666667,74.6,79.96666667,5,7
0.501618881,0.431502595,0.38556211,0.18443225,0.200364857,0.169724273,0.188710372,0.169697766,0.18297266,0.16863438,0.185606591,0.165472003,0.182202899,0.167985875,0.176514596,0.169427617,0.180415559,0.170495875,0.193328185,0.176394459,0.20103563,0.22795889,0.461136215,0.246301751,0.982679628,0.982609352,0.981739899,0.981559172,0.981392012,0.981758242,0.981549028,0.98129328,0.981241374,0.981201299,0.981500169,0.981445689,0.981616707,0.981654234,0.98166804,0.98144907,0.981387926,0.981379262,0.981467991,0.981789687,0.981793697,0.981665258,0.987016525,0.981518769,8968,13.09233888,20.57600974,9.005172164,17.60107944,3.476050896,12.88919908,4.935075608,24.77393106,16.52996443,34.79944201,12.6349866,33.15053373,18.21763417,43.19055381,28.43407816,49.92539141,15.3873915,26.56224726,4.619438313,10.41524939,11.58584207,14.44254997,22.68566946,17.4446007,202.6031408,204.5316805,207.2017212,223.3429557,233.3619456,255.3463299,272.1474216,285.8505771,300.3539868,305.6556068,317.1765313,325.5260913,333.8871881,346.0527469,326.9277174,341.2357432,291.6945787,306.0745265,259.0517581,271.7842886,233.4808312,234.493043,213.6771652,212.8110222,272.9851817,274.5782254,284.0010646,285.1638083,295.5365746,295.9168541,303.3857278,300.5645232,307.3862445,304.8265381,310.7450347,308.5958411,311.3733746,310.4435757,306.521866,304.8933164,301.6796168,301.3702902,298.1406374,295.1229431,286.9544276,284.1796653,269.3967411,276.2502493,260.0121054,261.2776457,266.0668639,267.2686651,273.3613233,274.1673319,280.666461,281.0314811,285.1116938,284.2735403,288.2330617,287.7619378,289.5436856,290.3708257,288.4849619,288.5504672,283.0699732,283.0134747,276.6051843,274.6684734,270.0638594,267.7750711,258.1207074,262.7613381,98.33384052,92.53674274,130.9125106,129.1344041,178.7779938,173.7952099,214.533925,208.0683291,252.6563821,255.5142857,290.5120034,278.1338687,257.7719921,278.4368555,262.8072697,253.8041702,211.6099183,211.3444914,164.2738518,155.7531136,113.5571429,113.0729783,86.91594815,85.24959143,5,7
0.614311827,0.637246732,0.633034079,0.581927425,0.300510126,0.262739989,0.210393782,0.191004975,0.217370642,0.192372149,0.216391648,0.195092763,0.223244804,0.195701083,0.219728899,0.199970105,0.222861971,0.204178326,0.2087412,0.209880202,0.273100846,0.293076899,0.554207234,0.63666162,0.98700014,0.986464164,0.98675,0.98656264,0.985422739,0.985541926,0.984964238,0.984864294,0.984909091,0.985038983,0.985035762,0.984970291,0.984988042,0.984955391,0.985023823,0.985080391,0.984928578,0.984877943,0.985,0.985003587,0.985552015,0.985337699,0.988012145,0.986699382,24288,,,,21.13276935,11.68214634,12.06158529,9.763583534,9.789811182,4.80839847,9.881949635,8.701557199,13.02673715,10.80987053,12.39889986,5.781198098,11.16397513,4.905811431,9.192856568,12.10116805,10.59295216,13.12028992,20.72263138,,,214.2625427,209.7045135,220.1874084,219.0147095,237.8585663,236.1831665,271.7515259,278.7772217,309.1378479,304.1115723,340.5258789,334.479126,355.6064148,359.8962097,348.3398132,349.5921936,303.1975098,314.5202942,267.5496521,262.8377686,237.5879059,228.2086487,211.5932007,207.8811646,257.3009257,260.7834405,263.2627379,268.8975214,286.1761985,289.8197243,299.5568251,308.4974327,309.5796046,313.4190828,313.6887197,317.3061239,314.6979325,318.3780007,314.8949434,315.265397,306.4092451,305.1101345,292.0658464,293.0455191,280.4551046,277.2115792,257.4534558,260.1340105,246.1969675,247.9189835,252.0483565,254.8351065,271.0026925,270.022505,277.7698655,278.8189058,284.8177171,283.4953231,289.9061973,287.6770521,290.7362597,290.5779835,287.5128531,288.5418227,279.4610968,280.9561911,271.3849458,270.9417904,265.9462989,260.401223,250.2095609,251.5950333,64.72858744,66.17144993,103.0476457,104.0619208,164.7714873,169.9000374,208.1095291,222.3618834,265.4619208,263.5380792,281.6047833,290.0333707,258.1095665,277.5095291,242.2762332,247.5952541,198.1238416,197.4714499,129.5762332,142.1619581,83.55710015,84.45235426,58.21431241,60.59050822,5,8
0.727993029,0.672360376,0.704151794,0.621462312,0.398558619,0.3702398,0.165821245,0.162448335,0.174610666,0.168101844,0.176071603,0.170046344,0.17467844,0.176372446,0.176720004,0.181182707,0.182301477,0.185517185,0.194291614,0.199147536,0.28130157,0.423083577,0.712562384,0.619129674,0.987742686,0.986521952,0.987205285,0.985973748,0.986114093,0.985410164,0.985200083,0.984981709,0.984899632,0.984815855,0.98501057,0.98497158,0.984850984,0.98485095,0.9848312,0.984973782,0.984752271,0.985015449,0.985126342,0.984810652,0.986452331,0.985925944,0.987829067,0.986434249,27537,,11.80555556,,26.52391975,29.34303351,25.11847087,30.70777709,26.95994132,32.62845932,30.62247944,55.56443033,53.7960924,52.18900291,79.94142412,33.30221188,56.15824846,15.17889911,24.3271496,17.91158847,18.98305846,18.94077629,19.87140927,,18.16091596,219.2196927,216.1252102,220.6758484,223.7888448,227.9512968,224.9816706,255.7544244,258.5577477,287.9078674,282.4504751,321.4109024,312.6986902,330.2747443,337.0497708,325.8078448,324.1809338,279.812342,289.1180197,252.7032727,245.8712341,233.1100969,221.7719487,215.7624667,211.0701875,261.5517576,264.9491034,267.0903973,270.2542025,282.0488976,286.406988,299.1314781,304.5288544,303.337805,309.3759884,305.7527663,308.5354349,305.5412662,305.5096841,307.6639499,304.0992775,303.8988109,298.7605898,289.6895984,291.529545,278.3878456,273.4089105,260.9754164,266.5013254,254.6762499,256.6746069,259.4032733,262.210973,269.7023342,269.7726521,276.7705945,277.2682263,283.0184684,282.8715629,286.270294,286.1856847,287.6924635,289.3937208,286.2236038,286.8438792,279.8663852,278.719817,272.2493108,271.6641883,265.0052376,262.7287366,253.6735274,258.9124876,70.95419763,70.49625654,113.6049821,112.0207542,162.9471511,160.6420589,202.9998348,208.9648225,258.9964217,261.3701349,268.001569,275.0225984,249.6804844,269.4558216,232.6647674,236.95951,187.6332232,180.6384806,117.5086705,128.1577759,76.73669144,78.75593174,58.3435728,61.81896504,5,8
0.317310835,0.221653029,0.264955258,0.205457568,0.228346354,0.185335529,0.216496869,0.175588629,0.199986808,0.169162139,0.191192599,0.159414104,0.177315808,0.158696944,0.181958807,0.155996186,0.193250944,0.159858147,0.210640351,0.172990568,0.224198684,0.189568473,0.229712837,0.202866632,0.981450658,0.979984051,0.979639474,0.979087719,0.978938596,0.979322368,0.979480263,0.979832968,0.979313397,0.979108254,0.979311842,0.979063596,0.979330044,0.978855263,0.979052632,0.978995066,0.979063048,0.979135417,0.979016447,0.979182237,0.979179575,0.979621411,0.97966866,0.979617873,2840,8.785386308,14.65145488,6.209838595,8.577769014,1.378961478,4.798602678,4.807984214,20.35434797,10.02888775,30.99057515,6.221990921,31.71707397,13.95838077,27.30213681,11.34574361,22.72724398,8.847525804,20.99239779,3.09400931,8.209307326,4.373177151,12.1713112,13.08876812,12.36064046,199.4605287,197.0703583,204.8533195,220.1826146,228.01396,246.8703154,268.5125194,278.2466395,298.1838287,302.6240295,319.1393059,326.5507656,340.537323,344.3891264,330.8060006,341.1028418,297.3154743,307.1007803,254.1079192,267.5803672,224.3570031,227.6609106,211.1316928,203.9864863,275.8005921,277.6985154,282.5295724,285.4509649,294.9609649,294.0109061,301.8116842,298.1045468,303.4940431,301.5508852,302.1333772,303.4587281,305.3951645,303.1416338,302.2749013,301.0818969,301.0242105,298.8894408,296.5097061,293.1028289,287.7317404,284.4805383,276.8328947,277.5320465,261.9419925,263.0038636,265.7217456,268.2864904,273.205307,273.9925887,280.0895526,280.3164795,284.1778947,283.5401236,286.4734474,287.6050625,288.0396184,289.6242195,287.9726824,287.6226499,282.4649452,283.5377881,275.8701316,275.53575,270.0311453,268.1015287,265.6999254,264.4025189,105.2412281,103.7605263,130.9701754,129.1701754,183.9061404,181.8333333,212.2526316,206.0938596,253.8991228,245.6464912,279.6026316,256.8815789,233.6622807,265.5254386,235.5280702,233.4298246,197.0017544,207.5482456,174.3333333,173.0868421,127.2491228,125.6350877,96.62192982,99.30175439,5,8
