Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,EM_01,EM_01_1,EM_02,EM_02_1,EM_03,EM_03_1,EM_04,EM_04_1,EM_05,EM_05_1,EM_06,EM_06_1,EM_07,EM_07_1,EM_08,EM_08_1,EM_09,EM_09_1,EM_10,EM_10_1,EM_11,EM_11_1,EM_12,EM_12_1,Id,LE_01,LE_01_1,LE_02,LE_02_1,LE_03,LE_03_1,LE_04,LE_04_1,LE_05,LE_05_1,LE_06,LE_06_1,LE_07,LE_07_1,LE_08,LE_08_1,LE_09,LE_09_1,LE_10,LE_10_1,LE_11,LE_11_1,LE_12,LE_12_1,LR_01,LR_01_1,LR_02,LR_02_1,LR_03,LR_03_1,LR_04,LR_04_1,LR_05,LR_05_1,LR_06,LR_06_1,LR_07,LR_07_1,LR_08,LR_08_1,LR_09,LR_09_1,LR_10,LR_10_1,LR_11,LR_11_1,LR_12,LR_12_1,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,SR_01,SR_01_1,SR_02,SR_02_1,SR_03,SR_03_1,SR_04,SR_04_1,SR_05,SR_05_1,SR_06,SR_06_1,SR_07,SR_07_1,SR_08,SR_08_1,SR_09,SR_09_1,SR_10,SR_10_1,SR_11,SR_11_1,SR_12,SR_12_1,stable,uc
0.785442023,0.705159161,0.764031456,0.722441368,0.543018612,0.522879991,0.253988851,0.26274339,0.260844773,0.251056275,0.260866048,0.248571999,0.265446463,0.236598233,0.26540028,0.235857149,0.269029133,0.245044685,0.273358125,0.271981427,0.297955739,0.367311725,0.643738115,0.651418603,0.985820057,0.983414187,0.984894671,0.982636692,0.983791095,0.981999137,0.981743939,0.981665978,0.981525227,0.981605655,0.981504783,0.981621657,0.981564928,0.981551866,0.981547769,0.981590877,0.981607854,0.981577971,0.981640999,0.981610432,0.981907655,0.982288316,0.98605138,0.983721646,27674,,,,,13.20094562,10.32752488,12.19921534,8.827229774,4.990078657,7.238665087,3.202044133,11.97535348,3.970301123,24.64842724,2.97217925,31.12597553,4.195079839,18.44725198,14.47678501,14.49479167,16.80264581,19.80034757,,,203.2031573,199.6908587,207.1488664,207.2100458,219.4441098,217.7068504,254.1071444,254.7902728,287.326173,285.3800458,328.3001488,315.0628244,337.6863258,341.6267612,330.9434355,329.4486323,282.2971527,293.6882224,247.5367525,244.0483135,219.3412464,214.2905111,201.811966,193.8643319,254.125289,257.8240923,260.648909,263.9978679,278.8606417,281.2748957,298.6396117,302.0822619,308.1789161,309.0802901,312.3579015,311.7091682,313.9205273,308.7489336,313.7609658,305.8204569,303.8855698,298.3157922,288.6792222,287.2761594,277.2188424,273.3097804,256.5112357,258.9396443,249.0302614,249.3146823,251.9226828,253.9456839,265.8426327,266.6015391,276.5093858,276.194978,283.2180243,282.2259029,288.5420408,286.108968,289.5703052,289.2870457,286.901889,286.7792861,278.593335,279.0935765,269.9803342,270.8754062,263.4007179,260.7072141,249.5757644,252.3539675,69.37883557,72.27403656,113.2979485,114.3877844,162.734476,167.753324,205.85898,221.8731277,269.8555573,267.0093539,274.3319414,286.9171757,271.5780981,274.4682559,237.0083463,241.3171705,189.9396697,186.5953984,114.255604,125.1298899,69.80249818,70.64117586,54.73953984,57.42994702,58,30
,0.624732054,0.668078019,0.6425605,0.474315705,0.382490209,0.221215352,0.250873669,0.225595484,0.254145632,0.219995404,0.252887288,0.220436379,0.234213407,0.22319319,0.227490049,0.220010917,0.231716474,0.222928993,0.251940886,0.241791489,0.284468002,0.566048357,0.454253754,0.987415564,0.986155389,0.986539829,0.985330792,0.985763865,0.984940123,0.984301759,0.984281144,0.984334347,0.984279844,0.984303409,0.984197581,0.984425026,0.984255396,0.9842176,0.984264475,0.984288307,0.984317367,0.984290379,0.984253222,0.984722068,0.984213958,0.98824699,0.985963069,27388,,,,23.03779366,14.97991125,12.24270835,11.54529351,8.599860691,4.686336159,6.187382417,3.353863,8.050621405,4.333025163,19.08451273,2.914459937,25.14660153,4.39719533,17.41404689,13.73502486,15.38452947,19.83283704,19.76251062,,20.25039631,208.2077637,203.2621885,212.6475186,209.8663664,224.359741,223.5110913,259.882219,262.1188055,293.6870157,292.2494801,334.8888617,321.3773489,344.4097307,348.5926996,337.4067731,335.5216119,288.1889029,299.8507531,254.2653827,249.1298424,223.407849,218.02369,205.2347868,196.8711225,251.1298272,254.7017048,258.3141569,262.4131925,278.7793767,286.1429476,302.5172187,306.0233209,312.5162966,312.184149,315.1009955,314.2544859,318.5761822,312.6742128,317.5745837,309.3903406,305.3872163,300.0780431,289.3738269,287.8949965,276.4072684,273.9336657,254.0920763,260.2848157,245.7453362,245.7462209,246.5167461,250.8359589,265.9587956,267.9166552,277.9455329,276.7277446,284.6520804,282.9244167,290.5639847,286.9267961,291.8583097,290.7529099,288.5324421,287.7626767,278.97792,279.3438516,270.4616296,270.2280089,261.8239285,258.8386568,248.4485571,250.0522039,66.57764981,67.95325551,110.0544384,109.1314449,164.1611621,169.6680363,206.9993204,222.0057639,269.2838807,265.3065733,272.3602698,286.7406122,269.0894942,275.144358,238.5200726,245.4925499,192.3853074,189.891642,118.2559118,131.2052555,73.62439429,74.48418677,55.87122179,58.50555642,60,30
0.756372145,0.681585787,0.674228843,0.681227561,0.338114775,0.318659104,0.225198648,0.210614328,0.233117965,0.213428956,0.240795196,0.202165655,0.240520506,0.203062955,0.24179015,0.200837069,0.238286429,0.20217529,0.227031924,0.211425505,0.288829359,0.272851629,0.586569439,0.637651174,0.98652553,0.986824518,0.986588247,0.986325893,0.98550777,0.985073366,0.984784502,0.984748774,0.984838665,0.984812428,0.984718774,0.98477815,0.984645695,0.984708491,0.984723411,0.984803441,0.984737376,0.98471975,0.984861571,0.984724731,0.984835221,0.985238118,0.987300599,0.98685274,24615,,,,18.75342551,10.34292603,7.968573671,7.279593436,6.579650717,3.412719483,7.76263036,4.090822485,25.11544214,4.335125459,36.99117436,2.348838397,42.13229023,3.1940853,22.73342817,10.62733735,10.19968821,14.68902143,17.89310863,,,211.3063444,206.8947313,216.6090453,215.5383431,236.1564171,233.9980007,270.8338401,277.7711988,308.8212573,303.8350522,341.2048208,334.3568783,356.0840062,359.7991816,348.3816592,349.4171049,302.3398864,313.6550436,265.9103949,261.1618504,234.5936713,224.9553116,207.6599313,204.3958144,254.9053536,257.3546281,262.3946631,265.1054248,285.8507335,288.738007,301.6464195,308.8981218,311.0309922,312.4716353,316.3466289,312.0359454,317.2890244,308.7995578,316.0251161,308.2731829,305.7930863,302.7241771,290.8522664,293.0981623,280.7904884,277.5794966,258.1871637,259.304724,247.8046913,245.4979966,250.4103956,252.2088335,270.4528591,269.0710326,277.549425,278.3792989,284.5351928,283.7833609,288.6243572,287.0796683,290.6047451,288.8384965,287.6276444,286.7087005,278.71618,279.523799,270.9032898,269.6713277,264.3720117,259.7829894,248.8507476,250.5766287,64.18006873,63.9264223,103.6278503,104.2396487,165.072795,169.0128255,208.1823215,222.383719,265.5547614,265.1523826,280.4420504,289.0249217,258.1258419,278.7245323,241.6337686,247.2429362,198.2070294,198.4116724,129.0244177,142.2456625,83.4205231,84.6575525,58.57019091,60.11961054,17,31
0.569315906,0.500591622,0.627937273,0.422391635,0.612456216,0.195221069,0.145715173,0.179172842,0.135337299,0.180618749,0.154783699,0.182019591,0.124291744,0.195881934,0.190258065,0.195054936,0.156449839,0.196644407,0.160896759,0.220511187,0.183379431,0.258405885,0.498769198,0.495883042,0.987509364,0.982557073,0.982567587,0.981316071,0.980194438,0.98005371,0.979907329,0.979861918,0.979802183,0.979816608,0.979808911,0.979853463,0.979954949,0.979843054,0.979666379,0.979872289,0.979773807,0.979835521,0.979880844,0.979795945,0.980427148,0.979943017,0.986176517,0.981902784,24565,,20.25659482,18.68480028,21.76247065,13.95013265,20.30452454,12.40957438,15.37644193,4.910410611,10.49696249,5.482842039,39.00722409,4.170576869,70.04446889,2.932430931,75.56628265,4.18540613,35.511771,16.46843717,14.91613248,21.59033659,18.29448195,20.37037037,20.61163713,218.7365723,216.1482544,223.959549,226.7463226,242.2850647,241.2488403,275.9918213,283.3991089,311.1200867,305.599884,342.398468,335.8536072,354.1786499,359.9994202,349.3064575,350.4421997,302.6703796,312.2719116,273.335907,262.8283691,243.5955353,230.487854,219.3115387,216.4248962,260.2219906,260.1821279,267.6120955,276.6971464,291.3897484,293.3608118,305.275397,307.1383664,312.7638757,311.1903374,315.558599,310.7525316,316.8482135,307.800838,317.2313367,305.3994134,306.2852896,301.0759471,291.7041285,291.8621134,283.9719701,278.4968772,261.1528852,264.1778637,253.8006177,252.1852084,257.4962832,259.037366,271.6203582,271.2508923,277.4413927,281.027569,285.7444253,286.2365612,290.4125287,289.5165096,291.4651409,291.179407,290.5218354,289.3018421,282.3431027,281.4681186,273.7518294,273.2101946,267.1250357,262.2148728,254.9368964,254.9316984,79.106725,79.68682113,116.7714033,114.8558212,163.409272,169.5046915,205.3181949,214.2467423,255.4272081,265.4495892,268.5251664,280.2957768,250.0313162,276.288374,236.0652781,246.2982746,195.0767768,197.739664,132.3621806,145.3385835,87.82134171,90.3971695,68.40952264,73.85789993,41,31
0.256494333,0.248522818,0.269710027,0.246814801,0.271989489,0.237030386,0.262804413,0.225676471,0.252569966,0.201886871,0.238272392,0.185917018,0.238130856,0.173939205,0.245627385,0.172987867,0.250688175,0.1810913,0.26184405,0.217868547,0.26796612,0.245375984,0.260088546,0.252689923,0.96857704,0.968560532,0.96855045,0.968578318,0.968578392,0.968546489,0.968544039,0.96854265,0.968550821,0.968516046,0.968556019,0.968553795,0.968519459,0.968535542,0.96857464,0.968555122,0.968517024,0.968542824,0.968547261,0.968546962,0.968547039,0.968574837,0.968528067,0.968551432,4658,,,,,,,,,,,,,,,,,,,,,,,,,197.6033287,192.5520292,204.6950587,213.5116298,224.5851848,240.3120082,267.6924752,274.0966727,296.0071327,299.8490894,322.6896476,329.6529139,343.7021204,344.4351839,332.7151323,339.4373321,299.1580699,303.3357487,254.1583967,261.3773384,225.545374,222.7984895,206.5512063,198.9726095,281.3662335,282.7891504,290.802624,292.978708,303.3645654,302.4475403,307.6663067,310.8844207,318.4775274,313.7511611,318.4353044,313.0400259,322.3434414,315.0001997,320.9460856,311.6033232,315.0029345,308.0138952,305.3742853,299.9124068,294.59621,290.3481097,280.0425912,281.9525641,256.4570955,256.7697018,262.8412355,263.1991519,271.316019,271.7794702,278.2627419,279.8739381,284.9367403,283.4514415,288.2519861,287.9408231,288.1368862,291.3126442,288.8422464,289.1116143,279.9411642,282.552337,271.7316373,272.2216123,263.5153885,263.4523038,255.6996287,257.1901457,112.6260995,111.4681713,147.5993056,148.1954282,199.4948495,192.3850694,224.3458912,227.3975116,267.2489005,257.1478009,280.1978588,269.6680556,250.8417245,262.9737847,238.2358796,235.0130208,205.5826389,212.5354167,171.9832755,172.198669,126.2470486,126.8088542,98.48194444,102.0613426,35,34
0.721915607,0.628535874,0.697315149,0.658941733,0.421725644,0.313627593,0.150617598,0.184736249,0.147749095,0.180956265,0.145546724,0.168487164,0.14644881,0.164760927,0.14811025,0.167131188,0.152124689,0.177528067,0.232501582,0.198253998,0.401156889,0.51577626,0.716284908,0.632120277,0.982853031,0.980415931,0.98251892,0.980009342,0.979150832,0.978487672,0.978071492,0.97811295,0.978143974,0.978080984,0.978148055,0.978048558,0.978030584,0.97801696,0.978155186,0.978137559,0.97809019,0.978036889,0.978656177,0.97812529,0.980356882,0.979883613,0.983868999,0.980476645,27138,,17.9045706,22.05046341,19.61642289,19.06227933,12.65936577,18.12892411,10.67920588,6.980196506,10.48341878,4.470630223,18.86507303,3.091713628,38.09711307,2.030732368,32.26664801,3.279382046,15.57096721,15.36650467,16.05855541,15.95599418,17.61917735,,20.26795636,193.8551917,191.3900173,195.6084117,198.163655,207.9221192,206.1641445,239.1603439,240.7875983,269.8693189,270.3135991,307.3504671,296.970703,318.3150449,324.0331976,312.0016866,313.5754813,265.4111976,280.9208973,234.7580201,230.7454701,210.6894841,208.5697099,194.7177845,185.5198517,257.4793651,260.7673324,264.4536565,268.2861227,283.1106505,287.8456263,298.9573785,304.0603936,311.3423093,308.6905824,314.4400552,310.7248652,316.7163697,309.7586371,316.3066287,307.477833,306.4148405,300.449776,286.6528123,288.8974957,273.485206,269.2434479,258.3883044,262.3288018,251.510642,254.5715779,256.372094,258.5903259,267.0693601,267.0226115,275.3994732,275.019943,281.9171929,280.2112036,286.8496715,284.5906207,287.9723725,287.9125326,286.167415,285.2827828,277.6685492,277.9585203,268.5739725,269.8546166,261.9585536,260.2793021,252.766161,255.2052343,70.43549259,74.58730452,117.7480546,119.7043527,169.4215447,175.1472744,209.0795024,227.2551175,271.7798207,264.0941005,277.6718065,295.8337713,277.0730384,267.2816857,240.0899839,240.339356,199.2943606,192.0153646,124.1367964,136.7754816,80.63371659,81.99357013,59.25834103,63.63073606,37,34
0.722379608,0.670190425,0.754577053,0.690782438,0.553772738,0.457060504,0.256153991,0.245949433,0.254133401,0.239042124,0.255477855,0.224168901,0.256991097,0.208947133,0.258897632,0.20718126,0.260258954,0.213842096,0.264083432,0.245943239,0.27882605,0.353162924,0.624310252,0.62437812,0.987225071,0.985741524,0.986507264,0.985175696,0.985688264,0.984648873,0.984095778,0.984096344,0.984163446,0.984089012,0.984165872,0.984179158,0.984135535,0.9841527,0.984109056,0.984117517,0.984094912,0.984123961,0.98409549,0.984116079,0.984205999,0.984461132,0.986687152,0.985255453,27842,,,,,13.86691143,9.12936836,12.18348355,8.786444775,4.973014732,7.654214689,3.030303945,18.3110437,4.293407536,46.11381927,2.777008543,52.95478452,4.03392758,24.34311496,15.38954267,15.63215253,17.38412478,19.34625494,,,202.4302508,199.4297006,206.3394725,206.7607709,218.3570008,216.5073718,253.1514567,253.3165675,286.3669922,284.4076083,327.5225926,314.3752514,337.1200063,341.1435615,330.4692429,328.9531052,281.5583606,292.4922797,246.2242313,243.1535912,218.7465727,213.8420959,201.2381093,193.4932319,255.1725945,258.060997,260.7992059,263.9047788,278.8438837,281.7656753,298.1789541,301.956044,307.4269528,307.637162,311.8270137,310.1316603,313.3036168,306.5901479,312.3618947,303.2906751,302.3730488,296.6963501,286.3332719,286.6341974,276.8848765,272.9532858,255.7105667,260.4193467,248.7047363,250.2331566,251.3331734,253.9851561,265.0981678,266.0735044,275.7500786,275.2149176,282.4221241,282.1046508,287.5742472,285.8443858,288.5596175,288.8879317,286.0541067,286.4285158,277.8678361,278.6181217,269.9506013,270.5698733,262.5798995,259.8528007,250.2158674,252.5627697,68.80484244,71.87040191,113.1167539,114.4426532,161.791037,167.1925822,205.5599181,221.9567222,269.6606765,266.2806667,274.2235268,286.0155453,272.5184167,274.7212435,236.7011194,240.7758649,188.9799935,185.8662043,116.2596991,125.9787606,71.17088048,71.77988806,53.58606481,56.67356126,54,34
0.715805207,0.632194465,0.746468574,0.660915393,0.565914833,0.439282602,0.251163572,0.223258396,0.247105339,0.212962577,0.235958697,0.208196766,0.239696239,0.201887549,0.237890965,0.197490268,0.24583194,0.204355245,0.262370729,0.227042826,0.276696231,0.306369063,0.477990972,0.587332617,0.988044036,0.986937165,0.987248066,0.986462295,0.986124826,0.98557649,0.984915578,0.984846109,0.984912975,0.984867033,0.984873878,0.984793214,0.984921729,0.984830378,0.984929186,0.984836041,0.984876448,0.984828097,0.984882853,0.98479061,0.985148459,0.98543234,0.987220176,0.986890026,27962,,,,,14.49985528,10.83492751,11.23570722,8.558506901,4.400647836,7.482630812,3.146986497,8.960053235,6.240094221,16.70431583,5.341365529,17.8600706,5.120213041,12.58711087,15.49642076,15.33225858,17.38754656,20.64747425,17.24537037,20.02897097,205.2581951,203.662735,209.7861564,210.2063869,221.7403287,220.2166325,257.7578982,257.8520315,291.9304872,289.1790775,333.7505367,319.940467,343.3886274,347.7861973,337.032237,334.9304685,287.130858,296.7798541,250.5463362,247.1853223,222.2913799,216.9785105,203.6167296,197.3355977,254.2837902,256.9708758,259.8558954,263.4668732,278.335437,283.7461255,296.1863803,301.3230559,305.2800327,307.4988489,310.1617634,310.1128688,311.5812353,310.4302769,310.5057942,306.737183,300.2040131,297.4293865,284.991252,286.8286754,275.5491926,272.791277,257.102734,258.5891825,245.6921924,247.7155421,250.363622,252.382981,266.0673787,266.3387341,274.7705838,276.0868039,283.7825534,283.3903454,288.2102725,287.0984855,289.5094648,290.6838654,287.471677,288.2333503,279.1659167,280.0350053,270.7480732,271.176983,263.6172238,260.7577819,250.2955998,251.3112359,65.54053314,67.54921258,109.1343687,109.6029394,160.2338014,166.2303939,204.7747907,220.6809274,269.5094649,266.1835337,274.0473323,285.4404459,271.6634615,275.9915784,236.482292,241.1501329,188.8775199,186.399647,116.1714745,124.9805665,71.35103733,71.85711452,52.63513031,55.43547543,5,35
0.705819449,0.709496198,0.694447443,0.710544606,0.4698407,0.392114591,0.194990322,0.185233371,0.201554663,0.188816919,0.199941465,0.187522763,0.199411386,0.203610441,0.201168465,0.209646663,0.2072318,0.200084456,0.195839929,0.201223369,0.319584036,0.338991981,0.694427044,0.624787459,0.987564095,0.985856517,0.986980222,0.985269532,0.986392042,0.985095436,0.984828744,0.984825487,0.984836345,0.984687054,0.984874715,0.984785636,0.984788183,0.984810275,0.984762229,0.984851172,0.98472634,0.984841364,0.984914624,0.984733126,0.985452523,0.986052399,0.988170383,0.985882388,26964,,,24.76851852,20.37037037,24.15625014,22.22079503,27.13213941,22.06494426,12.5066912,27.67361911,14.43874647,34.66348261,19.56797158,15.78350962,13.99093218,9.763030747,7.796875057,14.09417871,17.13719699,16.03794505,18.88443409,20.42857194,,21.4264115,220.209786,215.9856372,223.0177435,224.8604475,236.3707324,234.3868135,264.8848415,271.7362469,300.0541623,294.8132608,331.5329982,322.9560043,339.6887806,346.1052909,335.3509937,334.6711088,289.3893498,298.5636937,262.7360245,255.0264434,240.6352932,226.9382204,218.0540447,216.0219667,259.4470069,260.4415592,266.4276599,268.0548759,279.7165329,284.5304797,299.6010759,304.6599443,308.5882783,308.9468628,311.7079328,312.5085524,311.8879883,314.7813443,312.7521533,313.7462048,306.0967867,304.4395605,289.8451377,291.744494,278.0997039,274.2231812,258.3031299,263.1777065,254.7976936,252.8304663,257.271323,257.708958,269.2781334,269.5221656,276.872679,277.6742122,282.9763996,283.0205061,287.5648153,286.8966473,289.3942061,290.6524667,287.5301419,288.3163274,279.8876131,279.4160231,272.5145456,271.8953556,266.7657908,262.196152,253.5848699,255.8023344,73.34162749,75.72793821,115.448724,116.2364898,164.6284643,161.595131,203.7730468,206.1386837,254.5653011,263.3869823,264.0479628,271.1952989,243.3999776,271.9646407,230.9062122,237.1261249,189.6608462,180.5403515,118.4239422,131.2714126,79.97743452,81.56034251,62.68422879,64.2218827,17,35
0.248058271,0.237144519,0.291232143,0.19007188,0.24453679,0.185133302,0.211768223,0.187473632,0.198565497,0.211543156,0.1808669,0.194133787,0.156037652,0.186181276,0.162862233,0.184655211,0.18326003,0.188048944,0.20671274,0.211743871,0.233945703,0.212720802,0.241733238,0.2113074,0.974258037,0.97524902,0.975187703,0.974983171,0.975385606,0.974976155,0.974783385,0.974943549,0.974969133,0.974781169,0.974921806,0.974945429,0.974826298,0.97479855,0.974842202,0.97465934,0.974681284,0.97467296,0.974885335,0.974923003,0.974789585,0.974990436,0.974442184,0.975486101,14116,19.66763261,21.91790359,9.877246885,9.744793279,1.176835993,4.792399335,1.165983598,5.018120154,0.818166245,3.644661918,1.407692097,16.89216883,6.584193754,35.37609213,4.935142241,36.62375046,3.671058888,22.30089014,3.266459539,6.01504113,7.559533899,10.10087841,23.72794885,20.30818154,197.6173688,194.7648473,204.8963318,218.5189052,232.1324668,250.0600853,271.080312,289.8851965,307.3949854,310.4166823,331.1039523,333.1700341,347.9141002,354.5289358,339.5321511,350.195118,303.4011312,315.4812581,263.5340885,275.2392014,231.2724268,229.2640251,204.1558787,204.0717256,276.2501857,277.4417974,282.2867245,283.017516,295.2267917,292.4874405,302.6250224,302.4773854,308.9364425,309.3956014,310.9861806,310.1196449,311.1484279,306.6280187,312.5413716,304.4488202,305.5655033,301.8262344,295.7933633,295.0970853,286.491236,283.8719216,275.1623123,276.9052957,259.8599818,260.1541313,264.5047799,267.4621468,272.7500817,274.026353,279.7006106,281.4970875,285.9145383,284.9596476,289.6763328,289.0397259,291.8355574,290.6791009,290.9827103,288.899533,284.8262181,284.1513054,276.6148648,275.0884745,269.4402658,267.5077253,260.4648126,262.4797051,99.08758288,98.66207141,134.3528844,131.7530901,189.1270503,180.9959685,221.5539092,208.2525866,260.7516186,250.3285572,292.9618622,279.9583307,262.9908343,275.9884835,266.4640145,251.135982,203.1650995,205.5020282,159.6984257,156.7762791,111.6031557,111.9366344,88.28973868,92.53402475,7,37
