Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,forest
0.497540752,0.481988756,0.253381407,0.197044384,0.205773672,0.200058965,0.194678401,0.195372818,0.19545347,0.198755462,0.213258026,0.465666418,4.683825679,3.453469514,2.312535299,5.787925968,14.60884428,16.20336488,9.344676314,4.125167215,5.496508272,24891,261.0185982,269.5789473,289.9730217,303.4690403,311.4777931,314.5245192,310.0192766,307.035375,300.9780693,290.8666115,279.9156426,264.9082143,250.8989115,256.4571389,269.8497146,278.4971157,284.4913093,289.9295228,291.8690868,288.7126242,281.8206994,273.5678136,266.0756881,255.3797121,5,338.1745152,5
0.222058766,0.237656468,0.188442623,0.165059332,0.159701711,0.1583604,0.154262261,0.150963684,0.145707286,0.1519415,0.199714397,0.217155961,9.100367718,9.179857603,9.777529093,11.88589332,14.8714863,14.50679975,11.3880772,8.743452513,7.288946609,4280,276.424516,282.4331653,289.4145248,296.7618679,301.916603,305.7720995,306.1234593,302.2862203,296.1015753,289.8440116,282.1641136,276.1817188,256.4228157,259.2010197,264.7800825,270.2251076,274.9696933,280.0761781,283.2584272,281.5223926,276.1816461,270.1990074,263.8511319,257.9644691,5,2770.997343,5
0.243377998,0.230551561,0.185942335,0.175395647,0.169466655,0.170118519,0.167107749,0.164498542,0.159105117,0.1600617,0.188421879,0.238781201,7.833589757,7.148077622,9.496256861,13.33151851,11.96983183,11.84634884,10.02857891,7.591206692,6.255928283,4512,276.4463497,283.2533978,291.8343973,298.9208824,301.1625012,303.94862,307.2333436,304.9870267,298.5002072,291.9174175,283.4844487,276.2840492,258.484848,262.2871131,268.2742293,274.2222009,279.3027889,284.3742515,287.2062882,285.5211143,279.8671543,273.5218957,266.9687837,260.3399995,5,1995.314854,5
0.347294063,0.290944662,0.237171829,0.217580917,0.217792437,0.210970471,0.208120597,0.206435682,0.205724351,0.21124207,0.233629363,0.337962319,3.746118215,3.248435525,3.546698074,6.012700523,9.098602996,8.272884585,5.564612788,3.773990401,4.568812634,9591,273.0366993,281.767658,293.6670238,302.6884539,308.3657499,311.2303231,312.1172018,308.6907464,302.3861511,294.2745269,283.7569139,273.1952297,257.8044308,262.3948117,269.2254558,275.4486912,280.2692798,285.9013297,288.754577,286.6397641,280.5513877,273.1559914,266.258719,259.2713816,5,1843.657414,6
0.269307262,0.227180263,0.190197893,0.188698285,0.195159739,0.182681942,0.17772707,0.176160244,0.178868236,0.195910124,0.20380406,0.207251365,1.031335634,0.498387453,0.93632081,4.112813025,6.430686161,6.435897148,4.786838125,1.625559654,3.376859121,15134,275.6262343,282.7227297,292.4828365,302.3477753,307.6814826,309.2869008,307.7660544,305.1714893,301.1047226,294.9271058,284.0999986,275.6689529,257.4454924,264.0245937,272.5385195,278.6524754,283.2146961,287.8479591,289.6948296,288.1272037,283.1363373,274.908022,267.77356,260.5682778,5,996.2977099,6
0.247310156,0.229993721,0.192864968,0.185484515,0.177972037,0.182161382,0.17607201,0.175995983,0.166226924,0.164087631,0.19319986,0.228366635,6.58425137,5.628335191,8.061151897,12.69325114,13.03825768,10.44398683,8.775835047,6.922472326,6.32293065,5449,276.7848244,284.4276939,292.7417279,301.5522596,304.4090081,305.9273254,307.933448,306.5614652,300.3369579,293.0426451,283.9266822,277.4857907,256.8459646,260.47417,266.6447201,273.1747244,278.6847547,284.0691328,286.5419152,284.7923148,278.7415857,272.0096051,265.6283601,258.6235679,5,2027.474564,11
0.650136545,0.670987442,0.489609248,0.170187317,0.156547775,0.169885913,0.168731841,0.16001447,0.165785002,0.193121137,0.361578007,0.594238479,8.855484277,9.615146516,12.19772565,22.11840135,21.60434688,12.84705466,7.687515463,6.516431282,6.176114076,21045,260.6492707,265.5763022,282.5658136,301.2812951,303.8226803,302.2417008,302.5035595,304.2658867,299.7181972,290.4698491,276.0866957,263.2352594,251.1716114,254.2328456,265.922742,273.4960583,277.7236979,281.1334284,282.8770866,281.4514468,276.65598,270.0564506,262.1560163,254.1491674,5,1851.4692,12
0.685530901,0.697419708,0.490950312,0.218756063,0.20582058,0.202544066,0.197548963,0.196874197,0.202184668,0.214972267,0.359773896,0.635887266,4.265174538,3.35840388,3.03192345,5.124085488,9.823307256,8.843651735,3.946512597,3.995197824,4.730215719,28135,255.925715,261.5343616,280.3719396,299.2500071,306.0058636,310.4506675,308.9451874,306.3583468,298.9742191,288.1261054,273.6995146,258.6376654,246.7564954,250.0174306,264.5105095,274.2565524,280.3820587,286.9318788,288.4194076,285.4939651,278.1150289,269.9372753,261.1437467,250.6170343,5,585.8317025,15
0.265913084,0.221046967,0.205856743,0.200402989,0.199428242,0.189842373,0.184470883,0.184181062,0.188593256,0.204566743,0.219982889,0.257030379,0.936047936,0.58505457,0.719039112,2.235336183,4.115123746,5.432946409,4.483985457,1.553671883,3.587264093,16751,275.3768349,283.276835,293.5933265,302.2317156,309.4303877,313.6069035,311.8774631,308.0942038,303.0145971,295.6430875,285.1111186,275.2621294,256.1574608,263.2139418,272.0045867,278.2120359,282.8387632,287.8238025,289.7935069,288.1187184,282.631706,273.7741118,265.8972204,258.0818672,5,922.61668,20
0.25048032,0.226434612,0.199889109,0.207907154,0.203116565,0.192872613,0.190873733,0.19359321,0.199778413,0.214938556,0.225135806,0.244873222,1.289498761,0.631281307,1.017777778,2.732489451,4.069583333,6.507542735,3.835,1.534152319,4.210844944,19804,272.502141,282.5934955,293.5797579,305.572446,313.9205748,318.0552875,318.5176078,314.1490718,306.6110714,295.5984535,282.7971635,272.5888963,251.4874472,257.7830617,268.4493261,275.2817681,280.8667688,287.6618258,291.0256266,287.272962,279.3635789,270.3139561,261.4273857,253.224512,5,921.8,37
