Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,forest
0.464367689,0.507948138,0.384565927,0.175621494,0.179102951,0.182641716,0.183609294,0.187593737,0.194432686,0.201564167,0.225082748,0.421422001,4.344020133,3.322877935,3.685493257,7.028024413,7.486731073,6.2770641,3.92743011,3.426667953,5.966732438,24891,259.9502681,268.5024007,289.7076142,303.8533671,310.6819037,316.1909834,316.0328774,313.0643038,304.3467446,292.6560165,279.8295529,265.2251537,249.9805793,255.7172628,268.9400277,277.5463428,282.9957541,288.2981025,290.8194121,288.010456,280.669109,271.9142344,264.4143114,254.2795354,5,314.7326498,5
0.163352485,0.176090055,0.142488278,0.124187581,0.122386598,0.122950553,0.12036702,0.11644727,0.109970304,0.106087136,0.122089043,0.149978963,8.524861715,8.485326328,9.393033577,12.33107134,14.82188892,14.36374768,11.26437401,8.491343818,7.070842657,4280,271.1773307,277.3953056,285.427194,293.291473,298.7765678,303.2173616,304.5893282,300.5025451,293.9376127,286.9228519,278.7580669,271.5191821,258.4031453,261.1691064,266.7151803,272.5880107,277.3405895,282.4299352,285.370773,283.4164147,278.1723952,271.9804022,265.7729475,259.9856993,5,2517.234749,5
0.106021032,0.118821205,0.116542431,0.109821712,0.109152652,0.110026263,0.106632593,0.103119044,0.097874472,0.093451524,0.095557409,0.098498925,8.673946501,8.375611454,9.48412158,13.24224208,15.82547574,14.84446756,11.1889604,8.631172443,7.336082525,4512,270.868443,276.4473436,284.0836568,291.6352665,296.7515274,300.4398794,301.8174225,298.2614253,292.0919268,285.8071747,278.0833387,271.441258,259.1323931,261.6004556,266.9265399,272.5505698,277.4181736,282.3261423,285.3353079,283.5836226,278.2901914,272.5141997,266.3945161,260.8174929,5,2561.007634,5
0.177791963,0.178968693,0.171752128,0.148731727,0.144504739,0.140815192,0.13751346,0.133964213,0.130476364,0.127888355,0.14332736,0.185223211,5.384458158,4.879574598,4.587158323,5.986096334,7.789176708,7.827961543,6.164224394,5.215028752,5.931116775,9591,267.4163692,273.5511869,283.6314463,292.4057665,298.0233221,302.694722,304.8829908,301.0355639,294.4955632,286.0358004,275.2767629,267.2910303,256.6548282,259.2115635,264.9871249,270.8091755,275.4540552,280.7078333,283.7996494,281.9278742,276.558617,269.6950738,263.4301317,257.9824014,5,2635.926569,6
0.271699241,0.243111853,0.191299054,0.188710874,0.179090464,0.169513379,0.163241778,0.153784524,0.165506834,0.188079509,0.205166252,0.208874995,1.026976338,0.662349101,1.00581041,1.934732071,1.9942019,1.939431077,1.730561352,0.993371036,3.722277657,15134,274.7854141,281.9794152,292.8913032,301.5708299,306.5590652,310.4790494,310.4385955,306.9519883,301.8325076,294.5994188,284.3443287,275.6030396,257.8633922,264.2319414,272.5842866,278.7625691,283.3507976,288.1970569,290.5182606,289.0326083,283.9358435,275.596003,267.7370647,260.5989023,5,994.6692607,6
0.14666512,0.147002766,0.138946665,0.128240005,0.125129465,0.123417759,0.120786944,0.119095111,0.115214417,0.116478089,0.128100977,0.136832036,6.824993401,6.454489409,7.072830671,10.12961567,12.99754769,12.72946499,9.965468236,7.601188444,6.879208415,5449,271.7906219,277.6408985,285.1982772,292.4663862,298.1302675,301.2252414,301.990226,298.5518179,292.4604434,286.4631311,278.3585173,272.2514604,256.9778679,258.9662942,264.4989401,269.7323138,274.6637873,279.7425503,282.6574477,280.8892798,275.6954735,269.7371419,263.675903,258.32256,5,2795.127806,11
0.267318556,0.290806781,0.281150724,0.198990099,0.108845381,0.101620065,0.104620897,0.098843064,0.09826324,0.144906083,0.236459852,0.259387325,8.491762858,9.316081458,12.46414879,18.6193776,20.52293647,14.33133986,8.170448685,6.49751309,6.206646299,21045,262.4521558,266.1274413,274.8200937,285.1549991,290.8807986,293.6725483,295.0087,295.1803495,290.1280177,280.3863903,270.2111233,263.6645925,257.499209,258.9536248,265.4882292,271.6852726,275.8182723,279.4535615,281.3917535,280.6817406,276.4385225,270.1545748,263.8173433,259.2650397,5,2510.806931,12
0.673139205,0.686911545,0.488407519,0.209249827,0.192606453,0.188180564,0.188058506,0.187583847,0.191735641,0.20379265,0.359611897,0.626755684,4.160828566,3.556097245,4.325264146,9.277872076,15.14020242,10.64119859,4.699574266,3.93372206,4.584702079,28135,255.7029209,261.407414,279.4695501,298.6492027,305.6019538,309.40928,308.007858,306.1199246,298.7195327,287.952063,273.3485038,258.2192156,247.3573853,250.4139797,264.6929423,274.2808146,280.1942972,286.669053,288.0742172,285.1365484,277.8638418,269.802099,261.217954,250.9314915,5,582.0861027,15
0.260453104,0.215039129,0.208562636,0.202240047,0.194093341,0.187488173,0.1847152,0.182736841,0.185446864,0.20300314,0.212559451,0.254969367,1.051356725,0.669422887,0.914292028,1.400414779,1.412430497,1.530975297,1.483936289,0.999403229,3.651721589,16751,274.4552355,283.5826603,294.6151089,303.2187635,309.7913174,314.7616516,315.2350728,311.479587,304.8852821,296.0771903,285.0788916,274.5935572,255.0888197,262.6134838,271.57692,278.1603308,282.6532575,287.6691125,289.7226447,288.1704545,282.5571907,273.5980766,265.4257572,256.9487992,5,923.560374,20
0.24730754,0.224502115,0.208745276,0.209127064,0.202419108,0.193227927,0.190935783,0.193744949,0.198755534,0.212324521,0.221048695,0.237581091,1.34829566,0.644922948,0.851800473,2.257158323,2.702050172,3.660605135,2.517294606,1.39516842,4.311332988,19804,272.1273695,282.4304945,294.3349289,306.3205456,313.9066716,317.9162894,318.7293647,314.6952446,306.5455832,295.2386387,282.5086013,272.3372415,251.5899356,257.8025404,267.7656995,275.2873931,280.936684,287.599468,290.9516751,287.3052109,279.3886555,270.393212,261.502564,253.3400569,5,923.8903391,37
0.122219337,0.131742843,0.1400074,0.124200917,0.106334344,0.099011718,0.099721554,0.098026948,0.09360807,0.099344945,0.123006431,0.122303621,5.921940909,6.085215063,7.450301623,11.70626188,17.58813136,15.39700902,9.894156363,6.327536425,5.62693555,6417,268.7824002,273.2222991,279.8842772,286.0276671,290.7966017,293.4132205,295.0499238,292.2323767,287.6979697,281.8032722,274.6466865,269.0239057,257.2601604,258.9593588,264.5077079,269.7597614,274.0504263,278.6901163,281.3227025,279.9541534,275.2524627,269.376083,263.6889116,258.6399736,5,2876.074909,37
0.192124755,0.236644509,0.223766182,0.156951924,0.1335628,0.128213422,0.136134505,0.135379373,0.12820562,0.148062046,0.216334224,0.188916807,9.086972139,9.991284455,11.31024272,15.13745943,23.6648214,18.63700866,12.16934499,8.828420415,7.514204006,5439,272.6313585,278.4098945,284.8377369,289.4314301,294.0598327,295.0628776,295.4425237,293.5648367,289.7457303,284.1870045,276.7652131,272.2685573,253.0243859,254.584239,260.0126709,265.6823242,269.8128224,274.5121713,277.4292787,276.0149912,271.3260824,265.2916452,259.5198812,254.4845801,5,3305.702206,59
0.324486473,0.367934619,0.333158855,0.184305332,0.118108039,0.127004236,0.126321629,0.115556608,0.111661673,0.152443418,0.275549698,0.307678562,5.114133422,6.956182637,20.20869961,31.87650489,31.06241587,17.27454442,7.023811276,4.029745972,5.536559026,22543,263.9898475,267.6549007,277.972945,291.1839302,294.6627337,296.8922194,298.5250085,299.1848961,294.3587182,284.6536584,272.161575,265.2181432,259.8818011,261.6844968,268.5528251,275.1541712,279.1282479,283.2720141,285.4850752,284.3882181,279.5039795,272.9228879,266.0561936,261.5343137,6,1892.165982,5
0.336392424,0.244536136,0.20112998,0.193308406,0.190292166,0.18641024,0.182072811,0.180391603,0.176921905,0.183648832,0.229565296,0.314985522,5.558749027,4.468175401,4.124513143,4.696608244,5.839493671,7.217704869,6.495226602,5.435286463,5.880312693,7261,275.4260117,284.1600557,294.9326418,302.678945,309.4579348,312.6843159,312.5119499,308.0920563,301.3859486,294.6941216,284.5742189,275.9775406,251.9689806,256.5599846,262.9955913,269.0716797,273.8813666,279.5998732,283.4571241,281.7306771,275.4044637,267.8550556,260.3795746,253.2356216,6,2058.4,5
0.225322424,0.241505516,0.223923807,0.153918455,0.108109656,0.094592377,0.095598778,0.09446786,0.108259096,0.154247012,0.19463366,0.206813092,5.319566889,4.259785122,5.419214639,12.41838102,15.0586014,11.59143216,4.891591942,4.575556754,6.060933087,22659,259.9359994,264.5102017,272.6278223,281.8523898,288.2319684,293.6061669,294.6879151,293.2149275,286.5324872,275.999655,266.817105,261.1329267,254.4594012,256.2845763,261.9465285,268.5779917,273.1666923,278.8576436,281.3546064,279.345474,273.863834,266.6212634,260.4766919,256.1463364,6,2333.223796,7
0.245746837,0.242260278,0.222722817,0.207700162,0.187886743,0.174877178,0.174783089,0.176393046,0.18317798,0.201922881,0.214636328,0.230981153,0.970296058,0.86764845,1.046825474,0.914352769,0.81215411,0.854825251,1.018020779,0.886307023,2.878090959,10830,278.5810418,286.8435406,298.7991018,307.6949853,314.2603269,318.2215599,317.5128255,314.2013794,307.7055509,299.6854306,288.8772233,279.0274658,256.0518732,262.6961903,271.6495102,277.8537811,282.8310697,287.8684189,289.8599281,288.4975651,283.2255901,274.520696,266.1216996,258.2047547,6,1141.385784,8
0.271485074,0.250897259,0.231140509,0.227679229,0.220959379,0.211958868,0.207989077,0.211392412,0.214854497,0.226633555,0.240543896,0.265662082,,,,,,,,,,19279,274.5517549,284.7291178,297.6950508,308.8995794,317.0679532,323.2835264,324.9437893,320.6479288,311.086762,298.4181741,285.2254779,274.3583469,254.7713103,260.8074743,269.7697517,277.5810732,283.332201,290.1715637,293.5327304,290.1646004,282.1876963,272.9897951,264.0519365,256.0414666,6,958.3333333,9
0.141085401,0.152859609,0.14886594,0.124972887,0.118788179,0.115987624,0.116656214,0.116645034,0.112965235,0.11790002,0.129654756,0.138305252,7.955446567,7.60655333,8.434585009,12.91569138,19.73573195,17.0055976,11.03849379,7.893450805,6.95367545,4741,275.2988261,280.2393306,286.066417,292.5230306,297.241081,298.3684232,299.0335135,296.3312352,291.7091761,287.0743848,280.087437,275.2008462,256.4475826,258.4488942,263.7315968,268.9651917,273.5296681,277.9731946,281.0611438,279.5376024,274.3948944,268.8157193,263.1540972,258.0210142,6,2986.986928,9
