,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x,ele_x,Id
0,1.0683300999999688,1.076546599999972,0.2654074999999807,-0.38432679999999664,0.7958893999999646,-1.6664642000000072,-6.013600800000006,-6.028928800000017,-3.3686753000000067,-1.7894050000000448,0.08608970000000227,-0.31693940000002385,0.9183322000000089,0.739876100000032,0.9096869000000538,0.950772900000004,1.4955552000000125,1.6314202999999452,1.0496746999999687,0.7021682000000169,1.1515904000000319,1.6535792000000242,1.6613767000000053,1.10017670000002,0.339805546,0.13059157899999985,-1.3729579580000002,-1.240098445,7.122113207,9.926300779999998,5.417246204000001,0.6984992620000003,-0.4702241660000004,0.033173063,-0.02595938200000003,-0.13118451999999997,0.02142289,0.02667072099999998,0.017417248999999996,0.011069106999999995,0.007779080999999993,0.0010207839999999968,-0.0028087049999999947,-0.01182472200000001,0.044244417000000036,23.441865399999983,24891
4,0.840820199999996,0.7433144999999968,-0.40846669999996266,0.7769454000000451,1.1224173999999607,-1.192148599999996,-2.6725411000000463,-1.7804989999999634,-0.727784999999983,0.327686999999969,-0.24433010000001332,0.06591330000003381,-0.41789980000004334,-0.20734769999995706,-0.045767099999977745,-0.11009369999999308,-0.1361014999999952,-0.34909779999998136,-0.8234310000000278,-0.9054045999999971,-0.7995061999999962,-0.6879809999999793,0.03649529999995593,-0.030624500000044463,0.004359295999999846,-0.16396164800000002,-0.06948960000000004,2.1780809540000003,4.4364842609999995,4.4964660709999995,3.056276773,0.6321886179999999,-0.34541853599999994,-0.0023919789999999885,-0.015931589999999995,-0.0011011609999999894,-1.2589000000007289e-05,0.016069274999999994,0.013168563000000022,0.014485291999999983,0.022375719999999988,0.013361402000000022,0.007830614999999985,-0.0013621919999999843,-0.0016236300000000148,1.6284491999999773,15134
7,0.22279409999998734,0.12694759999999405,0.9023895000000266,0.6008044000000154,0.4039098000000081,1.0413874999999848,0.9373294000000101,0.23842220000000225,0.2546864000000255,0.17404239999996207,0.3510107999999832,0.41844980000001897,-0.6008898999999985,-0.3965490999999872,-0.18243280000001505,-0.02426220000000967,0.1877615000000219,0.26282579999997324,0.3451903999999786,0.35741670000004433,0.2511871000000383,0.1351763000000119,-0.07420730000001186,-0.31445719999999255,0.10434597199999995,-0.19769336500000012,-1.2933406960000005,-4.153786587999999,-5.316895164,-1.7975468550000002,-0.753061669,0.06147576399999988,0.1455136399999999,0.012391696000000008,0.010508163000000015,0.0025427929999999876,0.009506236000000001,0.013214126999999992,0.014363502,0.009490457000000008,0.009290350000000003,0.010449027,0.011179617000000003,0.00016199899999996825,0.009131581999999971,3.7455998000000363,28135
8,0.921599399999991,-0.30582529999998087,-1.0217824000000064,-0.98704790000005,-0.36092970000004243,-1.1547481000000062,-3.357609700000012,-3.3853831999999784,-1.8706849999999804,-0.4341028000000051,0.03222699999997758,0.6685721999999714,1.0686411000000362,0.6004580000000033,0.4276667000000316,0.0517050999999924,0.18550570000002153,0.15469000000001643,0.07086220000002186,-0.05173610000002782,0.07451530000003004,0.17603520000000117,0.47146319999995967,1.1330679999999802,-0.11530878899999997,-0.08436831699999991,-0.19525291599999994,0.8349214039999997,2.702693249,3.9019711120000005,3.0000491680000003,0.554268654,-0.06445749600000017,0.005459980000000031,0.006007838000000015,-0.002705892999999987,-0.0018370580000000025,0.005334901000000003,0.0023542000000000007,-0.0002443169999999939,0.0014442209999999955,0.003146391999999998,0.0015636029999999967,0.007423437999999977,0.002061011999999973,-0.9436940000000504,16751
9,0.3747715000000085,0.1630010000000084,-0.7551710000000185,-0.7480995999999891,0.013903200000015659,0.13899810000003754,-0.21175690000001168,-0.5461728000000221,0.06548820000000433,0.359814799999981,0.2885622000000012,0.25165479999998297,-0.10248839999999859,-0.0194786999999792,0.6836266000000251,-0.0056249999999522515,-0.06991520000002538,0.062357799999972485,0.07395150000002104,-0.032248900000013236,-0.025076600000033977,-0.07925590000002103,-0.07517830000000458,-0.11554490000000328,-0.05879689900000007,-0.013641641000000093,0.16597730499999996,0.4753311280000001,1.3675331609999999,2.8469376000000004,1.3177053939999999,0.13898389899999986,-0.10048804400000044,0.003172779999999986,0.0019324970000000052,-0.008856166999999998,-0.0012199099999999907,0.0006974570000000124,-0.00035531399999999547,-6.205000000000793e-05,-0.00015173900000001184,0.0010228789999999766,0.0026140350000000145,0.004087111000000004,0.007292131000000007,-2.090339100000051,19804
13,0.04779409999997597,-0.0285082999999986,-0.40773180000002185,-0.93647390000001,-1.420793299999957,-2.8628472999999985,-3.3000736999999845,-1.4896386000000348,-0.7840633000000139,-0.6352527999999893,-0.5997343999999885,-0.30554890000001933,0.1326959999999815,0.14783180000000584,-0.026218299999982264,-0.05146189999999251,-0.04261339999999336,0.3413100000000213,0.011703699999998207,-0.01215049999996154,-0.22712519999998904,0.17682539999998426,0.6278393999999707,0.4383272999999974,-0.10234549800000003,-0.0224325219999999,0.2945579700000005,2.66798411,6.8623000990000005,2.167865426999999,0.1792383150000001,-0.03780694699999998,-0.014020633999999532,0.04732075699999999,0.023586681999999998,0.02008874699999999,0.015605590000000003,0.017647211999999995,0.015277664999999996,0.009283303999999992,0.009530430999999978,0.0076874460000000144,0.00804807099999999,0.021042319000000004,0.028811865999999964,6.504519000000073,7261
15,-0.15995019999996885,-0.09294760000000224,-0.8542494000000147,-0.7946698000000083,-0.9903512999999862,-1.5813670999999658,-2.730402099999992,-2.633839000000023,-1.7651078999999754,-0.9191845999999941,-0.7318417000000181,-0.24752560000001722,0.9035362999999847,1.0360882999999603,0.5324276999999711,0.5326716000000147,0.5373516999999879,0.1866860000000088,0.02257430000003069,-0.005604099999970913,0.09770950000000767,0.19665739999999232,0.40144079999998894,1.2298854000000006,0.08635242099999996,0.13548770499999996,0.5474830230000001,2.015344999,3.7498437190000002,4.264591413,3.123737455,0.8651831420000001,0.19803817999999973,0.010666178000000026,0.006718335999999991,0.003962976000000007,0.009174612999999998,0.012963714000000015,0.012271052000000005,0.0058656679999999906,0.005188599000000016,0.005620826000000023,0.006620101999999989,0.009686961000000022,0.009118863000000005,0.3671569999999065,10830
19,-0.355634699999996,-0.22201610000001892,0.08520280000004732,1.6516464999999698,2.406957700000021,3.0044798999999784,3.0836017999999967,2.5888279000000125,2.2935777000000144,1.4769517999999948,0.29229080000004615,-0.4002305000000206,0.6485853999999733,0.39680210000000216,-0.6667284000000109,-1.3528731999999764,-0.5965261999999711,-0.36605140000000347,-0.055314899999984846,-0.16012399999999616,-0.4508415000000241,-0.6773807000000147,-0.3654382999999939,0.37931199999999876,-0.14395309000000012,-0.5141648170000002,-3.089838995,-9.223438519999998,-9.93721394,-4.449638524999999,-1.2787699249999998,0.2713028780000002,0.42295326800000055,0.08666535399999997,0.09175019200000001,0.09115096300000003,0.031472473,0.021762332999999995,0.018951649000000015,0.014980820000000006,0.020663282000000005,0.02087130299999998,0.015967479000000007,0.04980841800000002,0.07587285099999996,-2.9307800000001407,27514
24,-0.8100280999999541,-1.1988953000000038,-1.2359060999999656,-1.406592699999976,-2.138996500000019,-3.748109999999997,-4.652483700000005,-4.133168899999987,-2.448892199999989,-1.1769926999999711,-0.8973149000000262,-0.5618070999999532,0.6744499999999789,0.656286399999999,0.44977049999999963,0.4522966999999767,0.6215663000000404,0.3780628999999749,0.07363359999999375,0.23056660000003149,0.3815458999999919,0.6399107000000299,0.9552947999999901,0.888112800000016,-0.0321912929999999,0.15514190500000002,0.2895314259999999,0.7992923260000002,1.061497062,1.1213711709999998,0.5186048889999997,0.017560522000000134,-0.009831372000000282,-0.03866320699999998,-0.036720853,-0.03831128500000003,-0.03609853299999999,-0.03275820099999999,-0.036431170999999984,-0.038860428999999974,-0.04001394700000002,-0.038530502999999966,-0.03816761199999999,-0.03904795999999999,-0.035077833,2.3868210000000545,13250
27,-0.4289012999999784,-0.5332932999999684,-0.5212751000000253,-0.5294736999999827,-0.7229878999999642,-1.0912035999999716,-1.1749567999999613,-1.3937021000000414,-0.7388545000000022,-0.5250005999999985,-0.5957760000000007,-0.32581100000001584,-1.0639046999999948,-0.8559941999999978,-0.709034900000006,-0.35532429999994974,-0.233452600000021,-0.1325954000000138,-0.2926466999999775,-0.39146070000003874,-0.48658100000000104,-0.4352562999999918,-0.5702968999999598,-0.8799574999999891,-0.10686715499999977,-0.07566381699999969,-0.9064905159999999,-2.7515271699999992,-2.70077358,1.13035524,0.285133128,-0.020356553000000055,-0.08384239999999998,-0.0014179619999999948,0.00302976899999996,0.015986111999999997,0.015046935000000011,0.008567183000000006,0.0045431900000000025,0.004812079000000025,0.005340302999999991,0.005908324999999992,0.013675657000000008,0.007468522999999949,0.012797426999999972,-9.76961899999992,27234
