Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,unuse
0.615347025,0.626057798,0.330142929,0.156225817,0.162301041,0.163803378,0.17519884,0.171231962,0.179842125,0.176870663,0.263731389,0.569851121,3.808904433,3.432530751,4.56020512,12.11171822,17.91014689,11.07384767,3.838561122,2.919095714,3.836216258,23966,259.283438,265.5313909,287.5542408,305.4547888,311.366827,311.847582,309.5131593,309.0362875,304.837201,292.991955,278.2199876,261.0202668,248.2618802,252.9980558,269.0416423,277.5220197,283.0779134,288.9555261,290.1779902,287.9203313,281.1981801,272.7373856,264.7178963,252.0730091,52,677.5415635,5
0.484694219,0.356928481,0.165088913,0.142371228,0.153565603,0.161992134,0.178906038,0.180276494,0.180028585,0.186809642,0.17183985,0.379538056,2.330787728,1.208352099,1.541842674,10.34570841,17.70842114,14.67268925,7.488795238,2.735015833,4.451421764,18832,268.8959453,278.724882,290.3376271,303.6710529,309.6210475,307.7330453,304.7488484,303.3006338,300.5797308,293.9985396,282.7892571,270.9378657,256.823119,265.0644197,273.4742041,279.1330183,284.3558628,289.0379736,289.7959137,287.8516337,281.9938047,273.9145571,269.2406564,260.6736354,58,906.5622639,5
0.266934772,0.241149843,0.218954132,0.212918235,0.201998774,0.189643828,0.185104401,0.1858778,0.183609632,0.193550288,0.215717533,0.259841189,4.937032641,3.887497906,5.697615296,13.42319684,14.38187596,10.30614065,7.362019948,5.749646129,5.917808306,4059,278.3725246,285.7532168,294.9981915,303.2099489,304.921376,304.2237246,305.9588476,306.169588,301.7235541,295.2047015,285.0387253,277.9966153,258.3257283,262.7423883,268.6514331,274.6055074,280.1529939,284.9851524,287.5068343,285.8750082,280.0240615,272.8101739,267.099668,260.3926143,73,1785.693958,5
0.30094074,0.240213933,0.196783768,0.196325117,0.186084696,0.178417308,0.174517138,0.173219376,0.173519906,0.181993372,0.199086289,0.226048965,1.328211266,3.385147335,5.873415126,6.519891168,8.493941611,9.227267039,6.136914311,2.057161687,2.59309934,5047,276.759413,284.0465268,295.8643412,302.5405924,305.2438809,307.4940746,306.6280786,303.3507409,300.6045972,296.0202799,287.1514638,278.3988938,259.1579129,265.5700996,273.0786991,278.8075124,283.0792537,287.0213554,288.4408112,286.9663008,282.2996154,274.7876434,267.9520028,262.0180836,55,1316.165707,5
0.259032561,0.216636791,0.187075821,0.195195802,0.198062324,0.185336312,0.184962656,0.183668257,0.182253925,0.197423006,0.193177758,0.197023455,1.194906653,0.698391581,1.245028911,7.907998747,13.29483648,12.57252982,7.163733855,2.346591305,3.642072875,14782,275.1451266,281.8082124,292.8842577,303.5146408,307.5225098,305.8519808,303.1721856,301.8224926,299.5272205,294.5829389,283.5461563,275.2163263,258.6292087,265.0899217,272.9934435,279.9720054,285.5699935,289.0735778,289.4814629,287.9558457,282.7914955,275.0784604,269.0077155,261.8797103,62,1049.715461,5
0.216080644,0.194912088,0.180668168,0.175169936,0.164769966,0.157098524,0.150582896,0.147211811,0.146288234,0.156859444,0.177568919,0.185087424,1.705358438,7.589006752,12.43535137,10.35928217,10.75272687,9.268254917,7.01070382,2.696411898,2.280451387,2840,276.8313776,283.2304129,293.8121595,298.2546016,298.9826584,301.5937661,301.7446089,299.3505631,297.7193389,294.0440331,286.1716482,277.1451987,261.6313371,266.3535177,273.9422623,279.7851439,283.2471112,286.904133,288.1197014,287.0336812,282.6019821,275.4576102,269.1089686,264.2196565,54,1409.840127,6
0.254893829,0.235152857,0.204937166,0.188059336,0.184090009,0.191728576,0.187489334,0.197587304,0.183624225,0.18576529,0.21251718,0.237516074,6.913617129,6.173454731,9.171606644,14.5777962,15.72349712,11.11585544,9.169929621,6.816401373,6.167333689,5688,278.3390723,285.6826082,293.1355144,301.4147357,302.7573969,300.9447079,303.3232073,304.5859969,299.5021211,292.7862514,284.0362948,278.5259951,256.2973825,259.494965,265.4721788,271.60256,277.4104679,282.468583,285.240679,283.3790245,277.665456,270.8069079,264.8255959,258.2120218,60,2090.115362,6
0.405956106,0.31204471,0.17575906,0.169151652,0.16562296,0.161015146,0.162177949,0.163119629,0.163109095,0.167024452,0.191627858,0.265943773,3.133236527,6.817527413,11.4101191,9.180442182,10.97270937,15.71517215,8.160444003,2.792322852,3.784508329,8968,272.6564516,280.6199909,294.1118543,299.6659841,302.0198799,306.9922854,307.2671981,302.3718739,298.9770425,294.5633938,284.6032417,275.4018054,260.4801936,266.4307204,274.6938445,280.4245321,284.3164794,288.1379516,289.7223744,288.1089956,283.3183649,276.5733802,270.250828,264.2529745,77,1343.528831,6
0.329093774,0.258411461,0.208004098,0.188092896,0.180811027,0.172198457,0.169912458,0.167676384,0.172840155,0.193982462,0.198667281,0.302680373,2.627943926,2.449948344,4.508523207,12.67805329,17.05231645,11.81708696,6.15465773,3.001265714,3.860564993,11062,274.0227961,282.9463576,292.7615115,302.1954128,306.4196755,306.0933927,306.6678717,305.6703375,301.0508359,294.4321933,283.5825969,274.449728,255.4973109,261.064103,267.9985609,274.9614662,280.2953041,285.589688,287.7594018,285.6122888,279.2371371,271.2524621,265.947443,257.9866282,57,1424.956397,6
0.261634177,0.252508373,0.224143065,0.217504592,0.216942603,0.204823215,0.196423616,0.188993752,0.19061803,0.207045215,0.219714059,0.235361504,2.988995586,1.904199121,2.518317267,7.178234742,11.22240888,9.533557838,5.158924662,3.762240479,5.420588077,7281,277.225726,285.4360176,295.8695053,305.1662237,308.9071841,310.013788,309.1236631,307.1101872,303.4656587,296.0963007,285.57058,277.411978,255.7656463,260.4462171,267.7151863,274.5234338,280.7946355,286.3747493,288.6646988,286.8448643,280.3712628,272.2757893,264.8935214,257.7235392,71,1351.50575,7
