,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x,ele_x,Id
1,-0.06974900000000162,0.015360700000030647,-0.1553146999999626,0.007319999999992888,-0.43063960000000634,-1.1765644999999836,-1.2236459999999738,-0.4728300000000445,-0.10246180000001459,0.03484630000002653,-0.11992129999998724,0.019256099999950038,-0.3397795000000201,-0.2723689000000036,-0.3141480999999544,-0.21300839999997834,-0.11621839999997974,-0.3122194000000036,-0.3682996000000003,-0.17786119999999528,-0.285865699999988,-0.39926309999998466,-0.23230649999999287,-0.26460580000002665,0.08110191300000036,0.08407996900000025,0.9182682,3.27196732,3.5514873100000006,1.4509835229999997,0.39714556500000064,0.0013556440000002112,-0.018031971999999286,-0.014172308000000022,-0.008689379999999997,-0.008230346,-0.009562465999999992,-0.010809024,-0.010572887000000003,-0.011143092999999993,-0.011095520999999997,-0.010012049999999995,-0.008700372000000012,-0.011197573000000016,-0.015089011000000041,-10.604831999999988,4059
2,-1.7004372000000103,-4.143645200000037,-5.052045299999975,-5.826970399999993,-6.747935899999959,-7.741703700000016,-9.013441200000045,-9.305881999999997,-7.307826499999976,-5.134659199999987,-3.8404636999999866,-2.6715500999999904,0.10282919999997375,-0.2328309000000104,-0.7994348000000286,-0.6144859999999994,-0.6789124000000015,-0.7275735000000054,-1.4738579000000414,-1.5610540999999785,-1.287782199999981,-0.8351292000000399,-0.3116524999999797,0.635980600000039,0.04821126600000003,1.5913973350000001,3.0172507420000003,3.580650662,4.478751738000001,4.399767038999999,2.790664311,0.6259116869999999,0.029306237000000124,-0.07692964400000002,-0.05277438200000001,-0.042963212,-0.047027912000000005,-0.04921863000000001,-0.05104129900000001,-0.05271984000000002,-0.054755887,-0.05729978499999999,-0.06214386600000002,-0.055957651000000025,-0.05932715500000002,-10.336743999999953,5047
3,-0.19235159999999496,-0.41974060000001145,-3.1922316000000137,-1.8177221000000259,-3.21727199999998,-6.192287000000022,-6.786418900000001,-6.102665400000035,-3.3876275999999734,-1.0923531000000253,-0.29104819999997744,-0.7307122999999933,0.8961654999999951,0.24022600000000693,-0.26833560000000034,-0.515873699999986,-0.39443389999996725,-1.1956478000000175,-1.9411762000000294,-1.8228958999999918,-1.6086925000000178,-1.1171285000000353,-0.2180399999999736,0.5735783000000083,0.6038810120000001,0.14728047,0.4659380019999999,3.4136036679999995,5.4647082750000004,5.032559232,2.235407832,0.39110110900000006,0.04346176400000035,-0.14117406100000002,-0.193347235,-0.16138678199999998,-0.030814174,0.007349253,0.004439252000000005,0.008069783999999997,0.004854987000000005,-0.0028399509999999795,-0.0004201799999999922,-0.012088261999999989,-0.011558406000000021,3.499176000000034,14782
5,0.8364434000000074,0.9082607999999937,0.628464699999995,0.9308995999999752,-0.6811288999999761,-3.1931246999999985,-2.9492458000000283,-0.3989748999999847,0.34952160000000276,0.24606600000004164,0.046652499999993324,0.6128314999999702,-0.5341522999999597,-0.5828539000000319,-0.6251445999999987,-0.6033686000000102,-0.23352859999999964,-0.28205579999996644,-0.42071379999998726,-0.3822710000000029,-0.353623099999993,-0.5162043000000267,-0.3100549999999771,-0.31610549999999193,-0.14570996799999936,-0.12450404800000037,1.8091084200000003,4.523095379999999,4.289246839999999,0.20027776000000053,-0.0819528130000009,-0.31265396700000014,-0.2346641759999999,-0.004491600999999956,0.0056980719999999985,0.006407750000000018,0.002499661999999986,0.003877207999999993,0.00966434200000002,0.008432039000000002,0.01474308299999999,0.009251907000000004,0.008071266999999993,0.008588981999999995,0.004756192999999992,-39.83899500000007,5688
6,-2.0274124999999685,-2.264545499999997,-4.939885899999979,-7.830439800000022,-9.455363900000009,-10.083788400000003,-10.23091820000002,-11.072943399999986,-8.472635400000001,-4.861318700000027,-3.6812562999999727,-2.0086152000000084,-0.3244768999999792,-0.6548480000000154,-0.589274899999964,-0.7366867999999727,-1.0912374000000113,-1.6666384999999764,-2.159284400000047,-2.0568649999999593,-1.988879499999996,-1.4766908000000285,-0.5445844999999849,0.5478621999999973,0.40300396900000024,4.566618322,8.329522084999999,5.779108849,7.367581165000001,11.92556176,5.2391106700000005,0.49820520499999965,-0.547491671,-0.18386193400000006,-0.21331076000000004,-0.19859263000000002,-0.038088997999999985,-0.03044978499999998,-0.024246659000000004,-0.03426158600000001,-0.03077485200000002,-0.033995371999999996,-0.024029772000000005,-0.057282947,-0.20288199699999998,-28.69151899999997,8968
7,-1.2647170999999844,-2.0167915999999764,-2.441846200000043,-2.493946400000027,-4.429523300000028,-6.7942604000000415,-7.503782400000034,-5.680256399999962,-3.9422400999999923,-2.4248395000000187,-1.7115883000000167,-1.2429692000000045,0.9007229000000052,1.0465259999999716,0.7774773999999525,0.8082906000000207,1.108614799999998,0.3294914000000517,-0.49372600000003786,-0.2403395000000046,0.17889809999996942,0.6419847000000232,1.5315994000000046,1.462138799999991,0.004309691000000004,0.148169067,0.8039408979999996,4.089579332,5.37946629,2.665455434,0.8674355780000003,0.11482085700000022,-0.07927179700000009,-0.004739203999999997,-0.015440350999999963,-0.02878617,-0.020550118999999978,-0.018373817999999986,-0.015330523000000013,-0.011740639000000025,-0.012877515999999978,-0.018396188000000008,-0.020619633,-0.032680316999999987,-0.013443804000000004,12.923787999999831,11062
8,-0.5066295999999966,-1.2804274000000078,-1.8361863999999741,-1.8176895999999942,-3.508461000000011,-5.761704900000041,-6.827832400000034,-4.905892900000026,-2.43320719999997,-1.3076205000000414,-1.1180186999999933,-0.8007899000000407,0.5331972999999834,0.46962120000000596,-0.12159479999996847,-0.31969179999998687,0.18632710000002817,-0.16693379999998115,-0.815815299999997,-0.6326119999999946,-0.3687345000000164,-0.08261370000002444,0.6178310999999894,1.0904615000000035,-0.03202480299999966,0.024540519999999955,0.553771888,2.8757794050000003,4.793994204,3.2603020350000005,0.7426697960000004,-0.0004283680000001233,-0.12536116199999991,-0.006063269999999954,-0.008448438000000003,-0.012913551999999995,-0.013807566999999993,-0.009273112,-0.012698663999999998,-0.015379874000000016,-0.019365926000000006,-0.019293951000000004,-0.01603759199999999,-0.01620054700000001,-0.005781042000000014,-3.7446849999998904,7281
9,-0.7697979000000146,-1.0751369000000182,-2.2506781999999816,-1.7712644999999725,-2.9568889999999897,-3.8973269999999616,-3.5232277999999724,-2.865211899999963,-2.1884885000000054,-1.4525264999999763,-1.5438861000000088,-0.7645166000000359,0.30472550000001775,0.2587316000000328,0.42783250000002226,0.07547490000001744,0.793513100000041,0.7722125000000233,0.15018040000001065,0.04546709999999621,-0.10862630000002582,0.10055950000003122,1.1381754999999885,0.596196300000031,0.03309228100000006,0.08857895199999977,0.7400439859999999,3.7333852939999996,7.506797049999999,4.9453288099999995,0.831714098,-0.010739410000000227,-0.007780233000000081,-0.015954388999999985,-0.014148794999999992,-0.016272229,-0.012113533999999981,-0.018822609000000018,-0.01801794599999998,-0.01122557099999999,-0.011083606999999995,-0.006769999999999998,-0.005926212999999986,-0.016226383999999983,-0.01865676899999999,-2.5508290000000216,7314
10,-1.597777199999996,-2.254513799999984,-3.711080299999992,-3.4607720999999856,-6.120472000000007,-10.528541399999995,-11.686841200000003,-8.889947100000029,-5.24310730000002,-3.1708491999999637,-2.5700846000000297,-1.0342858000000206,0.42830340000000433,0.4936622999999827,0.28269430000000284,0.15678109999998924,0.45049720000002935,-0.36160580000000664,-1.305530200000021,-0.977285199999983,-0.3589435000000094,0.26861189999999624,0.8340273000000025,0.7316255000000069,-0.005718253999999812,-0.1826802489999999,-0.27341261699999997,0.25701181599999945,-0.3746925139999995,-1.6408666650000008,-1.033701427,-0.21455744900000018,0.15517084400000014,-0.033110169999999994,-0.035926173000000006,-0.033372068999999976,-0.03335950500000001,-0.031548965999999984,-0.03322008899999998,-0.03408613399999999,-0.037011461999999995,-0.034097604000000004,-0.032930759000000004,-0.03513849199999999,-0.035770811999999985,4.980094000000008,13606
12,0.8779791000000046,-0.6991578999999888,-2.0454295000000116,-2.6448311999999987,-5.766919500000029,-9.47636,-10.35334979999999,-6.6713272000000075,-3.4432802999999694,-1.4817624000000365,-1.2515257999999676,-0.2809890999999993,-2.052193399999993,-2.2208572999999774,-2.6045681000000513,-2.252543899999978,-1.4037028999999848,-2.269922699999995,-3.3142599000000246,-3.1509090999999785,-2.8720208999999954,-2.879374000000041,-1.5840547999999899,-1.0329310000000191,0.03684530100000005,0.15273116099999995,1.669605533,7.033853836,9.406586226999998,5.005188349999999,1.0673460010000007,0.1027551579999999,0.08692120400000025,-0.026037723000000013,-0.012440571999999983,-0.010945169000000005,-0.01459953,-0.027312784000000007,-0.03497539399999999,-0.037114112000000005,-0.03872627099999998,-0.03310059799999998,-0.022258288999999987,-0.03199980100000002,-0.023687345,-40.10127000000011,6705
