system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,forest,.geo
00000000000000000025,0.20184710529586528,0.20527628644947984,0.18596329197943162,0.16454894439680925,0.16156914035395864,0.15941623243501762,0.15616421497480773,0.152085124230186,0.14523053160829708,0.14920204406360454,0.17811875936675645,0.19119809594323492,6.856551493883303,8.24173808640291,8.656049129570258,8.350370139083468,8.8304581681566,11.745157750589733,15.88843758032667,14.273072962221955,11.062888242859477,8.517742244340827,7.268253094160081,6.4131966037587755,2008,275.3616179314317,281.7002368425213,288.95545453332375,296.25647535830126,301.43822726609545,303.6424478722442,303.8562145535395,300.6688635109684,294.5934440708002,288.6484678825508,281.1621848325537,275.3765578769528,256.0273734723464,258.66096740093917,264.530295225518,269.63410415480973,274.5085443034163,279.9316724678511,283.14786417941224,281.5221347388201,275.94883811037124,269.97185145789365,263.5600580167741,257.70321261392485,12,2579.333764553687,45,"{""type"":""Polygon"",""coordinates"":[[[102.33759991272974,37.56880032723975],[102.37129058327332,37.568800381946794],[102.40498138369684,37.56880033748787],[102.43867209566388,37.56880037200605],[102.4723628505971,37.568800386323986],[102.47236285059708,37.70356334292522],[102.43867209566388,37.703563322283614],[102.40498138369684,37.70356332899528],[102.37129058327332,37.70356330230079],[102.33759991272974,37.70356330405687],[102.33759991272974,37.56880032723975]]]}"
0000000000000000000f,0.564052656119164,0.570069962988785,0.38800635988704396,0.1492640937984086,0.15311882585546824,0.15793742727337834,0.15884246181506137,0.16282777299302717,0.15837683708714972,0.16177357335462447,0.33053967877420415,0.533774226579321,5.754793694547334,5.130722384982639,5.633748973928858,4.838676204895199,7.471443103675572,19.06164798278144,20.75290426403999,8.055261103631238,4.108979841974575,4.130199146482434,5.392996277276912,6.044229298056165,10476,261.8700992277431,267.35687139928234,281.27939922534324,298.56877981449935,302.9699809030278,301.8566923852246,301.6343151805302,302.87124805450105,298.4453199469889,288.41542897929673,273.5742532064606,262.81825517435254,253.82061664297575,256.79648371568095,266.9842681975127,274.3764941797904,278.6526062238613,284.37153116685676,286.1398373002444,284.1329258002406,277.96875251550154,271.43612510621927,263.9777929903892,255.9551692737032,13,1578.763539445629,25,"{""type"":""Polygon"",""coordinates"":[[[88.99636191795751,43.632999427251725],[89.03005157561665,43.63299943565361],[89.06374117865874,43.632999430318954],[89.09743077989779,43.63299941208762],[89.13112043160604,43.63299945494165],[89.13112043160604,43.767762363589455],[89.09743077989779,43.76776235422201],[89.06374117865874,43.7677623764824],[89.03005157561665,43.76776235659014],[88.99636191795751,43.76776236672464],[88.99636191795751,43.632999427251725]]]}"
00000000000000000026,0.24743405351789044,0.23805879066735347,0.19478308911725664,0.1810726960399557,0.17532003100747642,0.17415751288606013,0.17072727927643525,0.16865320537608927,0.16118836348080823,0.16385939648794814,0.19772397061283337,0.2418185589612404,6.60253439270731,7.815506967954435,8.434130291588062,8.037860539584042,9.01216289154625,11.699043868714137,12.853524198193641,12.714355605985414,10.519733634994848,8.198882334397252,6.954978353633514,5.903157115850242,2010,277.15043077840215,283.9839084915805,292.05650067336984,299.4309285704259,303.21581907262146,306.52821237356665,308.5819925062951,305.8442230917016,299.13622347496334,292.3086572956741,283.6015638393511,276.8434192871671,257.48968969461436,261.16997379679185,267.2016959485337,272.7764411905518,277.5284466285586,282.550466764054,285.6112315938736,283.85146502062975,278.39295006672006,271.9934491816702,265.71004954679717,259.2584474195767,13,2243.720781202319,14,"{""type"":""Polygon"",""coordinates"":[[[102.60712131631414,37.56880035600706],[102.6408109339206,37.568800339115924],[102.67450059716191,37.56880035113074],[102.70819017538173,37.56880040098199],[102.74187980091614,37.56880038901431],[102.74187980091614,37.70356335108098],[102.70819017538173,37.70356329621105],[102.67450059716191,37.70356330684545],[102.6408109339206,37.70356332283236],[102.60712131631414,37.70356333521986],[102.60712131631414,37.56880035600706]]]}"
00000000000000000008,0.361718072337906,0.2911431481880244,0.15663391833984663,0.16576603619951918,0.1705864890860011,0.16537535914800103,0.1610686893994885,0.15902681572913357,0.16744947414665007,0.18683602026920912,0.19518000217291384,0.20272882415943433,5.939642659631834,4.346545493910417,0.9501057360907819,0.5869567248466703,1.0877771130608878,4.146936015919057,5.858721683058817,6.672132565451173,5.23977782717493,1.895674380225871,3.8750870870671865,5.728315845056316,7216,272.7609315503791,279.68320375585176,290.58105283324704,301.31137648718664,306.76597047828494,309.286728960684,307.1093696060843,303.78689095496287,300.19394741823254,294.3785810642261,284.16749619108634,275.279453829212,259.1760773199379,265.1689523924304,273.538109814374,279.3542823124795,284.06688118364684,288.5496929016698,290.51176001886654,289.11427976688157,283.6724705188494,275.3185123247081,267.6961421051932,261.574254123774,14,967.9108453384072,14,"{""type"":""Polygon"",""coordinates"":[[[82.66264142036262,40.937802815016965],[82.69633107712134,40.937802843495355],[82.73002063468317,40.93780283890479],[82.76371028306656,40.937802816208496],[82.79739988280154,40.93780284619035],[82.79739988280154,41.0725613289854],[82.76371028306656,41.07256133001129],[82.73002063468317,41.07256127671092],[82.69633107712134,41.07256132793439],[82.66264142036262,41.07256131574451],[82.66264142036262,40.937802815016965]]]}"
00000000000000000002,0.6310191553078511,0.6541338121024274,0.44903019009691325,0.21751928929999856,0.20919504954654564,0.19909493916374907,0.19517538575404259,0.19492745985949925,0.20010435801552282,0.21149516829271617,0.2818231774437798,0.5869958888060288,5.6000000000000005,4.478260869565218,4.552545446778089,2.9502236699731883,2.566393789170901,5.013717735215966,9.310235449060922,8.681960896515722,4.21035296059316,4.427595220412319,5.914297802994991,5.20787868888163,12553,255.5585197442077,261.40695038591525,281.6315154006891,300.5956504211462,307.5357220011255,311.6757213144317,309.632041406351,306.5820949680903,299.22691152601953,287.6572030741518,274.40375551742363,258.8666925194034,245.88401709632487,249.45445904776489,264.95111084071556,275.0760998911453,281.16432799736117,288.04613644592956,289.41616088355005,286.410299311704,278.68647321308424,270.5829680738677,262.3184277253071,251.16278599017232,15,506.1622680412371,17,"{""type"":""Polygon"",""coordinates"":[[[87.51400071327632,47.00200186887072],[87.54769142242954,47.00200187094458],[87.58138217849157,47.00200185554694],[87.6150729305214,47.00200189580835],[87.64876364007652,47.00200191676612],[87.64876363131698,47.13676040105031],[87.61507292901966,47.13676037070408],[87.58138215783724,47.13676034996634],[87.5476914429768,47.1367603414252],[87.51400066657729,47.13676034255368],[87.51400071327632,47.00200186887072]]]}"
0000000000000000001e,0.20579296209408515,0.19476150316509488,0.176922922314312,0.1597701766639233,0.15453765021925936,0.15128824734658883,0.1483201460381308,0.14713243920862368,0.14258367714071277,0.15141367203039777,0.19494218178357509,0.19677921396624834,6.855287279865647,7.593688542145359,7.095996968332124,6.303684225290966,6.534762195170082,9.458836936368147,14.147647367909734,13.16150813090495,9.809769731216216,7.481701996289836,6.9052282201703665,6.245293744834878,1560,277.7709896224354,283.92713783377803,290.04417461933815,296.38770528248807,301.48412779353197,303.83630691616,303.2952480202798,300.13563607912005,295.19472513663317,289.9515741174415,282.93691721783676,277.7019368249672,255.33990711195295,258.12525084185586,263.7670404190376,268.94651194972766,273.58085226593164,278.45746716720254,281.8471339208201,280.03732443335053,275.1055648969664,269.0394510597999,262.7226857496779,256.8713190621853,15,2710.430281865802,105,"{""type"":""Polygon"",""coordinates"":[[[103.14615978264297,37.164520384778314],[103.1798505358258,37.16452041128507],[103.21354126893017,37.16452040492621],[103.24723193984792,37.16452044533354],[103.28092268265246,37.16452043147288],[103.28092268265246,37.29927887927061],[103.24723193984792,37.29927890846442],[103.21354126893017,37.299278930922796],[103.1798505358258,37.29927888717101],[103.14615978264297,37.29927893831225],[103.14615978264297,37.164520384778314]]]}"
00000000000000000019,0.24343562691331203,0.22825296621784877,0.21938304571662742,0.21110335757346957,0.19348641851151946,0.1858303464125596,0.17860235698753973,0.1728031197175107,0.17371008149859188,0.19039481829669128,0.21381059634669103,0.2240502314832585,4.679837891258332,2.8505320781184094,0.9600836210222835,2.581036709493592,4.232906318815321,4.267719410334878,4.580104058573629,5.538132740777407,4.581540622578146,1.78418982423457,2.202852700543127,4.237481654785789,1337,278.8608070745773,286.5195095788357,298.4679699186115,304.33114212320925,306.5944773620077,308.10909619172355,307.56538525194463,304.5073387033743,302.74849671859437,298.4882449293081,289.26496142726154,279.7685968229329,258.9356620431559,264.1811018839027,272.1247185556326,278.37099339308054,282.4090431087729,286.04091421927365,287.27589075190326,286.08822786674176,281.0527302860887,272.8417183407458,266.131171891695,260.80876630082116,16,1368.181243926142,30,"{""type"":""Polygon"",""coordinates"":[[[81.04552168696308,37.02976196680202],[81.07921127624616,37.0297619514433],[81.11290095439574,37.02976194524955],[81.14659050129163,37.02976193522284],[81.18028020170092,37.02976194626964],[81.18028020170092,37.16452043482444],[81.14659050129163,37.16452043449366],[81.11290095439574,37.164520423803054],[81.07921127624616,37.16452045893104],[81.04552168696308,37.164520390673054],[81.04552168696308,37.02976196680202]]]}"
00000000000000000001,0.6772881039050827,0.6969071349099565,0.5383218945366751,0.20749740656089732,0.16797223754216445,0.1689453502415459,0.1676834677419355,0.1749994458313263,0.18415478682463976,0.19599722142352566,0.4617328250766482,0.6642806520517788,,5.56923076923077,5.155246025284785,5.037639556956779,6.952007605207948,20.39532240737462,21.643903807093974,7.729356692226549,3.7335136471518995,4.82818704561513,5.200717046214406,4.5,12394,253.6574806954697,260.6781200717779,277.09275600125216,297.8652084868583,303.43733071499406,303.6231772950542,304.3757530690431,304.81642021959146,298.8409785523674,286.79792119107617,268.53895155964176,254.88355176876937,243.67591239231714,247.52494984567903,262.2527269345238,271.4754570653327,277.3832607237942,283.7985677023693,285.4957232967585,282.6369067199248,275.49487037907267,268.05851443871535,255.62664949919127,246.2981029390117,17,1255.8125,18,"{""type"":""Polygon"",""coordinates"":[[[90.34396025076767,46.59772191994174],[90.37765100498542,46.5977219448812],[90.4113416847967,46.597721938402316],[90.44503246280516,46.59772197346722],[90.4787232058382,46.59772197696983],[90.47872315975667,46.73248044451459],[90.44503247065764,46.73248040630508],[90.41134172149121,46.73248043975812],[90.37765096663489,46.732480470877185],[90.34396026086965,46.73248042572881],[90.34396025076767,46.59772191994174]]]}"
00000000000000000005,0.6545472516218922,0.6644932357608834,0.4428326965960242,0.21191043782855024,0.19859062866043015,0.19342602273020165,0.18898566217053567,0.1878302478090606,0.19501444961358433,0.2096266935189179,0.3211784844087179,0.601093650252408,,2.9000000000000004,4.217684538017163,3.27354858714029,3.1839123377271568,7.590403615308919,14.802777175472025,12.244532846340348,4.4240881062448585,3.9930341310949604,4.939482078595866,6.275690115761353,12639,256.55588925833797,262.10192347929944,281.2629667120753,299.42140986215367,306.3058784492887,309.81868268872654,307.6248398954495,305.4758011527762,299.15004265307863,287.9279421170441,274.33343441072776,259.2223670199633,246.95720341168038,250.45769745207764,265.2512440537324,275.2597657902257,281.00415864656895,287.5448247661463,288.78074044014767,285.83770041066975,278.670576846539,270.63782454946414,262.1606195362862,251.48032981224856,17,547.3668744434551,21,"{""type"":""Polygon"",""coordinates"":[[[88.05304354577025,47.27152334047814],[88.08673318683485,47.271523302591774],[88.12042283233876,47.27152330632914],[88.15411243646868,47.27152335096861],[88.1878020383826,47.2715233626046],[88.18780206451046,47.4062818356508],[88.154112445174,47.406281856947984],[88.12042281016544,47.406281799693616],[88.08673319540083,47.40628181399851],[88.05304357044449,47.40628182457287],[88.05304354577025,47.27152334047814]]]}"
00000000000000000007,0.6322760124906189,0.6499692636037876,0.4090066579592607,0.2123060026339459,0.1963495003594361,0.1908496013826287,0.17969101025489712,0.17712889754734376,0.1808269927117976,0.19904348129529248,0.4037469747799075,0.6039659603028878,5.617721979621544,5.367683775271044,4.851786911794097,3.6246857388362326,3.1765312492463105,6.14663506680273,17.290585553005208,16.729406093347816,4.545894328814933,4.2481593233113735,5.0898710312219695,,12808,257.82079501836586,263.90865918765303,280.5809105840948,298.52576611926276,307.1483249902611,310.9499769537667,305.5354309109061,302.68348435022597,297.9427619898732,286.7002255398517,272.4780323507879,260.9126745084383,251.61813665616822,254.35577145569962,265.3514993201471,274.4943379732135,280.3094771377375,287.1402401588884,288.42111213593677,285.16202799305114,278.76151159716125,271.63285302018824,263.52167799493463,255.53048768428383,17,506.0731752846743,28,"{""type"":""Polygon"",""coordinates"":[[[86.16640238486922,47.945320234772836],[86.20009196602633,47.945320228847166],[86.233781581063,47.945320262231895],[86.26747120324197,47.94532025844613],[86.30116088093943,47.945320219078326],[86.30116086126415,48.08008319727624],[86.2674712228907,48.080083176094575],[86.23378165101215,48.08008322513064],[86.20009203051019,48.08008318898845],[86.16640237758729,48.08008321974874],[86.16640238486922,47.945320234772836]]]}"
