system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,grass,.geo
0000000000000000007f,0.6822013531917613,0.6812008978720363,0.4681231819904422,0.166969137053925,0.16058151657102762,0.16763939630065333,0.17342005599052934,0.18337801981196197,0.18157444338680137,0.1918512223212955,0.44183773028015944,0.6617172265690823,3.8607563932847087,5.1143930280233825,9.120557256160911,9.011204285957223,9.498064530481239,19.568347246388555,18.951043065994117,10.007227705683166,5.073655834021172,5.675791044696056,5.718654665684174,4.618459708092109,12348,262.3843421764744,267.0249187092023,281.59148251692693,300.11890521368065,304.4617352119623,306.6856539342342,306.84614902585304,307.3038435239042,301.19277737750747,289.6086610186258,273.5301199871691,264.0927271690667,255.1877535686344,257.7859361307073,268.0142974424145,275.2323020095287,280.63128864472037,286.3586159055319,288.24957893692874,286.2451773285942,279.4670436814798,272.08741972883786,263.67301301404643,257.28547227297895,81,868.0605435981017,77,"{""type"":""Polygon"",""coordinates"":[[[84.14500265340118,46.59772191398498],[84.17869226281852,46.59772195860418],[84.21238192091539,46.59772196893707],[84.24607159358631,46.597721943294964],[84.2797611472433,46.59772194885541],[84.27976120820747,46.73248046930563],[84.24607154370949,46.73248045615832],[84.21238194636474,46.73248043925802],[84.17869227948235,46.73248041164355],[84.14500264689825,46.7324804525129],[84.14500265340118,46.59772191398498]]]}"
00000000000000000022,0.631811249875014,0.6460534163400259,0.35826434075520447,0.18269909505165605,0.19244306704846298,0.1887373431364754,0.19196620550912266,0.18881048910427434,0.1858742813174901,0.18781266262984178,0.29623694229124115,0.6104694463781144,,4.750240961228137,4.015824119298048,2.6605415180427188,2.141277206367493,8.43569886194369,16.8317731302421,16.43987973633586,7.705567266565337,3.432556888408076,5.573611594052577,6.671539069557368,11122,257.0502006811936,264.6584698233236,286.3800896240327,304.54576021854143,310.7845866613285,311.681950940443,307.62959860383734,305.9550185938418,301.42356334096786,291.4647852552908,277.5861950455232,259.91437831026633,246.3760414492999,251.90999418327914,268.75903237745786,278.579739122432,284.42479236543477,289.93829897974973,290.2389347752329,287.44005359931293,280.7682267712125,272.9153466319126,265.14822858595926,251.49636441676958,73,403.17565403096626,12,"{""type"":""Polygon"",""coordinates"":[[[85.22308399040064,44.441559318826236],[85.25677365656085,44.441559327302926],[85.29046326512781,44.44155930726558],[85.32415290606099,44.44155933617999],[85.35784251124284,44.44155926940567],[85.35784251124284,44.57632227839351],[85.32415290606099,44.576322247255376],[85.29046326512781,44.57632223457707],[85.25677365656085,44.57632224128354],[85.22308399040064,44.57632226176265],[85.22308399040064,44.441559318826236]]]}"
000000000000000001b1,0.6071896482566713,0.6208924422377946,0.3261202053312252,0.15265211142596424,0.15929519994511493,0.16178442646455285,0.17300066048364918,0.16929176336013635,0.177373208924695,0.17538937575704744,0.25827575960608734,0.5577337567515077,4.709465381244522,3.830597688696282,4.00936432567363,3.5635186907371277,4.415034395831017,12.625404037687677,19.801110646527768,12.064588447547374,4.184634392441615,3.0361789253346236,3.9093570554801866,4.619929531192322,10815,259.0553957428437,265.37460736174455,287.3261437017948,305.41049163976015,311.7194342250307,311.9627783376785,308.9461538305634,308.52536778990265,304.58972551754886,292.9314686362829,278.17257649583024,261.0084497696616,248.09302201450254,252.8629982249099,268.99837693861724,277.36542203178067,282.9193103809901,288.68461487897133,289.8801370460297,287.57278007125393,280.877544390976,272.5194027918355,264.56155494156485,252.04282931985827,116,656.4345642233617,12,"{""type"":""Polygon"",""coordinates"":[[[88.86160342300883,44.03727935371083],[88.89529303198883,44.037279355449286],[88.9289826633739,44.03727940026734],[88.96267229838855,44.03727934317853],[88.99636191795751,44.037279329654986],[88.99636191795751,44.17204232376772],[88.96267229838855,44.172042321101735],[88.9289826633739,44.172042332648495],[88.89529303198883,44.17204228575284],[88.86160342300883,44.17204232499316],[88.86160342300883,44.03727935371083]]]}"
000000000000000001e3,0.34692890522882397,0.2639137916927173,0.1858719406671392,0.19005055074955274,0.18079689630291226,0.1762774813279591,0.16938643109683632,0.17088973324126414,0.17047833567516987,0.17918793720876383,0.19201171877145695,0.23398249441906588,5.546703039228182,4.312934856372878,1.6841551961513377,3.1974620380919987,5.930333349629536,5.1844288674004595,7.24055764161196,10.984537562347787,7.328092085732185,2.27249240307897,3.17103132409462,4.8938791422119845,4343,275.406384272461,282.89771147159826,294.676550411165,303.0329329600995,307.084929628476,310.880069805369,308.9275482672924,304.7086735871734,300.8787212470338,295.969938207548,285.85470849665325,276.5492742497159,259.52063709228275,265.5814784289326,273.288992190764,279.80607330435316,284.40873787095387,288.67642088177786,289.9877412854698,288.3519766414071,283.24823755866083,275.77362937518154,268.7770086533844,262.74171821578454,118,1226.0376018588208,12,"{""type"":""Polygon"",""coordinates"":[[[76.4636838726751,39.32068309858594],[76.49737346507794,39.32068306184053],[76.53106312656782,39.320683056131465],[76.56475272732773,39.32068307190917],[76.59844231393718,39.320683042591064],[76.59844231393718,39.45544157193111],[76.56475272732773,39.455441593415024],[76.53106312656782,39.4554415375133],[76.49737346507796,39.45544154823402],[76.4636838726751,39.455441557541114],[76.4636838726751,39.32068309858594]]]}"
00000000000000000229,0.3167231149855208,0.21399660605025883,0.16079809370705672,0.17918239239477918,0.1870628184143289,0.17548529316634515,0.17364285537149912,0.17201522157441557,0.17151571409678873,0.1815082946434561,0.18249720489495055,0.189982720479582,5.69371256987784,3.9132215603785525,0.9077050198383415,0.584722502038522,1.1069664163094899,6.242662564987768,10.444459559331106,9.998400426545725,6.4734238557837855,2.03133891897796,3.3696669992285706,5.55826865917894,6545,275.1527092472416,280.2858724540559,290.63203726906784,302.11367647872726,307.4931136353812,306.20093604826013,304.12049530539133,302.5973209294225,299.6704233689943,293.9680322091393,283.6396483953433,275.5202913304162,258.8745797231381,265.62740756238895,273.33772969149817,279.2100757968836,284.7721484795415,289.00456954938625,289.6061395042685,288.1698128754016,283.11649943409776,275.4341143181902,269.2048952616147,262.3696277117545,120,1032.4066531333901,12,"{""type"":""Polygon"",""coordinates"":[[[80.64124171840284,40.53352286070398],[80.67493138576255,40.533522875810256],[80.70862099574039,40.53352290278219],[80.74231058240797,40.53352287126544],[80.77600026420122,40.533522871513775],[80.77600026420122,40.66828139154216],[80.74231058240797,40.668281382239186],[80.70862099574039,40.668281373761495],[80.67493138576255,40.66828135279586],[80.64124171840284,40.66828138950705],[80.64124171840284,40.53352286070398]]]}"
0000000000000000019b,0.6679771741354682,0.6731648262862349,0.3872297678961419,0.17106690578058562,0.1777761614185702,0.17575023995445585,0.18391813253896272,0.18352792927086123,0.18947689244730256,0.19254608881918886,0.3342706699317041,0.616233888150334,4.5,4.305122209476749,3.088869343518636,2.702083614915623,5.390800602113434,16.094186167263366,15.562741286529693,9.447159158692552,3.6217941463337393,2.6711348177242202,3.4768940480407626,4.453721457882877,10708,259.5769093693824,265.5245506747427,284.7225122118065,304.3956755535656,307.69568451125474,308.01697994028365,307.23380194485185,307.9084968910607,303.6789763809964,291.99600572178633,276.989227196591,261.3896533867047,247.58502083104332,251.53251731118212,267.61471244810167,276.2003812022817,281.6330149765988,287.17163659169586,288.55434575506024,286.47337569112153,279.7865153410174,271.68504255279254,263.6127978287055,251.36081348068748,142,866.7159692616825,12,"{""type"":""Polygon"",""coordinates"":[[[89.67016329013431,43.90252086459428],[89.70385291056806,43.90252084110966],[89.7375425829869,43.902520896706044],[89.77123220821466,43.90252088560337],[89.80492183002691,43.90252088083794],[89.80492183002691,44.037279330656816],[89.77123220821466,44.037279369355964],[89.7375425829869,44.037279385136856],[89.70385291056806,44.0372793777866],[89.67016329013431,44.03727934743879],[89.67016329013431,43.90252086459428]]]}"
000000000000000001c7,0.6069767106250431,0.6119585205154408,0.33085526706594615,0.16724174367412273,0.18282243023080444,0.17515882868911808,0.18044820751035878,0.1761603270653899,0.18057422511696292,0.17859537175220108,0.29283182902796134,0.579296248659141,5.675000000000001,5.86448448613168,4.860431425561356,3.7978817791677355,3.668466000294111,13.661188518015074,26.10361010296234,19.1351050266319,7.131012755209649,3.7395515584019727,5.218090978795754,5.192307692307687,10909,258.58958212220165,265.7189607774714,286.7685924057479,304.2548350382434,310.14780409347185,310.2453842516224,305.98077598475516,305.1181303434467,301.6883072784916,291.2570455683762,277.2954978467462,261.0035493583792,247.58101615956306,252.76988811540699,269.2145565338003,278.0735179209802,284.01199543229325,289.4148423696934,289.94563879827535,287.3745464453268,280.85039905689,273.10695250113173,265.48374548245727,251.66625243041,144,503.8505567440073,12,"{""type"":""Polygon"",""coordinates"":[[[86.43592384429256,44.172042342083756],[86.46961345690224,44.17204231842637],[86.50330302980161,44.17204231339833],[86.53699271971848,44.17204233316979],[86.57068229769287,44.172042299825314],[86.57068229769287,44.30680081555228],[86.53699271971848,44.306800817002944],[86.50330302980161,44.30680080826375],[86.46961345690224,44.30680079491724],[86.43592384429256,44.306800842920275],[86.43592384429256,44.172042342083756]]]}"
000000000000000002b0,0.26062370509086663,0.24225464021210463,0.20586677107168894,0.1909901453159467,0.19354776141070895,0.18676866282086346,0.18258213683076255,0.18325287787575786,0.18712140922239762,0.2008371645957847,0.20854886764808625,0.22731292700774092,5.6179883818280185,3.2983337594367264,0.6245813348949631,0.5351348267462618,0.9586052213909768,2.7500948080698078,4.594393467538037,4.899350494905538,4.326835452633314,1.4415729779030604,2.6732842993355828,5.1398075078783405,2756,276.83697960369864,284.67154187455935,294.75471080442264,301.21943434821725,307.952799518599,309.2735607503001,307.6738183782869,305.8501061973556,302.63307602885067,295.99531989011246,284.94079267084555,277.01284098235897,257.97040023274144,263.4615527362787,272.11907929041587,278.3536825367053,282.3980809003875,287.12205558882283,288.8584843269976,286.7678514593459,281.6561671456735,273.65602474287886,267.5083416514649,260.6344823616339,70,1195.616355049492,13,"{""type"":""Polygon"",""coordinates"":[[[85.492601018965,38.24260171652478],[85.52629169969042,38.24260173757513],[85.55998248187466,38.242601755443225],[85.59367321757398,38.242601766251475],[85.62736391585446,38.24260177211594],[85.62736391585446,38.37736023964357],[85.59367321757398,38.37736022497205],[85.55998248187466,38.37736025511313],[85.52629169969042,38.37736024776612],[85.492601018965,38.37736020681628],[85.492601018965,38.24260171652478]]]}"
00000000000000000199,0.649327606224212,0.6593921735839011,0.35772707792205743,0.15924868238736198,0.16659442250336695,0.16699505146915075,0.17830187321582533,0.17801088934384282,0.19080184002631126,0.19309655316770574,0.312911694030008,0.5977984713300601,3.885769980506823,3.300715475767972,2.803676677250863,2.3541340718749035,4.429020961056861,16.089399608137487,20.389270844178494,12.602689441777944,3.994365933983897,2.3859287944150775,3.364813287871086,4.109897353538225,10705,259.63736737605893,265.6418239822044,286.07532492966203,305.6381990683858,310.0825107056507,309.1269013497931,306.85019503979026,306.8268984375377,303.5226881956078,292.51798499616757,277.8701127304704,261.69103875170754,248.33240812046355,252.5646823171068,268.4100797327662,277.00025518497984,282.4409894085062,288.1613730256496,289.3302726799927,287.1363048957841,280.3496878172435,272.1580853060167,264.15493636090986,251.93143331683768,155,798.778084061852,13,"{""type"":""Polygon"",""coordinates"":[[[89.26588339666274,43.9025208830557],[89.29957297692742,43.90252087323255],[89.3332626221741,43.902520867588905],[89.36695223695806,43.90252086581049],[89.40064187026573,43.902520868436795],[89.40064187026573,44.037279393473035],[89.36695223695806,44.037279364402934],[89.3332626221741,44.03727938310179],[89.29957297692742,44.03727937641189],[89.26588339666274,44.03727934464805],[89.26588339666274,43.9025208830557]]]}"
0000000000000000007b,0.7260556123559366,0.7149070813685935,0.42099079406343654,0.1783804550481281,0.18233282197600353,0.17688876578438115,0.18059388453791153,0.1857944654214513,0.19741051195545956,0.20596621527056055,0.35142891835361156,0.6709307859917201,5.387917425622343,6.2802805311326475,5.523345910479551,4.8280987230072725,6.040210643321267,15.821465542493602,19.214548577650387,12.371013263561911,4.573344838813672,4.106312518973501,5.332143256278975,5.97153085895605,12341,261.59890258174806,266.52624832887597,283.21208686160384,301.38205080738146,306.46496124367394,308.29647063627016,307.3021543183241,307.7694861208699,301.1110761391648,290.73179711640336,276.24921225354643,263.7535047040343,251.95910792028639,255.58763372195554,268.34504188552694,276.09491126508897,282.0370168039126,287.5671906569572,289.17832077614247,287.03007243796685,280.1480888066252,272.2385259233066,264.08407555989464,254.9293387152509,171,574.9831249572999,13,"{""type"":""Polygon"",""coordinates"":[[[83.20167986261951,46.5977219194571],[83.23537060448679,46.597721911559056],[83.26906134776057,46.597721938161044],[83.3027520784028,46.59772192462446],[83.33644283403078,46.597721947121165],[83.3364428485949,46.732480426777414],[83.30275209743527,46.732480417740035],[83.2690613595246,46.732480473804465],[83.23537061390682,46.73248044548656],[83.20167987442697,46.73248040761254],[83.20167986261951,46.5977219194571]]]}"
