system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,grass,.geo
0000000000000000007f,0.5957862624643914,0.6146359305275286,0.488519018378202,0.20874421858672965,0.1410828051033396,0.14355406739003385,0.14574393962617815,0.1468008771587303,0.14896745132200812,0.2003827465037455,0.45935634190241037,0.5835800403052669,4.740790793088947,5.485425190099367,8.761446783482892,9.243622949586703,11.00443490587326,13.724965300529197,11.691095596009703,7.155171491236998,5.019109915896736,5.6333147483599975,5.562247841862846,4.292748509876246,12348,261.15352579336695,265.1097920185575,277.60874389699353,294.5179941312194,300.94948810326616,307.22506018470415,309.7473320202886,308.6238028482713,299.7282655660377,285.7078558238206,270.1325548509308,262.42619066248807,256.3053856868159,258.29728982933625,267.1146179926852,274.580999560491,279.686421451648,285.3633729063381,287.4672002209473,285.37287276252266,278.70592570250625,271.6783199265026,263.61089310699674,258.1579861599116,81,1211.186155189236,77,"{""type"":""Polygon"",""coordinates"":[[[84.14500265340118,46.59772191398498],[84.17869226281852,46.59772195860418],[84.21238192091539,46.59772196893707],[84.24607159358631,46.597721943294964],[84.2797611472433,46.59772194885541],[84.27976120820747,46.73248046930563],[84.24607154370949,46.73248045615832],[84.21238194636474,46.73248043925802],[84.17869227948235,46.73248041164355],[84.14500264689825,46.7324804525129],[84.14500265340118,46.59772191398498]]]}"
00000000000000000022,0.6359048767445651,0.6525247195933354,0.36962306570362546,0.1837324544265397,0.19319542011434115,0.19160036411786113,0.1948608293013315,0.19330763027129982,0.1950776228612494,0.19817677652927085,0.30781254924993817,0.6043410832893212,,4.365404699738903,3.9707003726500476,2.57414839606082,1.8806074960863304,6.3099447011239675,11.866066107099309,12.468801223532859,6.007478407633831,3.2165987634720437,5.611745115132928,6.2125,11122,257.0694911451894,264.683365593326,286.37485814297736,304.18388552136344,310.44525822953585,312.3555106304491,309.26190288255606,307.118800035904,301.8906410170642,291.37222973858735,277.4904466209482,259.9996167756174,246.3953906478942,251.98930029126603,268.612694726173,278.3299304402367,283.9974483871804,289.52873556418115,290.0793183885023,287.3596022577124,280.5576468556675,272.7241970474203,264.92533323908793,251.38727831045946,73,410.6989367655288,12,"{""type"":""Polygon"",""coordinates"":[[[85.22308399040064,44.441559318826236],[85.25677365656085,44.441559327302926],[85.29046326512781,44.44155930726558],[85.32415290606099,44.44155933617999],[85.35784251124284,44.44155926940567],[85.35784251124284,44.57632227839351],[85.32415290606099,44.576322247255376],[85.29046326512781,44.57632223457707],[85.25677365656085,44.57632224128354],[85.22308399040064,44.57632226176265],[85.22308399040064,44.441559318826236]]]}"
000000000000000001b1,0.6258354802572413,0.6439486054048678,0.34211958343623655,0.16673174757085857,0.17414693414286997,0.17466395928315676,0.17883686699815737,0.1767206404697353,0.17992062282062285,0.18153764953889603,0.2709572188919635,0.5724311450789378,,4.093557582668186,4.012882563497997,3.548846339536482,3.874446721990411,7.355325794761045,9.341629018403607,6.564997699838256,3.277419996629467,3.0640543628336494,4.045397578353535,4.797706198145438,10815,258.42009225694375,264.8304585945225,286.4815341973655,304.5584337052319,311.0298920199896,313.8108916996265,312.74357089264953,310.9432517623838,305.17879958254963,293.0479720941678,277.7078823214533,260.77936020053045,247.44040027489564,252.17211749187496,268.67159454790664,276.8478668216503,281.9857878559917,287.84907594045967,289.51048456927145,286.97761045499647,280.1867185288238,271.8387485993061,263.9193445854411,251.47871530784704,116,619.0900900900901,12,"{""type"":""Polygon"",""coordinates"":[[[88.86160342300883,44.03727935371083],[88.89529303198883,44.037279355449286],[88.9289826633739,44.03727940026734],[88.96267229838855,44.03727934317853],[88.99636191795751,44.037279329654986],[88.99636191795751,44.17204232376772],[88.96267229838855,44.172042321101735],[88.9289826633739,44.172042332648495],[88.89529303198883,44.17204228575284],[88.86160342300883,44.17204232499316],[88.86160342300883,44.03727935371083]]]}"
000000000000000001e3,0.41211259592702587,0.33101244108989647,0.22552485927785396,0.2152278820858382,0.19730386286885837,0.1833084541665325,0.17623590186895788,0.17618511726851036,0.1818946081042313,0.2044248143073288,0.2193840823784079,0.26335170911761324,5.557251461988304,4.181876456876457,1.5331924494559594,2.372686269407581,4.598605454769839,4.1504551004551,5.924778481012659,9.12793776371308,6.355,2.036677115987461,3.018981481481482,4.79547619047619,4343,277.54702031212383,285.72738704187634,298.34507572659436,307.33411262926256,313.3216004044265,317.8065204949878,316.63660468571464,312.83906331347686,306.7312320440507,299.49898669209733,288.81609607981983,279.19724700528656,258.3251774946926,264.9288903964393,272.59659656557085,278.92330181665517,283.7525542694887,288.6639753525243,290.5171195962062,288.94328808554747,283.64038160221514,275.41481673095205,267.3599621752252,260.72392518517347,118,1219.5914423740508,12,"{""type"":""Polygon"",""coordinates"":[[[76.4636838726751,39.32068309858594],[76.49737346507794,39.32068306184053],[76.53106312656782,39.320683056131465],[76.56475272732773,39.32068307190917],[76.59844231393718,39.320683042591064],[76.59844231393718,39.45544157193111],[76.56475272732773,39.455441593415024],[76.53106312656782,39.4554415375133],[76.49737346507796,39.45544154823402],[76.4636838726751,39.455441557541114],[76.4636838726751,39.32068309858594]]]}"
00000000000000000229,0.34077193289343594,0.30399936934135713,0.1784156988841558,0.17077427025481004,0.16058917170346595,0.15014055625299635,0.14818039822611706,0.14775129219502722,0.14933190127725568,0.1605564955782216,0.1797052179650832,0.20116791120484673,5.841202075752915,3.8319014877941386,0.8719111410603225,0.5469345152239474,0.8771759456079792,2.4209290162045636,3.6267547096192123,3.8501839105907067,3.0382417542104587,1.3132657903211602,3.707389953937272,5.769303512367672,6545,272.90592064864643,278.1942056409512,288.40233103789575,298.5148628264983,304.31621642186053,306.5576505816672,306.43077014857914,304.12849657264195,299.0335996886766,292.41746675835907,283.05250428870744,274.7613889396063,259.29400486738155,265.1120789071251,273.85486812906265,279.8561836816853,284.84502036678344,289.35677832617984,290.7726618861852,289.55523663003555,285.025975965516,277.39947202087865,269.5638098841375,262.3108278357812,120,1034.4391259105093,12,"{""type"":""Polygon"",""coordinates"":[[[80.64124171840284,40.53352286070398],[80.67493138576255,40.533522875810256],[80.70862099574039,40.53352290278219],[80.74231058240797,40.53352287126544],[80.77600026420122,40.533522871513775],[80.77600026420122,40.66828139154216],[80.74231058240797,40.668281382239186],[80.70862099574039,40.668281373761495],[80.67493138576255,40.66828135279586],[80.64124171840284,40.66828138950705],[80.64124171840284,40.53352286070398]]]}"
0000000000000000019b,0.6911019534270663,0.6948192082930429,0.3950555566020317,0.18878856704590133,0.19628467320591902,0.1952993965472316,0.19976219753550117,0.19957527554449303,0.2010008633129323,0.20096774072677026,0.3446381262659104,0.6421797994318904,,2.291025641025641,2.921236782060285,2.630993999627551,4.4388342414299915,7.9028357787603465,5.745140090340331,3.8359679873814523,2.291437980813745,2.5124433263456987,3.5354193542186465,4.684479756203745,10708,259.2108210173288,265.1073982234743,285.66152919053013,304.82654256615916,309.1196370234672,311.7477683340979,312.498986677116,311.8736419893683,305.80398123246994,293.1239177361466,277.48236403393554,261.2803031221136,247.4833487720405,251.49960263875334,267.72011533300065,275.94055173029824,281.11659028694135,286.71505767158374,288.39806944942575,286.17312598148976,279.4029603868605,271.3878945446632,263.5409400284852,251.28330319944115,142,805.4257053291535,12,"{""type"":""Polygon"",""coordinates"":[[[89.67016329013431,43.90252086459428],[89.70385291056806,43.90252084110966],[89.7375425829869,43.902520896706044],[89.77123220821466,43.90252088560337],[89.80492183002691,43.90252088083794],[89.80492183002691,44.037279330656816],[89.77123220821466,44.037279369355964],[89.7375425829869,44.037279385136856],[89.70385291056806,44.0372793777866],[89.67016329013431,44.03727934743879],[89.67016329013431,43.90252086459428]]]}"
000000000000000001c7,0.6281626213001091,0.6333255598314302,0.3408153265633775,0.18183614294020106,0.19356624437569708,0.1878858706925903,0.18776386091927044,0.18533780898384847,0.1891699282036318,0.190663133292887,0.30496507647455257,0.593249138980312,,6.164247414783609,4.1629405522138025,3.1404693444718936,2.5491036229266744,5.435880069975839,9.315454411187797,8.231184080664645,4.340609970848373,3.3184321694496184,5.265936949457025,6.560047095761381,10909,258.16001505076287,265.40920418116826,286.69732466002023,303.74531662685723,310.54795116571637,314.39692609649194,312.4822955075356,310.3609189682595,303.9171811758196,292.1704799971268,277.29732813639157,260.624026858357,247.0910206591781,252.2859812553311,269.03266372169276,277.72801375263526,283.20658805882357,288.95360281456016,290.17308625771716,287.3932669392622,280.46532998764627,272.38427924202193,264.7913941381267,251.30222949243617,144,472.44580620451933,12,"{""type"":""Polygon"",""coordinates"":[[[86.43592384429256,44.172042342083756],[86.46961345690224,44.17204231842637],[86.50330302980161,44.17204231339833],[86.53699271971848,44.17204233316979],[86.57068229769287,44.172042299825314],[86.57068229769287,44.30680081555228],[86.53699271971848,44.306800817002944],[86.50330302980161,44.30680080826375],[86.46961345690224,44.30680079491724],[86.43592384429256,44.306800842920275],[86.43592384429256,44.172042342083756]]]}"
000000000000000002b0,0.27587839452086477,0.2466137084824501,0.2184236993271227,0.20469085832323983,0.19338161926747444,0.18206008981703695,0.1797040228358662,0.18580105886709677,0.1934028567280119,0.2078512215751818,0.21729022813134985,0.23356344130644527,5.677177638453501,3.487574756784434,0.6664307862679957,0.5560219298245614,1.0403398354876618,2.1265238558909445,2.679397935397936,2.872285260969472,2.8755047062642007,1.1763953581432574,2.6511149669044407,5.3162162833801005,2756,277.27702638231096,285.426725895172,296.88015598219346,303.6805980733352,309.47453200496875,312.22045277970335,312.5638390749825,310.46909638531923,305.94813539484124,298.1786243079207,286.9842426569575,278.1645022747915,258.05500837596225,263.6780975286464,272.34908823027706,278.7439208344349,282.99086784280524,287.6828042818596,290.12170272593204,288.0021888327095,282.63158513398776,274.2087386725486,267.3093991583505,260.361820774052,70,1186.5857562887945,13,"{""type"":""Polygon"",""coordinates"":[[[85.492601018965,38.24260171652478],[85.52629169969042,38.24260173757513],[85.55998248187466,38.242601755443225],[85.59367321757398,38.242601766251475],[85.62736391585446,38.24260177211594],[85.62736391585446,38.37736023964357],[85.59367321757398,38.37736022497205],[85.55998248187466,38.37736025511313],[85.52629169969042,38.37736024776612],[85.492601018965,38.37736020681628],[85.492601018965,38.24260171652478]]]}"
00000000000000000199,0.6773113474755298,0.6877978392040145,0.3827080591931594,0.16857026799855485,0.17421568827291636,0.17598847603780027,0.18057837363418308,0.18141726811743825,0.18415816289897505,0.18727536041406279,0.32979575937489225,0.6224304408417166,,3.557557034220533,2.579206384047744,2.4809338654427884,3.418850465617542,4.979908292149173,4.22083995725304,3.236917755312251,2.1028350603316253,2.242672063920205,3.260205740917417,4.222720166753518,10705,259.0242757885031,265.02637401230965,286.4566447530892,306.9090223624238,312.38208306492766,316.0299105173289,316.366334324242,313.6796783759952,307.10605973294923,294.53425358954496,278.22408354262905,261.2426143759842,247.66951367228555,251.94581705718707,268.29894406201066,276.83666046040366,281.72815756190977,287.72328284216076,289.4333856572247,287.02131147988376,280.12173742454127,271.84694305960323,263.7929781054032,251.43835379426858,155,746.3872065328343,13,"{""type"":""Polygon"",""coordinates"":[[[89.26588339666274,43.9025208830557],[89.29957297692742,43.90252087323255],[89.3332626221741,43.902520867588905],[89.36695223695806,43.90252086581049],[89.40064187026573,43.902520868436795],[89.40064187026573,44.037279393473035],[89.36695223695806,44.037279364402934],[89.3332626221741,44.03727938310179],[89.29957297692742,44.03727937641189],[89.26588339666274,44.03727934464805],[89.26588339666274,43.9025208830557]]]}"
0000000000000000007b,0.7289196863652473,0.7007947909807004,0.418559332064553,0.1791863720663521,0.18323623137376344,0.1769419619676465,0.17544881682039953,0.18138213558516186,0.1915059113125117,0.203018473289904,0.36469119003330813,0.6691690528182365,5.0,6.016510025062657,5.449466749942888,5.132308739723457,6.343016949153881,9.325896806730366,10.032285958938832,7.319112206954989,3.9205696364750935,4.081327155305069,5.201217122422278,5.777111273859111,12341,261.17837981202973,266.69151150544945,284.4550448446402,302.507926656832,309.22949893621893,313.7859456823846,313.1724353578595,312.01071954933843,303.48659265714747,291.9275491927705,276.64092627506034,263.80615354406206,251.9558564379678,256.05767405245837,268.365401466658,275.99149232346053,281.2048248551447,286.76975077162297,288.36443701563303,285.8641650794721,279.24594045189866,271.66404097773164,263.96400042675526,254.67553646862166,171,542.5235501441845,13,"{""type"":""Polygon"",""coordinates"":[[[83.20167986261951,46.5977219194571],[83.23537060448679,46.597721911559056],[83.26906134776057,46.597721938161044],[83.3027520784028,46.59772192462446],[83.33644283403078,46.597721947121165],[83.3364428485949,46.732480426777414],[83.30275209743527,46.732480417740035],[83.2690613595246,46.732480473804465],[83.23537061390682,46.73248044548656],[83.20167987442697,46.73248040761254],[83.20167986261951,46.5977219194571]]]}"
