system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,unuse,.geo
0000000000000000000f,0.2627261189025358,0.2522151643061092,0.24740741287531748,0.2307614815675512,0.2113633202642694,0.19783839344935886,0.189561861910898,0.18970653146754368,0.19290632302015123,0.2101723002543277,0.2347745100468171,0.24839053273825978,3.1093413879283536,1.9918008252104464,0.6881985902897358,1.2485727025104767,2.153607566898536,3.2863869093455054,4.1226481218742785,4.612362602067571,3.7811830082233135,1.5356895990442145,1.5189927417167948,2.666716883903072,791,280.2014102600808,289.60666693479106,301.0464817001185,306.46841223261134,309.483925295135,309.6561042929366,309.7233270257535,307.28238191818315,304.93946228548356,299.3321969803974,290.0384671113489,281.02555009184334,256.8148382979673,262.8620705364818,271.5343308719171,277.7306205580942,281.93614751325447,285.92520234938553,287.95058867967134,286.6023130465536,281.4006435638082,272.6912524575445,265.20647238459276,258.45696980017004,20,1418.5782848151064,178,"{""type"":""Polygon"",""coordinates"":[[[82.84232087315516,37.02976190013052],[82.88724074368149,37.02976191542659],[82.932160673504,37.02976192608581],[82.97708052579186,37.02976193057824],[83.02200040948776,37.02976194200315],[83.02200040948776,37.20944140831033],[82.97708052579186,37.209441433186846],[82.932160673504,37.209441391433046],[82.88724074368149,37.20944143253515],[82.84232087315516,37.20944139543141],[82.84232087315516,37.02976190013052]]]}"
00000000000000000019,0.2731480371394819,0.2454114415907115,0.22095918743721327,0.21001458563470798,0.19788248248039567,0.18808022017625486,0.1804184778242454,0.17855005726994957,0.1820767892199107,0.19763373707350212,0.22085994527862285,0.23423622860919038,4.756291417199212,2.653853413742831,0.7724021288741871,1.4178856781874862,2.6896509682423995,2.985202856620325,2.802928625886201,3.6189464439031847,4.061653396952092,1.6932126256535667,2.161617953217858,4.373741347646932,995,278.6297383631836,286.26970408746894,297.88031965957623,304.0084944666747,307.7749788150097,309.2156582319356,309.60623858410423,306.5742601042822,303.68096414500747,297.9142770765458,288.53524031012034,279.62513736845904,259.1711193839483,265.0101606548077,273.1550669187498,279.11481354058037,282.98850260991014,286.79723010413795,288.66591096929284,287.2843540156806,282.5996646713004,274.8748251815396,267.6845799633045,261.2736582889206,20,1284.481841134201,157,"{""type"":""Polygon"",""coordinates"":[[[79.96744032073008,37.389120904216526],[80.01236025667988,37.389120880360736],[80.0572800789322,37.38912090067651],[80.10219992763159,37.38912090595627],[80.14711985712037,37.38912091022754],[80.14711985712037,37.56880039489399],[80.10219992763159,37.568800332651804],[80.0572800789322,37.56880035550854],[80.01236025667988,37.568800368904505],[79.96744032073008,37.56880035132708],[79.96744032073008,37.389120904216526]]]}"
00000000000000000038,0.253634542018029,0.22944471345749132,0.21608504684025742,0.2132936703958048,0.20708440173482207,0.20020623768024406,0.19907325512877225,0.19645687493444963,0.19669527532309747,0.20096830836657117,0.21012514818611566,0.2336982968750726,5.968367227301681,6.227571601541827,4.742059936537249,3.3894454076188767,4.433425589266234,8.058253092892866,10.332474842654365,9.944037642684735,6.938517284106392,5.296188184387684,5.5247585387849965,5.606435648168682,1540,278.6593545610809,287.2970667363809,296.19965765944795,303.96375629990666,307.90255041071316,309.4092536841628,310.4831311899218,308.01309152941275,302.66129780049357,296.0478555099815,286.8079406027438,278.90714310081256,257.9008387867278,262.01354960789774,268.6033947764634,274.9068948286096,279.88387433909156,285.29983900112734,287.9696302020661,285.99108952654916,280.288139340333,273.0118336078851,266.42476502181194,259.7585818107513,20,1687.4120593334615,129,"{""type"":""Polygon"",""coordinates"":[[[102.24776240783068,38.10784324317873],[102.29268223644922,38.10784328309267],[102.33760209726434,38.107843235697636],[102.38252197420705,38.10784324945129],[102.42744185142516,38.10784323440465],[102.42744185142516,38.287522702791456],[102.38252197420705,38.287522752888265],[102.33760209726434,38.28752269786644],[102.29268223644922,38.28752270669557],[102.24776240783068,38.2875227106052],[102.24776240783068,38.10784324317873]]]}"
0000000000000000006a,0.3859207277263146,0.3480169957223059,0.21939459975507664,0.17766058933708165,0.1738892001837951,0.17062340481149463,0.17271102492557333,0.17115367202700627,0.17272639403364753,0.1792960569549732,0.20730433843167848,0.2943261584577701,5.460925856327073,5.181495947831734,3.326721770914174,4.657509836045472,8.027403599078038,7.571911330121674,7.8340132210793465,10.870247284289615,6.086670876501329,2.8989731600799544,4.154357821968516,4.968811086027738,2164,272.85104068095495,280.40449694272115,293.9433517181482,301.37074988916316,304.19073729014804,309.5648866076327,309.7734787822246,305.90783224947444,301.1478748408319,295.0443552178927,284.84281202372944,275.1015781435746,260.49295783376215,266.1800970316387,274.13546687084107,280.24528078770044,284.2684949280762,288.07304285390643,290.1813534749483,288.58163845809577,284.01595429180446,277.1719037893722,270.44678221502886,263.5214150328418,20,1545.4247983870966,305,"{""type"":""Polygon"",""coordinates"":[[[75.47544009012445,39.00624062272843],[75.52036102172097,39.006240624996835],[75.56528198579144,39.006240611902456],[75.61020297604404,39.006240597266974],[75.65512398601405,39.00624059485287],[75.65512398601405,39.18592009938401],[75.61020297604404,39.18592012673222],[75.56528198579144,39.18592008853661],[75.52036102172097,39.18592012647652],[75.47544009012445,39.18592014898825],[75.47544009012445,39.00624062272843]]]}"
000000000000000000a9,0.4814066010180219,0.4532737245063915,0.23033493170484354,0.2165898574599831,0.19476687055243955,0.1826315660152338,0.17742838413382547,0.17668898280440562,0.18264099949028884,0.2006678590700965,0.23186037636937024,0.3982754966985761,5.067507638610529,3.819403147159554,1.6432066675673647,1.2682538849751497,1.9088695339837125,3.0645093549495397,4.655504162543032,5.153313966776179,3.9313057271440424,1.9289730464204495,3.397673110851183,4.751552244514474,2901,275.61886297889765,283.66145099577,296.38232732126704,306.10962615407726,312.7527897810184,317.28185155647543,316.6845883899994,313.22536264823634,306.43699960903274,297.53109433381724,287.0805574665283,277.0293416937528,259.50444709387546,265.62704144038366,274.0262279009901,280.12164236445557,285.188025780791,290.31232828774694,292.71221626240833,291.00871889507744,285.79802203854956,277.60035124117724,269.358992451157,262.38501405373563,20,1216.7678861788618,229,"{""type"":""Polygon"",""coordinates"":[[[76.37384185539327,39.72496300473085],[76.41876178019277,39.72496298237323],[76.46368166629675,39.72496298819425],[76.50860150370623,39.724963034714584],[76.5535213704255,39.7249629902321],[76.5535213704255,39.90464244867867],[76.50860150370623,39.904642502186505],[76.46368166629674,39.904642465401906],[76.41876178019277,39.904642469554965],[76.37384185539327,39.90464250211728],[76.37384185539327,39.72496300473085]]]}"
0000000000000000015d,0.6391202176832134,0.6377223730748153,0.33260271059349455,0.19159271993003218,0.19975458080018213,0.1925354485802657,0.19630612437673317,0.19425946202385308,0.19098678598818739,0.1942171553648743,0.2211298234091112,0.5222798085061809,9.48,5.378238264559118,3.0891963746481856,1.6724533648216506,1.2816485600848704,7.181766277035545,12.827211922179725,15.277801200623912,8.285140958805822,3.122489047204927,5.590978338826926,5.533666123843388,6629,256.07091687990123,264.4393695958329,289.2541116935536,307.51223097024257,313.452864230166,314.31032293025294,310.83900829384703,308.91864281675,303.31797530979713,292.20536414220635,278.8811917643746,261.15648214441933,246.12348499396728,250.87114536011978,268.22366728306315,277.8577467289845,284.49956266455956,290.1889565087668,291.0060571505167,287.6853833665982,280.35204369294917,271.8461476504657,263.62908523957066,251.91547467395392,20,330.7598828696925,353,"{""type"":""Polygon"",""coordinates"":[[[85.89688089637063,45.11536066691686],[85.94180081462555,45.11536065775796],[85.98672069906755,45.11536072253968],[86.03164054359858,45.11536071833724],[86.07656038974662,45.11536071818073],[86.07656043088065,45.29504015178104],[86.0316405573319,45.29504014915551],[85.98672070078386,45.29504014883146],[85.94180080743678,45.29504014880192],[85.8968809017165,45.29504014977929],[85.89688089637063,45.11536066691686]]]}"
00000000000000000160,0.6375558027870729,0.6553701304743574,0.35239290642737703,0.20515267118332867,0.20676167831402525,0.20327815929794216,0.20494940618049978,0.206239865250312,0.21156067468436188,0.21845395100353648,0.2555293429707406,0.5065633726455149,4.9625,6.273323482609685,4.357604026970522,2.613016852403381,1.703964474272577,5.992964655062429,12.090896126930835,11.050273122615561,5.498201212215319,4.0094941429928275,5.885845011073564,5.675091548596891,6928,257.1731209110807,264.03513413062,288.03093224113576,305.4635096110866,311.32561994560024,312.92009145417387,309.45807905049054,308.0038853007176,302.21071310493784,290.68260741276646,277.53894600230075,261.73282260997877,247.4495386028622,251.8552157056637,267.42160250204626,276.6164665128723,282.52678379049206,288.6249616488589,290.1391917157637,287.30029190970777,280.0090392923659,271.3600915100891,263.1858036562589,251.80133472681322,20,503.4676062741533,176,"{""type"":""Polygon"",""coordinates"":[[[86.25623986435639,46.19344199442706],[86.30116085918714,46.19344202625901],[86.34608185828682,46.19344197202551],[86.39100282333042,46.193441976741255],[86.43592381499698,46.193442042428835],[86.43592381719704,46.37312148112634],[86.39100279764934,46.373121482754634],[86.34608181595684,46.373121469050254],[86.30116088115906,46.37312151358193],[86.25623986782641,46.37312146554266],[86.25623986435639,46.19344199442706]]]}"
00000000000000000002,0.25905207834207605,0.2306191490143863,0.2194760968301933,0.20474427897450936,0.18699187545780852,0.17731722986963602,0.16996499341722648,0.16627885727722763,0.16984800059889713,0.18879203976400394,0.2171950590943415,0.23036176595255664,3.7247132727940606,2.4252305210185425,0.8246713559472972,2.9877509848834425,4.8528735241113266,5.447740973433749,6.442171586934919,6.252893610925121,4.867443890364384,1.764071407768498,1.818820155154573,3.462354316397585,586,279.34962200403726,286.7772572871161,298.5274400414491,303.6203484589652,305.82362264981595,306.35693625854236,305.4924845646887,303.2603226389753,301.96003937410654,297.7603845165735,289.5434726805077,280.36116054579907,258.38188705985885,264.3020311858557,271.94199693563655,277.9248672274762,281.67775100420903,285.7806069171611,287.5461993934635,286.1440387378346,281.0074587812626,272.9109417817456,265.8482835535494,259.78292609035816,21,1456.0058055152394,325,"{""type"":""Polygon"",""coordinates"":[[[81.76424407503322,36.67040295672196],[81.80916389294555,36.67040295035828],[81.85408379799385,36.670402999203425],[81.89900366209659,36.67040293857848],[81.94392352357046,36.670402942303156],[81.94392352357046,36.85008245681402],[81.89900366209659,36.85008246053447],[81.85408379799385,36.85008245422372],[81.80916389294555,36.85008242758314],[81.76424407503322,36.85008246332699],[81.76424407503322,36.67040295672196]]]}"
00000000000000000023,0.27028046348221596,0.2532491434283026,0.22998394268177574,0.22189879173469262,0.21187394359803535,0.19831357508886754,0.19165476305356918,0.19059055154835472,0.19033525988255826,0.20546112275463213,0.221583702567423,0.24124141687756684,5.997609894322727,6.160143449854714,4.514124871494698,3.4860603296450363,4.37443492990767,9.177698488434036,12.360927962613138,10.471233069291616,7.160168809795849,5.424020370720299,5.8305363200486315,5.655155242935395,1187,278.6381656850648,287.02178821674715,296.2309946355676,305.14231835289166,308.91268319611606,310.5602968092039,311.48204664927096,309.16000113368887,303.6047160772566,296.1819970623012,286.450924143645,279.1137963246481,256.36674432660436,261.0395785831576,268.06965994933256,274.45877108236994,279.7108429578212,285.08558542717157,287.88451276447375,286.13094474731275,280.1481187452777,272.4001987283629,265.39597601820503,257.9885628519474,21,1658.4954510993175,190,"{""type"":""Polygon"",""coordinates"":[[[103.68520267386691,37.568800327028896],[103.7301225516455,37.56880032762855],[103.77504240846439,37.5688003842794],[103.81996223511076,37.56880032485575],[103.86488211103159,37.56880036543962],[103.86488211103159,37.74847985192702],[103.81996223511076,37.74847983367961],[103.77504240846439,37.74847983728063],[103.7301225516455,37.748479806407545],[103.68520267386691,37.748479833239394],[103.68520267386691,37.568800327028896]]]}"
00000000000000000041,0.2647579202614626,0.24691599382951007,0.2333264915812167,0.22374007382101332,0.21380088948572615,0.2127838947005569,0.20563339091432245,0.21190103129846916,0.20503920846705057,0.20414094244987685,0.22542013575212824,0.24016675521313685,6.196341607974306,6.740654326994078,5.916968805266395,4.722210576590406,5.604895673148325,8.200261162556044,9.788583826552255,7.876297666761978,7.0889943499980035,6.05096466720787,6.204451313132389,5.793593754817323,1665,278.00795471896134,285.57331894606534,293.6129027912448,301.54416226364407,304.68754022173675,305.6588061347761,306.9703966744549,306.0842132580574,300.9104372789837,293.57224935029126,284.88969743795064,278.63128167886987,254.71245999937204,258.4744057017081,264.2681029576745,270.5853220671722,275.46959305198976,281.1515838158214,284.35315845140434,282.3899456965878,276.35184647017815,269.62775887034906,263.1641283999841,256.732854423037,21,2081.2447353443367,188,"{""type"":""Polygon"",""coordinates"":[[[101.70872391545588,38.28752276574708],[101.75364384555827,38.2875227131279],[101.79856367165969,38.287522732025074],[101.84348354854552,38.287522715883156],[101.88840345748167,38.287522734302485],[101.88840345748167,38.46720216482476],[101.84348354854552,38.46720217049245],[101.79856367165968,38.46720221385007],[101.75364384555827,38.46720222551949],[101.70872391545588,38.467202232733655],[101.70872391545588,38.28752276574708]]]}"
