system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,unuse,.geo
0000000000000000000f,0.2781933517425785,0.25711162557782224,0.24331552479372376,0.23617115719979645,0.2283438026946761,0.21898789481470138,0.22132751449992868,0.22483162578060906,0.22928318667539258,0.2400745961326673,0.24715429249550125,0.25502829927801035,,,,,,,,,,,,,791,283.804876096923,293.6243959490262,305.8110500834883,314.1579020117154,318.8221871780291,320.0946015007122,322.13499362397914,319.41825636307857,315.24853739254854,306.26088376233156,295.4775698239872,285.09446914855624,258.90352963660973,265.00354172792134,273.59290440432363,279.9524497272548,284.13065438533334,288.265266992036,290.7064621294844,289.2116058719436,283.77228969779816,274.80324743460613,266.9517036684188,260.07705388035606,20,1429.5246201966033,178,"{""type"":""Polygon"",""coordinates"":[[[82.84232087315516,37.02976190013052],[82.88724074368149,37.02976191542659],[82.932160673504,37.02976192608581],[82.97708052579186,37.02976193057824],[83.02200040948776,37.02976194200315],[83.02200040948776,37.20944140831033],[82.97708052579186,37.209441433186846],[82.932160673504,37.209441391433046],[82.88724074368149,37.20944143253515],[82.84232087315516,37.20944139543141],[82.84232087315516,37.02976190013052]]]}"
00000000000000000019,0.308092316169621,0.28314899461406495,0.25866733973020883,0.2501091980917451,0.24217295639218595,0.23453629713666788,0.2329456004353149,0.23784705332682057,0.24429609395599922,0.2580035703253978,0.2688384847826266,0.2785967775931831,4.667741935483871,2.717391304347826,0.7636363636363637,1.461666666666667,2.352777777777778,2.217948717948718,2.012987012987013,2.8575,3.321518987341772,1.210344827586207,2.2285714285714286,4.467391304347826,995,282.7259592604529,292.68247157607806,304.51588890693847,312.23848244115345,317.4998758502647,319.89645801637323,322.20703979606384,318.7909669182973,314.07702591567056,305.31417335010406,293.9035383499988,284.00850779773606,258.1066452188602,264.7893992657854,273.72718323793157,280.1596752771994,284.5371476841774,288.5885061840036,290.8862111542597,289.3267280998325,283.6280738558974,274.56867172742847,266.76332072257236,259.55020165735755,20,1286.2646047247258,157,"{""type"":""Polygon"",""coordinates"":[[[79.96744032073008,37.389120904216526],[80.01236025667988,37.389120880360736],[80.0572800789322,37.38912090067651],[80.10219992763159,37.38912090595627],[80.14711985712037,37.38912091022754],[80.14711985712037,37.56880039489399],[80.10219992763159,37.568800332651804],[80.0572800789322,37.56880035550854],[80.01236025667988,37.568800368904505],[79.96744032073008,37.56880035132708],[79.96744032073008,37.389120904216526]]]}"
00000000000000000038,0.26088979423454367,0.2322607173632207,0.22172501626110502,0.2199780413099734,0.21584243822282353,0.2123984771062991,0.2104947365475857,0.20987413084480733,0.20919091680938176,0.21162702741203893,0.222414361308412,0.23956924467809776,5.955397936446086,6.006677208387115,4.41018751787812,2.9197181736766176,2.852746295360093,3.0485299533081203,3.566578348815531,5.438121893332048,5.748154093970256,4.940947508122881,5.447223404842297,5.598767703696984,1540,278.7439420207862,287.8330929903909,296.9566586951586,305.1078951262041,310.89247257431714,314.5962776745442,316.06496886530914,312.440883843485,305.3328434317588,297.1786795756858,287.6305065872456,279.48912628465786,257.79914885913155,262.1052914967821,268.91291926653685,274.9969975406782,279.7506165133952,285.09682430109007,288.40623785801864,286.45654157185965,280.6319488943897,273.30324223667236,266.2007682675097,259.25457610631906,20,1649.236221181556,129,"{""type"":""Polygon"",""coordinates"":[[[102.24776240783068,38.10784324317873],[102.29268223644922,38.10784328309267],[102.33760209726434,38.107843235697636],[102.38252197420705,38.10784324945129],[102.42744185142516,38.10784323440465],[102.42744185142516,38.287522702791456],[102.38252197420705,38.287522752888265],[102.33760209726434,38.28752269786644],[102.29268223644922,38.28752270669557],[102.24776240783068,38.2875227106052],[102.24776240783068,38.10784324317873]]]}"
0000000000000000006a,0.4705443648230856,0.46142451083860586,0.35882993227021187,0.1847873901901977,0.189207603647866,0.1796489892069592,0.19039025718038402,0.1900086626362537,0.1808892757741172,0.1824190285228524,0.30008637661735804,0.3910284821923784,5.437029220779221,5.1072156084656095,3.1213003528700463,3.0707450829916105,3.985420766477104,3.9549493357704555,3.838316729683818,4.872803202423456,3.709901817591691,2.6704113881412037,4.38416749017523,5.131949404761905,2164,273.7465537540931,282.0965315507885,297.0749013788917,306.29040285460457,310.73730113965274,316.87760649322666,317.6466732853853,314.1327605523336,307.09989620022316,298.5344263833794,287.75382072103946,276.93023496365316,261.17859736595614,266.6116671409756,274.80636595553653,280.81430191116027,285.1134550291269,289.26955755775043,291.8078889756161,290.03961942677296,285.2843357151096,278.094419862591,270.8925953642167,263.8623622420029,20,1680.150547996248,305,"{""type"":""Polygon"",""coordinates"":[[[75.47544009012445,39.00624062272843],[75.52036102172097,39.006240624996835],[75.56528198579144,39.006240611902456],[75.61020297604404,39.006240597266974],[75.65512398601405,39.00624059485287],[75.65512398601405,39.18592009938401],[75.61020297604404,39.18592012673222],[75.56528198579144,39.18592008853661],[75.52036102172097,39.18592012647652],[75.47544009012445,39.18592014898825],[75.47544009012445,39.00624062272843]]]}"
000000000000000000a9,0.4199327836343035,0.3598431556632155,0.2402297034610419,0.22579346075895568,0.21613702759662695,0.2132644042334718,0.21321915511044068,0.21214315182243584,0.21504673237351354,0.22351645859946312,0.2519561544951798,0.37089424989177167,,,,,,,,,,,,,2901,276.0855237591706,284.76642086374915,297.2496120175555,307.0226682548318,312.78388916552075,318.40924507801526,319.0244982981734,315.5693038127019,308.60542980695834,299.19673820102696,288.4536056197461,277.57005545627925,261.53463366346637,267.10432853158136,275.45396216015627,281.7773570623684,286.29847009938834,290.7708938419452,292.7990856950722,291.36839273935055,286.49270447056136,278.86365671098133,271.2162544921516,263.7371150600775,20,1475.4357504846785,229,"{""type"":""Polygon"",""coordinates"":[[[76.37384185539327,39.72496300473085],[76.41876178019277,39.72496298237323],[76.46368166629675,39.72496298819425],[76.50860150370623,39.724963034714584],[76.5535213704255,39.7249629902321],[76.5535213704255,39.90464244867867],[76.50860150370623,39.904642502186505],[76.46368166629674,39.904642465401906],[76.41876178019277,39.904642469554965],[76.37384185539327,39.90464250211728],[76.37384185539327,39.72496300473085]]]}"
0000000000000000015d,0.635420793422581,0.6353886346858675,0.3292384688342683,0.18789283673325854,0.18264762363523573,0.1777969170463824,0.1781765525523471,0.18245152714816978,0.1868943259584421,0.19235144939113843,0.23320086998496772,0.5144913897598719,6.0527640063510475,5.498166741102109,2.7915561171818517,1.5137516167447378,0.8998783280372292,0.9977142033973126,0.9179746901220719,0.9257468783779705,1.1559292709604951,2.5972731981963615,5.815332238990206,5.547399291335857,6629,255.6865435285737,264.5674119741506,292.6075369374822,311.2012778140902,319.38048600501776,324.8916635021395,325.55965968380275,322.32389782891676,311.06374891028037,295.90345278156286,279.82589939727694,261.1555000585718,246.42033095519147,251.4338330733773,269.23629062681283,278.37481850319944,284.2879106899119,290.887987651981,293.0391393783971,289.7381654537252,281.65230066588646,272.5814428598671,263.60055263724917,251.78648413706046,20,331.34726606195534,353,"{""type"":""Polygon"",""coordinates"":[[[85.89688089637063,45.11536066691686],[85.94180081462555,45.11536065775796],[85.98672069906755,45.11536072253968],[86.03164054359858,45.11536071833724],[86.07656038974662,45.11536071818073],[86.07656043088065,45.29504015178104],[86.0316405573319,45.29504014915551],[85.98672070078386,45.29504014883146],[85.94180080743678,45.29504014880192],[85.8968809017165,45.29504014977929],[85.89688089637063,45.11536066691686]]]}"
00000000000000000160,0.671709922740882,0.6920607815874185,0.4032732558459114,0.2170829674843327,0.21443797668305484,0.21270295883053722,0.21359701738957848,0.21612391279539941,0.2199273567173772,0.22602085949457731,0.2767112027628934,0.5410468074568564,4.2,6.420229941291587,4.270675865169515,2.630501862519815,1.4017723410863865,1.993111398359637,2.832626761458839,2.5459602708623525,2.2722365086187915,3.8923882097026508,6.024405537275382,5.714071070127656,6928,257.2332112530483,264.2248713356531,289.1007547169953,307.3873964528404,314.71551320879803,320.53793469633695,320.97537849487685,317.77831804956753,307.4413725557056,293.8420284599691,279.2511556672164,261.7359002180704,248.480613393451,252.99576877983273,269.3899745392736,279.1548381918216,284.86279163639364,291.3352592280987,293.47811351738267,290.6651177051959,282.6789584237187,273.3615836842909,264.6515525388057,253.2248719497989,20,493.11017629179315,176,"{""type"":""Polygon"",""coordinates"":[[[86.25623986435639,46.19344199442706],[86.30116085918714,46.19344202625901],[86.34608185828682,46.19344197202551],[86.39100282333042,46.193441976741255],[86.43592381499698,46.193442042428835],[86.43592381719704,46.37312148112634],[86.39100279764934,46.373121482754634],[86.34608181595684,46.373121469050254],[86.30116088115906,46.37312151358193],[86.25623986782641,46.37312146554266],[86.25623986435639,46.19344199442706]]]}"
00000000000000000002,0.3248790826683946,0.28789956053493027,0.26853672062243306,0.2616282306562854,0.25476285052687786,0.24514047560397725,0.24370188747088595,0.24820455703217884,0.25399825466559267,0.26723129563553966,0.2762420897922912,0.2938775968915318,,,,,,,,,,,,,586,282.45262630324936,291.5824634667498,303.18698911186794,311.41248598138213,315.4964249903676,316.9098597546631,318.55782249700724,316.4962560412722,312.30717759522753,304.04896855364177,293.88104236165077,284.0923731551216,260.3419095468236,265.7824490404891,273.7527349960178,279.72767782843925,283.6122078643791,287.787795482044,290.41257749612953,289.0395020185637,283.8945114425603,275.89167006595375,268.4838638684521,261.7922352700406,21,1572.1269452955637,325,"{""type"":""Polygon"",""coordinates"":[[[81.76424407503322,36.67040295672196],[81.80916389294555,36.67040295035828],[81.85408379799385,36.670402999203425],[81.89900366209659,36.67040293857848],[81.94392352357046,36.670402942303156],[81.94392352357046,36.85008245681402],[81.89900366209659,36.85008246053447],[81.85408379799385,36.85008245422372],[81.80916389294555,36.85008242758314],[81.76424407503322,36.85008246332699],[81.76424407503322,36.67040295672196]]]}"
00000000000000000023,0.278065072294232,0.26613838062954986,0.248089813092203,0.24099236531794052,0.23627124208048417,0.23208632483308972,0.2268471215578236,0.22640800247085474,0.22886306254239655,0.23937599093130815,0.2522921452645096,0.26724362692719555,6.056868651528958,6.271021310654204,4.533192351991245,3.4739160421692445,3.2404566142586777,4.299217268812561,5.678093520866154,6.545899656469338,6.103353095010052,5.342370450115386,5.827677593067308,5.654806516631029,1187,280.9409719697013,290.54172070608763,300.5559555000662,309.81021029964137,315.5841915947613,319.8658315610799,321.375752862925,316.96653165518927,309.34253294261447,299.9821303308144,289.96995584528645,281.6674428402006,257.3129234545111,262.0756917135165,269.5100845435893,276.06946759816515,281.19202135020544,286.9090790901164,290.1972547709706,288.2220693794234,282.1283604463938,274.18612445792843,266.2403463788258,258.5957858136757,21,1637.9029948182304,190,"{""type"":""Polygon"",""coordinates"":[[[103.68520267386691,37.568800327028896],[103.7301225516455,37.56880032762855],[103.77504240846439,37.5688003842794],[103.81996223511076,37.56880032485575],[103.86488211103159,37.56880036543962],[103.86488211103159,37.74847985192702],[103.81996223511076,37.74847983367961],[103.77504240846439,37.74847983728063],[103.7301225516455,37.748479806407545],[103.68520267386691,37.748479833239394],[103.68520267386691,37.568800327028896]]]}"
00000000000000000041,0.2462313421753663,0.2226081539790031,0.20913109250076703,0.205726504562862,0.2015936298416996,0.19938432428023597,0.19547162018276937,0.1934056323336561,0.18834144888593027,0.19127596171092673,0.20911182303662645,0.2223886323491402,6.1881572391738455,6.988790533674115,5.978537934590824,4.772076025157556,4.5367820828635415,5.006327044342446,5.792900651977895,7.372069630824557,7.041328657108126,6.0423167749760935,6.253262035018633,5.852373115857603,1665,276.8998871286806,284.3127193645285,293.2494599602681,301.56748990577375,307.06599330926036,310.1176700144926,310.8918483036494,307.3621511255099,300.9788040015412,293.96570926832527,284.98003262774176,277.70048550322434,255.52531862268896,259.06169241024236,265.05011216365114,271.32402631272464,275.8667332714648,281.41778743817787,284.8520664174537,283.07863792127847,277.07387844781687,270.2382596640968,263.4727081828641,257.31009062138656,21,2167.1312734864296,188,"{""type"":""Polygon"",""coordinates"":[[[101.70872391545588,38.28752276574708],[101.75364384555827,38.2875227131279],[101.79856367165969,38.287522732025074],[101.84348354854552,38.287522715883156],[101.88840345748167,38.287522734302485],[101.88840345748167,38.46720216482476],[101.84348354854552,38.46720217049245],[101.79856367165968,38.46720221385007],[101.75364384555827,38.46720222551949],[101.70872391545588,38.467202232733655],[101.70872391545588,38.28752276574708]]]}"
