20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,2000_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,2020_pr,dpr,mpr,Id,fc,stable
13.38564894,10.83733562,8.902801601,30.60634648,13.31217839,29.8273299,25.94768439,12.4834191,13.8350486,15.19096627,11.12950257,13.22670097,198.6849628,7.666666667,7.148370497,5.735849057,10.02401372,14.03287593,13.29759863,15.76329331,7.779302459,12.63379074,7.540308748,7.919096627,6.117781589,115.658948,-83.02601487,157.1719554,24285,5,5
4.758847032,1.394121005,2.071347032,15.54052511,25.12328767,34.40239726,36.16124429,49.87642694,63.831621,12.40696347,1.466894977,0,247.0336758,2.182363014,3.781392694,5.723744292,17.07277397,18.63327626,36.26883562,21.46974886,54.18150685,30.7260274,11.86044521,6.688926941,0.333333333,208.9223744,-38.11130137,227.9780251,4786,5,6
7.666666667,6.611380798,7.500809061,20.29018339,16.16558792,32.69579288,28.63214671,15.94039914,14.07874865,25.16990291,6.117583603,8.285329018,189.1545307,3.80798274,3.808522114,8.874056095,17.95711974,16.9789644,17.13619202,15.57065804,14.22572816,11.33683927,9.915048544,8.618122977,4.160194175,132.3894283,-56.76510248,160.7719795,24737,5,7
2.622107969,1,1.10568409,6.988574693,7.746929449,26.72093688,28.232505,14.27392174,7.837189374,1.91459583,0.666666667,1.666666667,100.7757783,1.615252785,1.333333333,1.491859469,6.081690945,20.71693802,14.05455584,17.05484147,21.73321908,5.487860611,1.293916024,1,0,91.86346758,-8.912310768,96.31962296,19100,5,7
2.04002287,0,0,0.390508862,4.387935963,6.394797027,17.0191538,4.686392224,3.820182962,1.227272727,0.057175529,0,40.02344197,0.411949686,0.333333333,0.723842196,2.423670669,6.829616924,5.319611206,6.588336192,5.813607776,4.77672956,1.378787879,0,0,34.59948542,-5.423956547,37.31146369,13772,5,7
2.666666667,0,0.176806627,1.985147101,4.98400457,11.98714653,21.68494716,6.707797772,5.302485004,1.557269352,0.666666667,1.529562982,59.24850043,0.666666667,0.490145673,0.51013996,3.211082548,13.85832619,9.735789774,8.561553842,9.398171951,4.30305627,1.831476721,0,0.333333333,52.89974293,-6.348757498,56.07412168,14803,5,7
2.923670669,0.579188107,0.421955403,5.227844483,6.58862207,20.44339623,29.93682104,11.59919954,7.216409377,1.435391652,0.652086907,0.98542024,88.01000572,0.746712407,0.622927387,0.852773013,3.854488279,24.29902802,17.78930818,14.42052601,17.20268725,5.97084048,1.435391652,0.318753573,0,87.51343625,-0.496569468,87.76172098,16117,5,8
1.96372465,1.847472151,2.594687232,2.059411597,0.333333333,6.845758355,2.456441017,1,0.666666667,1.673236218,1.333333333,1.666666667,24.44073122,2.395029991,0.123107684,0.652670666,1.176806627,1.337332191,1.5795487,5.061982291,0.78977435,0.333333333,0.703798915,0.137103685,0,14.29048843,-10.15024279,19.36560983,21562,5,8
2,0,0,0.666666667,8.314449213,5.255221745,12.9193133,6.666666667,7.98111588,1,1.764806867,0,46.56824034,0.666666667,0.450357654,0.333333333,15.69327611,7.795135908,6.821173104,8.666666667,3.666666667,8.747353362,1,0.884692418,0,54.72532189,8.157081545,50.64678112,8991,5,9
21.50673129,12.48922994,14.36698977,33.32525579,31.92110932,32.1903608,44.67447496,32.06650512,15.15805062,31.57108239,25.74017232,27.62547119,322.6354335,12.42891761,12.5,11.6187399,18.49703823,20.9733441,33.50592353,41.70678514,25.32767905,31.33737211,21.32875606,20.47549812,12.40360797,262.1036618,-60.53177167,292.3695477,28470,5,11
