20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,gc,stable
16.17854077,10.70815451,10.83690987,30.14134478,31.03175966,39.15135908,36.65550787,19.43290415,17.30214592,49.47525036,15.31645207,19.03519313,5.991702432,11.45865522,15.20686695,29.44892704,17.9490701,31.34477825,26.72446352,20.67153076,16.37253219,17.75793991,18.31416309,9.711015737,25497,5,5
3.160453809,2.107779579,1.36925986,11.46515397,24.6726094,38.62965964,35.64964884,55.10886008,59.8352242,14.28984333,2.666666667,0.333333333,1.768503512,2.071853052,4.11102107,14.18206375,19.74689357,28.48865478,23.18206375,57.07320367,28.78146948,12.31712588,3.666666667,0.333333333,2780,5,5
2.248141795,0.679245283,1.954831332,12.78359062,20.99685535,28.0268725,23.57947399,37.50371641,45.3184677,8.725557461,0.666666667,0,0.848770726,1.006289308,7.253287593,7.859348199,9.744139508,23.46197827,8.455974843,29.80760435,28.75042882,6.20268725,4.016009148,0,7928,5,5
8.587044534,5.441565452,5.88879892,20.65775978,4.971390013,20.69716599,16.9217274,7.019433198,7.942780027,9.776518219,7.914709852,6.449932524,3.12388664,3.566801619,3.036977058,4.856410256,7.473684211,9.157354926,16.35465587,6.617273954,11.52442645,5.679352227,6.646153846,2.803508772,24146,5,7
14,11,8.687821612,29.29102344,11.5563179,26.97369926,23.68553459,10.73584906,12.52544311,14.43281875,11.95711835,13.06403659,6.666666667,6.921669525,5.099199543,7.649799886,10.52458548,13.92281304,13.44396798,8.935105775,11.35391652,8.322184105,8.209834191,5.287878788,24460,5,7
17,11.35908441,7.932761087,26.91959943,23.58655222,26.35078684,30.95507868,13.85579399,13.87553648,40.89298999,15.527897,19.84663805,10.08183119,18.21001431,10.9130186,22.28869814,17.25436338,16.82403433,12.27896996,26.03748212,13.15994278,14.18311874,13.16480687,9.91788269,23192,5,7
3.110062893,0.049170955,0.993996569,3.060891938,13.77015437,7.403945111,12.12893082,15.60806175,18.42309891,1.803030303,5.650943396,3.382504288,1.879359634,0.666666667,4.838193253,9.745283019,11.07890223,15.86477987,4.681246427,8.097770154,6.72327044,1.666666667,2.179531161,1.292738708,8968,5,7
13.76995708,11.09184549,8.666666667,30.18226037,12.20801144,27.89184549,25.5565093,11.15679542,13.19427754,14.66866953,12.15708155,13,7,7.305007153,5.333333333,9.49241774,11.97339056,12.91387697,14.14391989,7.341058655,12.472103,8.351359084,8.388268956,6.117596567,24288,5,8
14.33333333,9.443204578,9.652360515,26.45350501,35.9676681,36.06037196,40.88383405,21.381402,14.39656652,27.69842632,19.73876967,19.67725322,9.555937053,9.642632332,11.21630901,16.68240343,28.45922747,29.92103004,23.472103,30.19771102,23.76995708,13.77081545,14.89012876,8.168526466,27537,5,8
4.333333333,0,0,0.666666667,4.113869863,3.163527397,13.36672374,2.983447489,2.329052511,1.291952055,0,1.610730594,1.298515982,2.977454338,0.333333333,4.249714612,3.640125571,19.90896119,2.118150685,1.668378995,2.572203196,0.291952055,0,0.64783105,2840,5,8
1.705293276,2.333333333,1.382832618,9.443490701,27.21573677,36.60429185,24.03462089,35.40972818,49.36366237,12.79742489,5.932761087,1.213733906,1,1,2.426609442,15.15507868,25.11959943,23.75765379,20.20801144,33.0869814,40.28984263,10.52160229,2.959370529,1.171387697,5214,5,8
4.007432819,1.998570612,1,6.659519726,19.01543739,24.7621498,15.25814751,23.09405374,35.2238422,8.413093196,5.317610063,2.844768439,1.951972556,0.678673528,1.108919383,9.777587193,13.75871927,12.52915952,9.265008576,21.68610635,32.64379646,5.412235563,2.739851344,0.97941681,6982,5,8
10.94739851,9.163522013,8.738993711,32.30417381,15.37564322,36.89708405,31.70783305,15.44253859,15.50857633,14.01600915,9.451972556,12.26958262,6.616638079,5.556317896,7.043453402,14.98827902,20.33590623,15.43281875,16.81475129,11.0754717,14.00114351,7.787307033,10.46426529,5.501143511,23606,5,9
6.666666667,5.176520994,5.461868038,22.88003428,4.993144816,21.83147672,17.38103399,7.252499286,8.449871465,10.48757498,7.856041131,6.287917738,2.333333333,3.176520994,2.982862039,5.318766067,6.960582691,10.05398458,15.68923165,6.649243073,11.00342759,6.580405598,6.257069409,2.965724079,23978,5,10
10.38461538,7.309851552,7.199460189,26.90337382,29.434278,41.09554656,44.58488529,28.19352227,21.24048583,35.10526316,8.199460189,11.1074224,5.935222672,9.512280702,9.710931174,18.21808367,22.10823212,29.84993252,29.55411606,32.21565452,17.12388664,11.44534413,8.292037787,5.959244265,23384,5,10
3.203147353,1.18769671,2.333333333,13.74363376,23.16223176,28.92389127,25.6869814,40.97825465,49.84949928,9.884978541,0.666666667,0,1.101573677,1.407439199,9.203719599,8.126180258,11.55622318,26.30214592,8.834048641,29.11416309,29.20028612,8.06695279,5.113018598,0,7027,5,10
3.899085192,1.515151515,1.333333333,9.983419097,32.71383648,49.84991424,50.78987993,47.25157233,63.21154946,11.01372213,4.539451115,3.847341338,2.491137793,1.581475129,2.941395083,14.9219554,26.85477416,38.86077759,29.29502573,61.00571755,54.10120069,7.647226987,3.257004002,1.590337336,6963,5,11
3.303004292,1.255221745,0.694706724,6.059227468,16.1925608,30.84263233,32.37195994,24.89270386,35.72875536,8.480114449,1.778826896,3.664377682,1.363948498,0.839198856,1.045493562,9.004577969,19.49127325,24.10300429,13.74678112,35.90214592,34.62145923,4.376251788,1.595708155,1.465236052,9605,5,11
