20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,stable,uc
11.03916524,7,6.12864494,17.90051458,15.13321898,21.05889079,21.07118353,18.7647227,9.278444826,24.63121784,19.19210978,16.24528302,5.333333333,9,5.832189823,6.774156661,11.37535735,16.86963979,17.6023442,13.89050886,14.30331618,16.75357347,12.46826758,7.623213265,27674,58,30
11.88660383,6.245929734,6.779777207,16.11225364,16.46643816,21.32647815,23.25621251,18.59040274,9.466152528,20.1285347,13.01256784,12.59411597,4.450728363,5.873750357,5.958297629,6.61582405,12.81690945,12.54155955,20.39274493,8.752642102,12.53213368,15.46786632,8.061125393,5.364752928,27388,60,30
13.35504142,10.3347615,7.366466724,25.92487861,13.2456441,28.00828335,25.81576692,12,12.43558983,14.6792345,10.59240217,13.65838332,7.839474436,6.39274493,4.673236218,8.073978863,12.78177664,13.36589546,16.91545273,9.077120823,13.89488718,6.713224793,6.799771494,6.325049986,24615,17,31
8.726129217,7.666666667,6.938536306,20.8759291,21.27387078,33.9488279,33.69325329,19.77301315,17.48399085,31.31417953,6.080903373,8.18324757,3.831618067,5.117495712,7.226700972,23.42024014,20.35191538,19.0754717,18.06403659,24.16809605,12.4731275,8.265580332,6.554888508,4.230703259,24565,41,31
2,0,0,1,1,6.333333333,10.00114253,1,0.333333333,0,0,0,1.447015139,2.277349329,0.432447872,0.333333333,4.156812339,6.661525278,2.295344187,1.524135961,0.333333333,0,0,0,4658,35,34
12.24183536,8.666666667,5.581646424,16.07260459,12,21.74574899,20.36977058,15.20809717,7.703643725,10.66666667,16.97031039,13.1851552,5.892307692,10.08825911,3.856140351,4.903103914,11.88259109,15.96221323,17.39190283,18.48205128,15.60863698,7.671524966,13.99190283,6.723076923,27138,37,34
12.99271255,6.864507422,6.791363023,17.12037787,14.82024291,21.0197031,21.30904184,19.23508772,9.022672065,20.23319838,18.8731444,17.75573549,6.246693657,9.333333333,5.741700405,5.606747638,10.61754386,19.00404858,16.18812416,16.79433198,14.80296896,13.57705803,12.365722,8.392712551,27842,54,34
11.21269297,6.570897656,6.503144654,15.32818754,14.45683248,19.28502001,22.03230417,20.93596341,8.437106918,17.810749,14.09491138,15.21698113,5.047455689,7.772155517,5.397084048,4.80102916,10.32647227,18.87764437,15.51257862,18.52801601,16.94168096,12.88850772,10.32675815,7.680960549,27962,5,35
14.93819742,8.341344778,9.28583691,24.34678112,30.10100143,37.5888412,35.87181688,16.15135908,13.06008584,33.10100143,16.08183119,17.44406295,9.389127325,11.06466381,13.62203147,17.05121602,22.65236052,30.63175966,21.07553648,23.35479256,19.25436338,11.29012876,9.470672389,9.375679542,26964,17,35
2.666666667,0,0,0.472269868,4.42595769,6.42595769,17.82189823,5.333333333,5.120354488,1.333333333,0.324185249,1.950543168,0.333333333,0.333333333,0.712978845,2.022298456,6.991995426,5.046312178,7.332189823,4.682389937,6.3324757,1.333333333,0.10806175,0.566037736,14116,7,37
3,1.51975945,2.516323024,8.690148912,7.009736541,26.64604811,20.87915235,9.856815578,5.8639748,2.114833906,1.590778923,3.409221077,1.938430699,0,3.13115693,6.035509737,18.71076747,6.984249714,14.42697595,7.755154639,3.865979381,1.797823597,2.641752577,1.189003436,19904,31,37
9.878397711,6.975393419,5.991416309,16,16.13104435,23.09184549,27.74935622,16.90214592,10.46008584,20.28526466,13.18426323,13.68011445,3.808011445,6.472389127,10.2944206,5.316738197,16.52389127,23.72904149,10.8509299,12.77968526,22.11702432,7.534763948,12.36623748,4.691559371,26813,42,37
9.62182604,7.333333333,7.035926526,22.11507293,22.66963803,31.78092923,30.27741761,17.11480281,15.64856834,33.63452188,6.46191248,9.055645597,4.096164236,4.311723393,8.904376013,24.13857374,19.64829822,17.93490005,15.60777958,16.31874662,9.144246353,7.123987034,6.305240411,4.111561318,24720,44,37
11.25701187,7.666666667,5.913700108,16.63106796,19.57092772,25.09061489,31.88511327,19.74541532,11.49110032,22.13619202,11.97842503,14.33333333,3.390776699,7.354638619,8.522114347,7.127562028,21.47384035,21.74811219,19.55987055,12.48840345,20.00593312,9.53802589,9.11596548,5.274541532,27096,22,38
9.285347044,7.666666667,6.879177378,20.51156812,21.06998001,33.30791203,32.69008855,18.72179377,16.70151385,30.91402456,6.128249072,8.333333333,4.062267923,4.976863753,7.421879463,23.41131105,19.67037989,18.49243073,17.44415881,22.42245073,11.63124821,7.911168238,6.297343616,4.157669237,24564,51,38
8,5.333333333,5.075407027,16.22879177,12.27963439,26.65095687,25.82090831,12.98971722,10.02570694,12.77834904,5.442159383,8.477863468,4.950299914,2.93059126,5.032276492,8.600971151,12.61182519,11.00371322,11.23193373,8.784347329,8.380462725,4.355041417,5.365609826,3.333333333,25227,21,40
12.27449393,6.978137652,7.150067476,17.12631579,15.09365722,20.8194332,21.25398111,19.33333333,9.138461538,22.19136302,18.72523617,17.68178138,5.845883941,9.378677463,6.069095816,5.52388664,10.56761134,20.13738192,16.37867746,16.07557355,15.04075574,14.72091768,12.01754386,8.333333333,27841,47,40
11.37650086,8.712121212,5.977129788,16.11578045,12.85191538,22.40337336,20.11349342,15.53459119,7.28158948,10.97541452,18.55088622,13.30531732,5.064894225,10.78987993,4.067181246,5.615208691,12.20411664,19.34762722,16.71812464,18.65208691,17.57089766,8.69782733,16.07747284,5.694682676,27324,19,41
7.546494993,5.666666667,4.751072961,14,11.34592275,25.13705293,26.33333333,14.07353362,8.666666667,11.41459227,5,8.333333333,3.769957082,3.040915594,5.315307582,5.618597997,12.60486409,12.93562232,10.06781116,11.87868383,9.68211731,3.128755365,5,3.646351931,25691,59,41
13.00085911,9.642898053,7.442439863,27.25114548,13.21391753,28.99599084,26,12.54295533,13.22164948,15.11941581,10.12714777,12.79610538,7.789232532,6.043241695,4.739404353,8.71792669,14.00572738,13.16609393,16.56872852,8.93327606,13.48167239,6.795532646,6.822451317,5.785509737,24452,6,44
6.666666667,4.333333333,4,10.90202799,10.33333333,24.8968866,27.06769494,13.66666667,7.666666667,11.2482148,4.555841188,8.666666667,3,2.666666667,6.03199086,5.563838903,9.77692088,16.13224793,13.29934304,11.75864039,11.60525564,2.597829192,4.016852328,4.467009426,26131,9,44
4.608011445,2.201716738,1,7.000286123,20.09556509,25.13762518,15.95479256,27.15364807,36.70500715,9.428612303,4.500143062,1.666666667,2.1018598,0.640343348,1.333333333,10.31158798,13.73533619,20.76366237,7.87639485,19.81459227,24.0732475,6.792560801,2.333333333,0.473533619,5701,23,44
10.33333333,7.333333333,6.106346484,21.13865066,12.09805603,28.21726701,26.28359062,13.47427101,12.36163522,12.13522013,7.120640366,10.83933676,6.666666667,3.666666667,4.439679817,7.760434534,15.96054889,10.52773013,14.27158376,12.37449971,12.57232704,5.518582047,5.297884505,4.951114923,24606,7,45
